scope,n_pairs,hit_at_2_rate,loss_mean,loss_p50,loss_p90,loss_p95,rank2_rescue_on_miss1,rank3_rescue_on_miss12,critical_miss_rate,catastrophic_rate,catastrophic_on_critical_rate,hit_at_2_rate_delta,hit_at_2_rate_direction,loss_mean_delta,loss_mean_direction,rank2_rescue_on_miss1_delta,rank2_rescue_on_miss1_direction,critical_miss_rate_delta,critical_miss_rate_direction,catastrophic_rate_delta,catastrophic_rate_direction
current_overall,432.0,0.9907407407407407,915.5092592592592,0.0,1390.0000000000034,4959.999999999991,0.7741935483870968,0.0,0.016203703703703703,0.020833333333333332,0.5714285714285714,,,,,,,,,,
baseline_overall,432.0,0.9930555555555556,908.1018518518518,0.0,2380.000000000007,5400.0,0.782608695652174,0.0,0.011574074074074073,0.016203703703703703,0.4,,,,,,,,,,
overall_delta,,,,,,,,,,,,-0.0023148148148148806,worsened,7.407407407407391,worsened,-0.008415147265077194,worsened,0.004629629629629629,worsened,0.004629629629629629,worsened
