date,month,weekday,expert,model,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,hit_at_2,hit_at_3,pred_span_quartile,rolling_median,zscore,is_anomaly,anomaly_direction,is_hit_rate_miss_day,difficulty_failure,actual_top1_tail,actual_top2_tail,actual_top3_tail,actual_top1_diff,actual_top2_diff,actual_top3_diff,loss_scenario,loss_value,chosen_tail,top1_match,top2_match,top3_match,rescue_source
2026-01-01,2026-01,Thursday,2F_N,xgb_ranker_ndcg,full_2025,1.0,8,0.0617384803203397,12600.0,0.5,0.0617384803203397,7,0.0167214494658725,4700.0,0.5,0.0167214494658725,0.0450170308544671,1.0,1.0,Q2,144.0,1.4631213452771414,0,normal,1,miss_day,8,0,7,12600.0,8400.0,4700.0,hit1,0.0,8,1,0,0,rank1
2026-01-01,2026-01,Thursday,3F_A,xgb_ranker_ndcg,full_2025,0.75,9,0.9970424037819025,42300.0,0.5,0.9970424037819025,1,0.996933632776626,39400.0,0.5,0.996933632776626,0.0001087710052765,0.0,1.0,Q1,144.0,1.4631213452771414,0,normal,1,miss_day,8,7,3,52000.0,48200.0,47500.0,critical_miss,9700.0,9,0,0,0,none
2026-01-01,2026-01,Thursday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,6,0.3162789570946022,10200.0,0.5,0.3162789570946022,7,0.0053898027933548,5700.0,0.5,0.0053898027933548,0.3108891543012473,1.0,1.0,Q3,144.0,1.4631213452771414,0,normal,1,miss_day,6,7,2,10200.0,5700.0,2100.0,hit1,0.0,6,1,1,0,rank1
2026-01-02,2026-01,Friday,2F_N,xgb_ranker_ndcg,full_2025,1.0,9,0.9971341866174896,35300.0,0.5,0.9971341866174896,6,0.9970753893980376,33900.0,0.5,0.9970753893980376,5.879721945201144e-05,1.0,1.0,Q1,160.5,0.12866665735372773,0,normal,0,hit_day,9,3,6,35300.0,33900.0,33900.0,hit1,0.0,9,1,0,0,rank1
2026-01-02,2026-01,Friday,3F_A,xgb_ranker_ndcg,full_2025,0.75,4,0.9590912164495042,16400.0,0.5,0.9590912164495042,7,0.0510668947265078,4700.0,0.5,0.0510668947265078,0.9080243217229964,1.0,1.0,Q4,160.5,0.12866665735372773,0,normal,0,hit_day,4,0,7,16400.0,4900.0,4700.0,hit1,0.0,4,1,0,0,rank1
2026-01-02,2026-01,Friday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,5,0.6462636552519957,15200.0,0.5,0.6462636552519957,3,0.0062104970655911,300.0,0.5,0.0062104970655911,0.6400531581864046,1.0,1.0,Q4,160.5,0.12866665735372773,0,normal,0,hit_day,5,6,3,15200.0,2000.0,300.0,hit1,0.0,5,1,0,0,rank1
2026-01-03,2026-01,Saturday,2F_N,xgb_ranker_ndcg,full_2025,1.0,0,0.9922054148297098,38800.0,0.5,0.9922054148297098,7,0.8339871815626765,28200.0,0.5,0.8339871815626765,0.1582182332670333,1.0,1.0,Q3,144.0,-0.6196853987633989,0,normal,0,hit_day,0,7,4,38800.0,28200.0,27200.0,hit1,0.0,0,1,1,0,rank1
2026-01-03,2026-01,Saturday,3F_A,xgb_ranker_ndcg,full_2025,0.75,5,0.0053989515002625,500.0,0.5,0.0053989515002625,2,0.0045112914569351,-3400.0,0.5,0.0045112914569351,0.0008876600433274,1.0,1.0,Q1,144.0,-0.6196853987633989,0,normal,0,hit_day,4,5,6,900.0,500.0,-400.0,hit1,400.0,5,1,0,0,rank1
2026-01-03,2026-01,Saturday,3F_N,xgb_ranker_ndcg,recent_60d,1.25,2,0.8758060923688709,13000.0,0.5,0.8758060923688709,9,0.3288050091870577,7000.0,0.5,0.3288050091870577,0.5470010831818132,1.0,1.0,Q4,144.0,-0.6196853987633989,0,normal,0,hit_day,2,9,8,13000.0,7000.0,3300.0,hit1,0.0,2,1,1,0,rank1
2026-01-04,2026-01,Sunday,2F_N,xgb_ranker_ndcg,full_2025,1.0,8,0.9855433453253728,33700.0,0.5,0.9855433453253728,7,0.1229293121428142,13400.0,0.5,0.1229293121428142,0.8626140331825585,1.0,1.0,Q4,137.5,-2.282742734186793,1,low_anomaly,1,miss_day,8,7,3,33700.0,13400.0,5700.0,hit1,0.0,8,1,1,0,rank1
2026-01-04,2026-01,Sunday,3F_A,xgb_ranker_ndcg,full_2025,0.75,0,0.0008778240742937,-3200.0,0.5,0.0008778240742937,7,0.0007829618822968,-3400.0,0.5,0.0007829618822968,9.486219199686646e-05,0.0,0.0,Q1,137.5,-2.282742734186793,1,low_anomaly,1,miss_day,4,6,0,1600.0,-700.0,-3200.0,critical_miss,4800.0,0,0,0,0,none
2026-01-04,2026-01,Sunday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,9,0.5179956631050615,16300.0,0.5,0.5179956631050615,0,0.0108913240155383,1600.0,0.5,0.0108913240155383,0.5071043390895231,1.0,1.0,Q4,137.5,-2.282742734186793,1,low_anomaly,1,miss_day,9,0,1,16300.0,1600.0,-200.0,hit1,0.0,9,1,1,0,rank1
2026-01-05,2026-01,Monday,2F_N,xgb_ranker_ndcg,full_2025,1.0,1,0.995061981884612,48500.0,0.5,0.995061981884612,9,0.9919198408713208,39700.0,0.5,0.9919198408713208,0.0031421410132911,1.0,1.0,Q1,137.5,1.8916976825315492,1,high_anomaly,0,hit_day,1,9,0,48500.0,39700.0,25800.0,hit1,0.0,1,1,1,0,rank1
2026-01-05,2026-01,Monday,3F_A,xgb_ranker_ndcg,full_2025,0.75,6,0.9937707485160074,13000.0,0.5,0.9937707485160074,4,0.4992371439100945,8700.0,0.5,0.4992371439100945,0.4945336046059129,1.0,1.0,Q4,137.5,1.8916976825315492,1,high_anomaly,0,hit_day,6,4,1,13000.0,8700.0,5100.0,hit1,0.0,6,1,1,0,rank1
2026-01-05,2026-01,Monday,3F_N,xgb_ranker_ndcg,full_2025,1.0,1,0.9968980699573144,26800.0,0.5,0.9968980699573144,5,0.9926682038425524,22300.0,0.5,0.9926682038425524,0.0042298661147621,1.0,1.0,Q1,137.5,1.8916976825315492,1,high_anomaly,0,hit_day,1,6,5,26800.0,25400.0,22300.0,hit1,0.0,1,1,0,0,rank1
2026-01-06,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,full_2025,1.0,6,0.9993665359776754,38300.0,0.5,0.9993665359776754,2,0.9978579435606824,44400.0,0.5,0.9978579435606824,0.001508592416993,1.0,1.0,Q1,144.0,0.49532808618907526,0,normal,0,hit_day,2,6,7,44400.0,38300.0,27100.0,hit1,6100.0,6,1,1,0,rank1
2026-01-06,2026-01,Tuesday,3F_A,xgb_ranker_ndcg,full_2025,0.75,9,0.7577799958777287,9200.0,0.5,0.7577799958777287,5,0.6952637956807027,6300.0,0.5,0.6952637956807027,0.0625162001970259,1.0,1.0,Q2,144.0,0.49532808618907526,0,normal,0,hit_day,9,5,2,9200.0,6300.0,5000.0,hit1,0.0,9,1,1,0,rank1
2026-01-06,2026-01,Tuesday,3F_N,xgb_ranker_ndcg,full_2025,1.0,3,0.9921920685033908,20300.0,0.5,0.9921920685033908,1,0.9727879095787378,17300.0,0.5,0.9727879095787378,0.0194041589246528,1.0,1.0,Q2,144.0,0.49532808618907526,0,normal,0,hit_day,3,1,2,20300.0,17300.0,15300.0,hit1,0.0,3,1,1,0,rank1
2026-01-07,2026-01,Wednesday,2F_N,xgb_ranker_ndcg,full_2025,0.75,4,0.9244593264399382,32300.0,0.5,0.9244593264399382,0,0.8438929196619377,39400.0,0.5,0.8438929196619377,0.0805664067780005,1.0,1.0,Q2,160.5,1.114012351764974,0,normal,0,hit_day,0,5,4,39400.0,35900.0,32300.0,miss1_hit2,0.0,0,0,1,0,rank2
2026-01-07,2026-01,Wednesday,3F_A,xgb_ranker_ndcg,full_2025,0.75,7,0.9453332062207622,11200.0,0.5,0.9453332062207622,0,0.1072834538636672,8500.0,0.5,0.1072834538636672,0.838049752357095,1.0,1.0,Q4,160.5,1.114012351764974,0,normal,0,hit_day,7,3,0,11200.0,9000.0,8500.0,hit1,0.0,7,1,0,0,rank1
2026-01-07,2026-01,Wednesday,3F_N,xgb_ranker_ndcg,full_2025,0.75,7,0.994856176480939,22100.0,0.5,0.994856176480939,3,0.9891796580334218,21600.0,0.5,0.9891796580334218,0.0056765184475172,1.0,1.0,Q1,160.5,1.114012351764974,0,normal,0,hit_day,7,3,0,22100.0,21600.0,20600.0,hit1,0.0,7,1,1,0,rank1
2026-01-08,2026-01,Thursday,2F_N,xgb_ranker_ndcg,full_2025,1.0,1,0.9986804319132664,54400.0,0.5,0.9986804319132664,5,0.9945841792323288,30700.0,0.5,0.9945841792323288,0.0040962526809377,1.0,1.0,Q1,160.5,-0.1450688381597167,0,normal,0,hit_day,1,5,7,54400.0,30700.0,22000.0,hit1,0.0,1,1,1,0,rank1
2026-01-08,2026-01,Thursday,3F_A,xgb_ranker_ndcg,full_2025,0.75,6,0.9775235942873444,9800.0,0.5,0.9775235942873444,9,0.782755397435142,9500.0,0.5,0.782755397435142,0.1947681968522024,1.0,1.0,Q3,160.5,-0.1450688381597167,0,normal,0,hit_day,6,9,2,9800.0,9500.0,6600.0,hit1,0.0,6,1,1,0,rank1
2026-01-08,2026-01,Thursday,3F_N,xgb_ranker_ndcg,full_2025,1.0,0,0.8047172471613623,9900.0,0.5,0.8047172471613623,8,0.060741754976657,5400.0,0.5,0.060741754976657,0.7439754921847053,1.0,1.0,Q4,160.5,-0.1450688381597167,0,normal,0,hit_day,0,8,1,9900.0,5400.0,2400.0,hit1,0.0,0,1,1,0,rank1
2026-01-09,2026-01,Friday,2F_N,xgb_ranker_ndcg,full_2025,1.0,4,0.2635365071402716,10900.0,0.5,0.2635365071402716,6,0.16302363846518,12000.0,0.5,0.16302363846518,0.1005128686750915,1.0,1.0,Q3,144.0,-0.39190587870800436,0,normal,0,hit_day,2,6,4,13600.0,12000.0,10900.0,miss1_hit2,1600.0,6,0,1,0,rank2
2026-01-09,2026-01,Friday,3F_A,xgb_ranker_ndcg,full_2025,0.75,3,0.9178841187281448,10700.0,0.5,0.9178841187281448,0,0.2232332626053823,5100.0,0.5,0.2232332626053823,0.6946508561227623,1.0,1.0,Q4,144.0,-0.39190587870800436,0,normal,0,hit_day,3,0,9,10700.0,5100.0,2900.0,hit1,0.0,3,1,1,0,rank1
