rank,last_digit,combined_score
1,6,3.2
2,8,3.1999999999999997
3,0,2.4000000000000004
4,7,2.1
5,4,2.0
6,2,1.9000000000000001
7,1,1.9
8,9,1.9
9,3,1.8
10,5,1.5999999999999999
