date,month,weekday,expert,model,target_label,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_machine_count,top1_avg_diff_per_machine,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,confidence_band,operational_pick_tail,operational_pick_source,operational_pick_pred,operational_pick_actual_raw_diff,operational_pick_in_actual_top2,top1_is_avoid,top2_is_avoid,hit_at_2,hit_at_3
2026-01-04,2026-01,Sunday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,5,0.998204382534428,-38400.0,16.0,-2400.0,0.5,0.998204382534428,2,0.9926108344643993,-25600.0,0.5,0.9926108344643993,0.005593548070028653,low,5,top1_default,0.998204382534428,-38400.0,0,0,0,0.0,0.0
2026-01-05,2026-01,Monday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,7,0.03165979059556597,-900.0,3.0,-300.0,0.5,0.03165979059556597,4,0.013811566331554113,-800.0,0.5,0.013811566331554113,0.017848224264011857,low,7,top1_default,0.03165979059556597,-900.0,0,0,0,0.0,0.0
2026-01-05,2026-01,Monday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,6,0.3479048268258693,-3700.0,31.0,-119.35483870967742,0.5,0.3479048268258693,2,0.19308819820620665,-2400.0,0.5,0.19308819820620665,0.15481662861966267,medium,6,top1_default,0.3479048268258693,-3700.0,0,0,0,0.0,0.0
2026-01-05,2026-01,Monday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,9,0.9946154170202692,-6800.0,21.0,-323.8095238095238,0.5,0.9946154170202692,5,0.8992771439108478,-4100.0,0.5,0.8992771439108478,0.09533827310942145,low,9,top1_default,0.9946154170202692,-6800.0,0,0,0,0.0,0.0
2026-01-05,2026-01,Monday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,9,0.9930441634436288,-21100.0,15.0,-1406.6666666666667,0.5,0.9930441634436288,5,0.0014583325476636142,22300.0,0.5,0.0014583325476636142,0.9915858308959652,high,9,top1_default,0.9930441634436288,-21100.0,0,0,0,0.0,0.0
2026-01-06,2026-01,Tuesday,2F_A,xgb_ranker_ndcg,is_worst_1,recent_60d,0.75,5,0.7165414376353607,-2100.0,4.0,-525.0,0.5,0.7165414376353607,1,0.6798197768923656,-2000.0,0.5,0.6798197768923656,0.0367216607429951,low,5,top1_default,0.7165414376353607,-2100.0,0,0,0,0.0,0.0
2026-01-06,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,9,0.994930585055312,-23600.0,32.0,-737.5,0.5,0.994930585055312,3,0.5261994480994353,-10800.0,0.5,0.5261994480994353,0.46873113695587665,high,9,top1_default,0.994930585055312,-23600.0,0,0,0,0.0,0.0
2026-01-06,2026-01,Tuesday,3F_A,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,7,0.9722370237331642,-3300.0,21.0,-157.14285714285714,0.5,0.9722370237331642,1,0.9133716111054734,-4000.0,0.5,0.9133716111054734,0.05886541262769085,low,7,top1_default,0.9722370237331642,-3300.0,0,0,0,0.0,0.0
2026-01-06,2026-01,Tuesday,3F_N,xgb_ranker_ndcg,is_worst_1,full_2025,1.0,4,0.5928063632108302,-12000.0,15.0,-800.0,0.5,0.5928063632108302,9,0.021844521544846528,-7400.0,0.5,0.021844521544846528,0.5709618416659837,high,4,top1_default,0.5928063632108302,-12000.0,0,0,0,0.0,0.0
2026-01-07,2026-01,Wednesday,2F_A,xgb_ranker_ndcg,is_worst_1,full_2025,0.75,8,0.41283733234471043,-2000.0,3.0,-666.6666666666666,0.5,0.41283733234471043,9,0.36736930732993933,-2500.0,0.5,0.36736930732993933,0.045468025014771096,low,8,top1_default,0.41283733234471043,-2000.0,0,0,0,0.0,0.0
