condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,anomaly,57,5,1.0,,0.0,1000.0,2300.0
anomaly_direction,normal,375,21,0.7619047619047619,0.0,0.013333333333333334,200.0,3600.0
difficulty_failure,hit_day,420,21,0.9523809523809523,0.0,0.002380952380952381,0.0,1700.0
difficulty_failure,miss_day,12,5,0.2,0.0,0.3333333333333333,9100.0,17100.0
pred_span_quartile,Q1,108,16,0.6875,0.0,0.046296296296296294,2900.0,9325.0
pred_span_quartile,Q2,108,8,1.0,,0.0,100.0,550.0
pred_span_quartile,Q3,108,2,1.0,,0.0,0.0,0.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,fri_sat,126,8,1.0,,0.0,0.0,250.0
weekday,mon_thu,183,8,0.75,0.0,0.01092896174863388,800.0,2175.0
weekday,sunday,63,5,0.6,0.0,0.031746031746031744,10000.0,14500.0
weekday,wednesday,60,5,0.8,0.0,0.016666666666666666,0.0,0.0
