debut_phase,section_size_group,n,n_machines,avg_diff,plus_rate,avg_games,note
1-14日,L,3649,31,-531,36.2,5775.6,
1-14日,M,3010,20,-220,37.7,5678.4,
1-14日,S,455,11,-30,38.0,5760.4,
15-60日,L,11707,32,-184,36.2,4487.1,
15-60日,M,6246,16,-127,35.8,4609.0,
15-60日,S,1067,13,77,42.9,4709.8,
61-180日,L,16354,32,91,37.5,4047.3,
61-180日,M,9967,20,146,36.8,4085.4,
61-180日,S,2215,10,42,40.3,4226.1,
181日+,L,6488,10,107,38.5,3859.3,
181日+,M,1972,9,126,34.4,4058.0,
181日+,S,239,3,56,38.9,4000.1,
