weekday,mean_row_concentration_ratio,mean_gini_above_mean,pct_high_concentration,pct_low_gini,n_days
月,27.9042,0.2578,82.6,93.5,46
火,16.8012,0.2567,93.5,95.7,46
水,-405.2578,0.2572,87.0,91.3,46
木,41.3814,0.263,95.7,93.5,46
金,232.3523,0.2536,87.0,97.8,46
土,4.1961,0.2501,82.6,100.0,46
日,18.8426,0.2545,86.4,90.9,44
