mode,weekday,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean,all_bt_mean,concentration_delta,n_days
normal,月,0,289.756,1,267.077,9-0-1,214.229,144.76,69.468,45
normal,火,9,490.431,7,434.597,7-8-9,393.078,304.725,88.353,46
normal,水,3,386.081,0,312.255,3-4-5,269.004,208.448,60.556,45
normal,木,8,273.077,1,257.975,8-9-0,214.603,146.625,67.978,45
normal,金,1,446.547,2,280.351,0-1-2,261.438,178.55,82.888,46
normal,土,9,245.933,8,243.192,7-8-9,191.772,120.482,71.29,46
normal,日,0,445.5,1,444.514,0-1-2,396.915,280.258,116.657,44
all_high,月,9,2740.0,3,2275.0,9-0-1,2375.833,1505.952,869.881,1
all_high,水,4,2171.429,7,1933.333,2-3-4,1782.143,1365.893,416.25,1
all_high,木,9,1500.0,3,1250.0,3-4-5,1083.333,854.333,229.0,1
