distance,n_days,pct,weekday_breakdown
0,0,0.0,"{""月"": 0, ""火"": 0, ""水"": 0, ""木"": 0, ""金"": 0, ""土"": 0, ""日"": 0}"
1,66,20.6,"{""月"": 9, ""火"": 10, ""水"": 9, ""木"": 9, ""金"": 8, ""土"": 13, ""日"": 8}"
2,74,23.1,"{""月"": 10, ""火"": 12, ""水"": 5, ""木"": 9, ""金"": 16, ""土"": 9, ""日"": 13}"
3,69,21.6,"{""月"": 11, ""火"": 10, ""水"": 13, ""木"": 10, ""金"": 10, ""土"": 5, ""日"": 10}"
4,69,21.6,"{""月"": 7, ""火"": 10, ""水"": 11, ""木"": 13, ""金"": 7, ""土"": 13, ""日"": 8}"
5,42,13.1,"{""月"": 9, ""火"": 4, ""水"": 8, ""木"": 5, ""金"": 5, ""土"": 6, ""日"": 5}"
