series_name,n_obs,adf_stat,p_value,used_lag,critical_1pct,critical_5pct,critical_10pct,is_stationary_5pct
avg_diff,311,-4.8335735031229605,4.6888976691874853e-05,8,-3.451552879535732,-2.8708786756338407,-2.571745666091128,1
lag1_avg_diff,310,-4.851677198932418,4.326914518253003e-05,8,-3.451621854687657,-2.870908950689806,-2.571761810613944,1
lag7_avg_diff,304,-4.730854356420241,7.361091635270149e-05,8,-3.452045317832011,-2.871094805558846,-2.571860921485457,1
roll7_avg_diff,304,-3.9384800797355735,0.0017692153114541305,14,-3.452045317832011,-2.871094805558846,-2.571860921485457,1
roll14_avg_diff,301,-4.426746657586074,0.00026609863676233105,17,-3.452263435801039,-2.871190526189069,-2.571911967527952,1
roll28_avg_diff,318,-18.94431488261664,0.0,0,-3.451082300831733,-2.87067210822307,-2.5716355136268345,1
