date,weekday,avg_diff,is_anomaly,anomaly_direction,zscore,rolling_median,iqd_bound_upper,iqd_bound_lower
2025-07-07,月,2597.0,0,,,,,
2025-07-08,火,757.0,0,,,,,
2025-07-09,水,1029.0,0,,,,,
2025-07-10,木,868.0,0,,,,,
2025-07-11,金,608.0,0,,,,,
2025-07-12,土,896.0,0,,,,,
2025-07-13,日,446.0,0,,,,,
2025-07-14,月,652.0,0,,,,,
2025-07-15,火,546.0,0,,,,,
2025-07-16,水,288.0,0,,,,,
2025-07-17,木,565.0,0,,,,,
2025-07-18,金,358.0,0,,,,,
2025-07-19,土,223.0,0,,,,,
2025-07-20,日,597.0,0,,-0.020093432633716993,602.5,1341.0,-136.0
2025-07-21,月,652.0,0,,0.1875387045813586,608.0,1241.0,-25.0
2025-07-22,火,449.0,0,,-0.6153684992570579,602.5,1275.5,-70.5
2025-07-23,水,341.0,0,,-1.1104308681672026,597.0,1219.0,-25.0
2025-07-24,木,320.0,0,,-1.0038175338560227,581.0,1282.5,-120.5
2025-07-25,金,295.0,0,,-1.0259999999999998,565.0,1275.0,-145.0
2025-07-26,土,460.0,0,,-0.39700924499229584,555.5,1204.5,-93.5
2025-07-27,日,496.0,0,,-0.229421768707483,546.0,1134.0,-42.0
2025-07-28,月,199.0,0,,-1.4160651996740017,521.0,1134.5,-92.5
2025-07-29,火,270.0,0,,-0.9482861586314153,496.0,1139.0,-147.0
2025-07-30,水,243.0,0,,-0.937220990391722,478.0,1154.5,-198.5
2025-07-31,木,622.0,0,,0.5119698795180723,496.0,1160.0,-168.0
2025-08-01,金,536.0,0,,0.0845105716523101,516.0,1154.5,-122.5
2025-08-02,土,457.0,0,,-0.17165089722675367,496.0,1109.0,-117.0
2025-08-03,日,482.0,0,,-0.0321463829787234,489.0,1076.5,-98.5
2025-08-04,月,370.0,0,,-0.537679715302491,482.0,1044.0,-80.0
2025-08-05,火,559.0,0,,0.34558096980786823,489.0,1035.5,-57.5
2025-08-06,水,416.0,0,,-0.28536538461538463,471.0,991.0,-49.0
2025-08-07,木,458.0,0,,-0.005534358974358974,459.0,946.5,-28.5
2025-08-08,金,397.0,0,,-0.3739495990836197,457.5,894.0,21.0
2025-08-09,土,304.0,0,,-0.8720216919739696,453.0,914.0,-8.0
2025-08-10,日,107.0,0,,-1.950464968152866,447.5,918.5,-23.5
2025-08-11,月,376.0,0,,-0.3403440366972477,431.0,867.0,-5.0
2025-08-12,火,286.0,0,,-0.7106207650273224,406.5,864.0,-51.0
2025-08-13,水,193.0,0,,-1.2874549938347717,386.5,792.0,-19.0
2025-08-14,木,164.0,0,,-1.4839,373.0,753.0,-7.0
2025-08-15,金,181.0,0,,-1.2790518518518519,373.0,778.0,-32.0
2025-08-16,土,350.0,0,,-0.10181132075471698,364.0,735.0,-7.0
2025-08-17,日,252.0,0,,-0.7176945812807881,360.0,766.0,-46.0
2025-08-18,月,264.0,0,,-0.6675463917525772,360.0,748.0,-28.0
2025-08-19,火,161.0,0,,-1.2275733662145498,345.5,751.0,-60.0
2025-08-20,水,105.0,0,,-1.4502955899880812,330.5,750.0,-89.0
2025-08-21,木,170.0,0,,-0.8091151003167899,312.0,785.5,-161.5
2025-08-22,金,443.0,0,,0.7257453798767968,312.0,799.0,-175.0
2025-08-23,土,226.0,0,,-0.40020787083753784,299.5,795.0,-196.0
2025-08-24,日,291.0,0,,-0.03539253279515641,297.5,793.0,-198.0
2025-08-25,月,478.0,0,,0.9828234106962664,297.5,793.0,-198.0
2025-08-26,火,228.0,0,,-0.3540759219088937,288.5,749.5,-172.5
2025-08-27,水,348.0,0,,0.3247890345649583,297.5,717.0,-122.0
2025-08-28,木,159.0,0,,-0.7950489361702128,297.5,767.5,-172.5
2025-08-29,金,132.0,0,,-0.8850723488602577,297.5,802.0,-207.0
2025-08-30,土,555.0,0,,1.3770763131813677,297.5,802.0,-207.0
2025-08-31,日,316.0,0,,0.10981958195819581,297.5,752.0,-157.0
2025-09-01,月,-351.0,1,low,-3.9392031963470315,288.5,726.5,-149.5
2025-09-02,火,144.0,0,,-0.8455454545454545,275.0,693.0,-143.0
2025-09-03,水,310.0,0,,0.23144607843137255,275.0,683.0,-133.0
2025-09-04,木,360.0,0,,0.5972135416666666,275.0,659.0,-109.0
2025-09-05,金,264.0,0,,0.0,264.0,632.0,-104.0
2025-09-06,土,558.0,0,,2.155467391304348,264.0,632.0,-104.0
2025-09-07,日,166.0,0,,-0.7071680911680912,258.0,609.0,-93.0
2025-09-08,月,371.0,0,,0.8239837837837837,258.0,628.0,-112.0
2025-09-09,火,163.0,0,,-0.6927297297297297,258.0,628.0,-112.0
2025-09-10,水,179.0,0,,-0.4688831908831909,240.0,591.0,-111.0
2025-09-11,木,150.0,0,,-0.5876831683168317,227.0,580.5,-126.5
2025-09-12,金,63.0,0,,-1.2394173669467787,227.0,584.0,-130.0
2025-09-13,土,462.0,0,,1.592968085106383,240.0,616.0,-136.0
2025-09-14,日,305.0,0,,0.33725,258.0,634.0,-118.0
2025-09-15,月,322.0,0,,0.47964444444444443,258.0,618.0,-102.0
2025-09-16,火,168.0,0,,-0.5845666666666667,246.0,606.0,-114.0
2025-09-17,水,388.0,0,,0.97983631713555,246.0,637.0,-145.0
2025-09-18,木,97.0,0,,-1.0203096446700508,246.0,640.0,-148.0
2025-09-19,金,24.0,0,,-1.5201928934010154,246.0,640.0,-148.0
2025-09-20,土,256.0,0,,-0.027390862944162438,260.0,654.0,-134.0
2025-09-21,日,515.0,0,,1.7461675126903553,260.0,654.0,-134.0
2025-09-22,月,129.0,0,,-0.863096459096459,260.0,669.5,-149.5
2025-09-23,火,219.0,0,,-0.15153601953601953,242.0,651.5,-167.5
2025-09-24,水,201.0,0,,-0.16038309114927343,223.5,602.0,-155.0
2025-09-25,木,179.0,0,,-0.22097225891677674,210.0,588.5,-168.5
2025-09-26,金,180.0,0,,-0.08418722139673106,190.5,527.0,-146.0
2025-09-27,土,286.0,0,,0.6129985052316891,210.0,544.5,-124.5
2025-09-28,日,175.0,0,,-0.3012121212121212,210.0,523.5,-103.5
2025-09-29,月,51.0,0,,-1.1670418604651163,190.5,513.0,-132.0
2025-09-30,火,421.0,0,,1.8759849170437406,190.5,522.0,-141.0
2025-10-01,水,540.0,0,,2.383775100401606,210.0,583.5,-163.5
2025-10-02,木,75.0,0,,-0.9751807228915662,210.0,583.5,-163.5
2025-10-03,金,270.0,0,,0.43341365461847386,210.0,583.5,-163.5
2025-10-04,土,259.0,0,,0.42922727272727274,210.0,518.0,-98.0
2025-10-05,日,344.0,0,,1.0344263233190272,210.0,559.5,-139.5
2025-10-06,月,170.0,0,,-0.17957467532467533,190.5,498.5,-117.5
2025-10-07,火,179.0,0,,-0.10106514657980456,190.5,497.5,-116.5
2025-10-08,水,138.0,0,,-0.3808401360544218,179.5,473.5,-114.5
2025-10-09,木,209.0,0,,0.17122813036020582,190.5,482.0,-101.0
2025-10-10,金,202.0,0,,0.00462778730703259,201.5,493.0,-90.0
2025-10-11,土,-187.0,1,low,-3.386665589660743,201.5,511.0,-108.0
2025-10-13,月,340.0,0,,1.215681742043551,205.5,504.0,-93.0
