last_digit,mean_diff,n_rows,pct_rows,rank
0,212.0563928050559,6171,10.13500197083169,8
1,217.45260087506077,6171,10.13500197083169,6
2,227.48339005023496,6171,10.13500197083169,3
3,242.98410528114852,5851,9.609446853238733,1
4,231.78943770295675,5851,9.609446853238733,2
5,216.01973684210526,6080,9.985547234266194,7
6,219.78618421052633,6080,9.985547234266194,5
7,198.10403500243072,6171,10.13500197083169,10
8,222.55712202236268,6171,10.13500197083169,4
9,210.40350024307244,6171,10.13500197083169,9
