section,last_digit,machine_type,mean_diff,median_diff,std_diff,n_rows,n_days
all_digits,0,,197.38715277777777,-300.0,2783.237188925832,23040,320
all_digits,1,,175.96283783783784,-300.0,2729.9201684897394,23680,320
all_digits,2,,203.43315972222223,-300.0,2799.7426484222133,23040,320
all_digits,3,,135.8230633802817,-300.0,2743.1166919485995,22720,320
all_digits,4,,187.87852112676057,-300.0,2790.285331061836,22720,320
all_digits,5,,176.7913732394366,-300.0,2739.552957465289,22720,320
all_digits,6,,233.5299295774648,-300.0,2827.8731943106823,22720,320
all_digits,7,,190.49735915492957,-300.0,2796.295632211419,22720,320
all_digits,8,,226.54489436619718,-300.0,2773.4813203567874,22720,320
all_digits,9,,220.68221830985917,-300.0,2774.316851100397,22720,320
digit3_by_machine_type,3,AT系,84.93260913297124,-600.0,3233.514896546861,14913,320
digit3_by_machine_type,3,A型,242.98410528114852,-100.0,1321.381011424846,5851,320
digit3_by_machine_type,3,BT,203.2719836400818,-100.0,1552.185005469531,1956,320
