weekday,last_digit,mean_diff,median_diff,n_rows,n_days
月,0,229.53776775648254,-100.0,887,46
月,1,221.42051860202932,-100.0,887,46
月,2,170.91319052987598,-100.0,887,46
月,3,261.47443519619503,-100.0,841,46
月,4,245.89774078478,-100.0,841,46
月,5,165.90389016018307,-200.0,874,46
月,6,212.92906178489702,-100.0,874,46
月,7,193.34836527621195,-100.0,887,46
月,8,197.1815107102593,-100.0,887,46
月,9,204.28410372040585,-100.0,887,46
火,0,221.87147688838783,-100.0,887,46
火,1,182.1871476888388,-100.0,887,46
火,2,165.3889515219842,-200.0,887,46
火,3,249.10820451843043,-100.0,841,46
火,4,222.82996432818075,-100.0,841,46
火,5,260.2974828375286,-100.0,874,46
火,6,217.04805491990848,-100.0,874,46
火,7,182.1871476888388,-100.0,887,46
火,8,254.0022547914318,-100.0,887,46
火,9,175.19729425028186,-100.0,887,46
水,0,214.31792559188276,-100.0,887,46
水,1,252.19842164599774,-100.0,887,46
水,2,162.9086809470124,-100.0,887,46
水,3,244.589774078478,-100.0,841,46
水,4,221.28418549346017,-100.0,841,46
水,5,207.4370709382151,-100.0,874,46
水,6,175.05720823798626,-200.0,874,46
水,7,234.83652762119505,-200.0,887,46
水,8,220.63134160090192,-100.0,887,46
水,9,124.35174746335964,-200.0,887,46
木,0,291.31905298759864,-100.0,887,46
木,1,273.2807215332582,-100.0,887,46
木,2,308.1172491544532,0.0,887,46
木,3,177.40784780023782,-200.0,841,46
木,4,269.67895362663495,-100.0,841,46
木,5,136.04118993135012,-200.0,874,46
木,6,148.62700228832952,-200.0,874,46
木,7,195.03945885005638,-100.0,887,46
木,8,221.7587373167982,-100.0,887,46
木,9,301.2401352874859,-100.0,887,46
金,0,109.01916572717023,-200.0,887,46
金,1,163.02142051860204,-100.0,887,46
金,2,159.6392333709132,-200.0,887,46
金,3,136.86087990487516,-200.0,841,46
金,4,238.64447086801428,-100.0,841,46
金,5,177.116704805492,-100.0,874,46
金,6,147.7116704805492,-100.0,874,46
金,7,166.85456595264938,-100.0,887,46
金,8,169.10935738444195,-200.0,887,46
金,9,162.9086809470124,-200.0,887,46
土,0,165.05073280721533,-100.0,887,46
土,1,195.03945885005638,-100.0,887,46
土,2,359.5264937993236,0.0,887,46
土,3,290.36860879904873,0.0,841,46
土,4,174.91082045184305,-200.0,841,46
土,5,282.03661327231123,-100.0,874,46
土,6,294.5080091533181,0.0,874,46
土,7,171.13866967305523,-100.0,887,46
土,8,198.53438556933483,-100.0,887,46
土,9,229.31228861330328,-100.0,887,46
日,0,255.12367491166077,-100.0,849,44
日,1,235.80683156654888,-100.0,849,44
日,2,267.60895170789166,-100.0,849,44
日,3,345.46583850931677,0.0,805,44
日,4,250.06211180124222,-100.0,805,44
日,5,286.3636363636364,-100.0,836,44
日,6,348.20574162679424,-100.0,836,44
日,7,245.34746760895172,-100.0,849,44
日,8,300.0,-100.0,849,44
日,9,278.4452296819788,-100.0,849,44
