lag,n_samples,positive_rate,mi_score,spearman_abs,auc_raw_best_sign,cv_auc_logreg
9,3110,0.18778135048231512,0.0,0.01039526858564196,0.5076837872428117,0.5084388529020959
2,3180,0.1877358490566038,0.0,0.006513544718666181,0.5048150158457794,0.5061655806704928
3,3170,0.18769716088328076,0.0,0.005822452117688712,0.5043044790731827,0.5037624892112134
11,3090,0.18770226537216828,0.0,0.010476227584868785,0.5077448825388103,0.5028097653682332
28,2920,0.18801369863013698,0.0,0.003452246442170817,0.5025505520178171,0.502312864969279
5,3150,0.18793650793650793,0.0,0.004164488604142358,0.5030772563024322,0.50194093488646
6,3140,0.18789808917197454,0.0,0.007123557502139458,0.5052642073778664,0.5018350900834511
14,3060,0.18758169934640523,0.0,0.0008197585977385366,0.500606182076072,0.5017087580027669
8,3120,0.18782051282051282,0.0,0.0021685421369381005,0.5016027756302679,0.500250825859591
27,2930,0.18805460750853242,0.0,5.163305231847726e-05,0.5000381438006025,0.49893295163947754
21,2990,0.1879598662207358,0.0,0.0010959651905810925,0.5008097990818857,0.4986230549780489
15,3050,0.18754098360655738,0.0,0.0016265737133110668,0.5012028931520457,0.4983237457976782
13,3070,0.18762214983713354,0.0,0.0011909416230305961,0.5008805856277287,0.4968963537101397
10,3100,0.18774193548387097,0.0,0.0016477255077751059,0.5012180342769176,0.4968248107256926
12,3080,0.18766233766233767,0.0,0.0035166349224649085,0.5025999961276654,0.496242166712907
1,3190,0.1877742946708464,0.0,0.001625692522095498,0.5012016682892948,0.4959095080808842
7,3130,0.1878594249201278,0.0,0.0018376924034773001,0.5013581357011726,0.4950954999806453
4,3160,0.1879746835443038,0.0,0.006615231757496181,0.5048877971715072,0.4934632574718131
