weekday,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean,top1_position,direction,left_neighbor_mean,right_neighbor_mean
月,2,248.61111111111111,4,241.3962033067973,2-3-4,219.39823319951915,left,rightward,201.58636897767332,168.1873851806491
火,6,295.56031843233313,9,283.5272504592774,6-7-8,264.645846091039,left,rightward,191.09001837109614,236.95652173913044
水,8,254.6846295162278,1,253.6427732079906,8-9-0,231.649457939262,left,rightward,139.55909369259032,235.9461114513166
木,2,259.2693236714976,7,254.04164115125536,0-1-2,241.50019584802195,right,leftward,217.97884841363103,117.9730557256583
金,9,231.16962645437843,6,225.93386405388856,8-9-0,182.05912204304732,center,centered,187.0789957134109,127.92874396135265
土,6,307.8383343539498,2,266.1231884057971,6-7-8,254.11308430291896,left,rightward,209.1855480710349,224.31108389467238
日,6,286.5877080665813,1,231.87960687960688,6-7-8,219.4302176696543,left,rightward,191.58130601792573,154.1933418693982
