lag,acf_value,pacf_value,acf_significant,pacf_significant,in_roll7,in_roll14,in_roll28
0,1.0,1.0,0,0,0,0,0
1,0.3132844983709158,0.31328449837091576,1,1,1,1,1
2,0.32160183329370196,0.2477728634378781,1,1,1,1,1
3,0.3097793249893381,0.18472453597889235,1,1,1,1,1
4,0.2673440071532979,0.10391870139956395,1,0,1,1,1
5,0.2922708854108711,0.12899098383988908,1,1,1,1,1
6,0.23968188360233067,0.05019878371989195,1,0,1,1,1
7,0.19392022209487841,-0.002172663381598653,1,0,1,1,1
8,0.20340853465320766,0.030269891640107904,1,0,0,1,1
9,0.21833408101878596,0.06573317717541331,1,0,0,1,1
10,0.20669994409900155,0.047406154800694066,1,0,0,1,1
11,0.18980840068656496,0.025586210081970196,1,0,0,1,1
12,0.160973052556235,-0.00217360609686758,0,0,0,1,1
13,0.1711456581638655,0.022307617607897373,0,0,0,1,1
14,0.23622591788198427,0.10719278471923495,1,0,0,1,1
15,0.1774570924209738,0.014263823830079887,0,0,0,0,1
16,0.15227740124396444,-0.016481295622990996,0,0,0,0,1
17,0.17812225797942105,0.0324854995898153,0,0,0,0,1
18,0.14404722487975002,-0.007529795433411796,0,0,0,0,1
19,0.18974195095005236,0.04732289065171932,1,0,0,0,1
20,0.1846420631504443,0.04393144693727705,0,0,0,0,1
21,0.15638348892577744,0.01469521121784056,0,0,0,0,1
22,0.1629603578224965,0.014165449877311283,0,0,0,0,1
23,0.1391295687678141,-0.016937928333856194,0,0,0,0,1
24,0.18912605600233542,0.05605289499799405,0,0,0,0,1
25,0.20077424486435344,0.06578816155733025,1,0,0,0,1
26,0.13652226994502414,-0.021492090292177007,0,0,0,0,1
27,0.17145753175060424,0.027213870221590743,0,0,0,0,1
28,0.1399297443896231,-0.021102729676588116,0,0,0,0,1
29,0.18128933188569374,0.045172140285184174,0,0,0,0,0
30,0.13419082646094685,-0.022948045912193283,0,0,0,0,0
