weekday,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean,all_atype_mean,concentration_delta,n_days
月,3,261.474,4,245.898,2-3-4,226.095,210.289,15.806,46
火,5,260.297,8,254.002,3-4-5,244.079,213.012,31.067,46
水,1,252.198,3,244.59,3-4-5,224.437,205.761,18.676,46
木,2,308.117,9,301.24,0-1-2,290.906,232.251,58.655,46
金,4,238.644,5,177.117,4-5-6,187.824,163.089,24.736,46
土,2,359.526,6,294.508,1-2-3,281.645,236.043,45.602,46
日,6,348.206,3,345.466,6-7-8,297.851,281.243,16.608,44
