weekday,all_digits_mean,best_cluster,best_cluster_mean,concentration_ratio,concentration_delta,top1_digit,top2_digit,top1_top2_distance,direction
月,211.15,2-3-4,219.4,1.0391,8.25,2,4,2,rightward
火,215.32,6-7-8,264.65,1.2291,49.32,6,9,3,rightward
水,193.03,8-9-0,231.65,1.2001,38.62,8,1,3,rightward
木,196.48,0-1-2,241.5,1.2291,45.02,2,7,5,leftward
金,152.23,8-9-0,182.06,1.1959,29.83,9,6,3,centered
土,209.26,6-7-8,254.11,1.2143,44.85,6,2,4,rightward
日,186.12,6-7-8,219.43,1.179,33.31,6,1,5,rightward
