model,fold,auc,recall_at_2,hit_at_2_any,train_days,valid_days,n_train,n_valid
D1_digit_selected_l2_C1,1,0.5180851063829787,0.37,0.46,50,50,591,594
D1_digit_selected_l2_C1,2,0.5079473684210526,0.32,0.38,100,50,1185,595
D1_digit_selected_l2_C1,3,0.5297872340425531,0.34,0.42,150,50,1780,594
D1_digit_selected_l2_C1,4,0.5105000000000001,0.35,0.48,200,50,2374,592
D1_digit_selected_l2_C1,5,0.5247916666666667,0.35,0.44,250,50,2966,596
D2_digit_selected_l2_C0.3,1,0.5181063829787234,0.37,0.46,50,50,591,594
D2_digit_selected_l2_C0.3,2,0.5079052631578946,0.32,0.38,100,50,1185,595
D2_digit_selected_l2_C0.3,3,0.5298085106382978,0.34,0.42,150,50,1780,594
D2_digit_selected_l2_C0.3,4,0.5104782608695653,0.35,0.48,200,50,2374,592
D2_digit_selected_l2_C0.3,5,0.5248125,0.35,0.44,250,50,2966,596
D3_digit_plus_hall_l2_C0.3,1,0.5134500915750916,0.3541666666666667,0.4583333333333333,48,48,568,571
D3_digit_plus_hall_l2_C0.3,2,0.512115036231884,0.2708333333333333,0.3541666666666667,96,48,1139,572
D3_digit_plus_hall_l2_C0.3,3,0.5222963483146067,0.3333333333333333,0.4166666666666667,144,48,1711,569
D3_digit_plus_hall_l2_C0.3,4,0.5091175093632959,0.34375,0.4791666666666667,192,48,2280,569
D3_digit_plus_hall_l2_C0.3,5,0.5355298913043478,0.40625,0.5,240,48,2849,572
D4_digit_plus_hall_context_l2_C0.3,1,0.5091002747252747,0.3020833333333333,0.3541666666666667,48,48,568,571
D4_digit_plus_hall_context_l2_C0.3,2,0.504393115942029,0.2916666666666667,0.375,96,48,1139,572
D4_digit_plus_hall_context_l2_C0.3,3,0.5184339887640449,0.3541666666666667,0.4375,144,48,1711,569
D4_digit_plus_hall_context_l2_C0.3,4,0.509936797752809,0.34375,0.4166666666666667,192,48,2280,569
D4_digit_plus_hall_context_l2_C0.3,5,0.5248188405797102,0.3958333333333333,0.4583333333333333,240,48,2849,572
D5_digit_plus_interactions_elasticnet,1,0.5143887362637363,0.3229166666666667,0.375,48,48,568,571
D5_digit_plus_interactions_elasticnet,2,0.494519927536232,0.3645833333333333,0.4583333333333333,96,48,1139,572
D5_digit_plus_interactions_elasticnet,3,0.4980922284644195,0.28125,0.3958333333333333,144,48,1711,569
D5_digit_plus_interactions_elasticnet,4,0.5084620786516854,0.28125,0.375,192,48,2280,569
D5_digit_plus_interactions_elasticnet,5,0.5050271739130435,0.28125,0.4166666666666667,240,48,2849,572
