lag,n_samples,positive_rate,mi_score,spearman_abs,auc_raw_best_sign,cv_auc_logreg
1,3789,0.15808920559514383,0.0,0.028544263804848532,0.5225862330634653,0.5272289735798757
5,3742,0.15820416889363975,0.0,0.03271721242697248,0.5258805233805235,0.5259786564844178
11,3670,0.15803814713896458,0.0,0.010902128663991055,0.5086276643231782,0.5157693220045932
2,3777,0.1580619539316918,0.0,0.006057376595454786,0.5047933588276814,0.505172654326659
27,3481,0.15828784831944842,0.0,0.0023355271597649556,0.5018470915431452,0.5048171923287184
10,3682,0.15806626833242804,0.0,0.018614979341455378,0.5147303514022835,0.5006725125340016
9,3694,0.1580942068218733,0.0,0.00021118646662279784,0.5001671034665023,0.4998093430920755
15,3622,0.157923799006074,0.0,0.006899160820623467,0.5054614238220796,0.49842600175276297
28,3469,0.15825886422600172,0.0,0.0010276693881051968,0.5008128103400953,0.4981359291121518
12,3658,0.1580098414434117,0.0,0.006399497998506479,0.5050647665483305,0.49730694309284573
6,3730,0.1581769436997319,0.0,0.0036074518868003586,0.5028538270538702,0.4971856764997743
14,3634,0.15795266923500276,0.0,0.003228423887220093,0.5025554530755392,0.49686632816447257
8,3706,0.15812196438208312,0.0,0.009965270324236742,0.5078845606895948,0.49193336766326456
13,3646,0.15798134942402633,0.0,0.003653524871433992,0.5028917277415852,0.49048163146611506
4,3754,0.1582312200319659,0.0,0.010496025342534578,0.5083021672420407,0.48854117073811476
7,3718,0.15814954276492738,0.0,0.010017786585581603,0.507925550411858,0.488436437719027
3,3765,0.15803452855245684,0.0,0.009202001207747801,0.5072822946213186,0.4826743593221754
21,3552,0.15822072072072071,0.0,0.003799317389993437,0.5030052726169081,0.4817033521155073
