weekday,last_digit,mean_diff,median_diff,n_rows,n_days
月,0,201.08695652173913,-300.0,3312,46
月,1,201.58636897767332,-300.0,3404,46
月,2,248.61111111111111,-300.0,3312,46
月,3,168.1873851806491,-300.0,3266,46
月,4,241.3962033067973,-300.0,3266,46
月,5,214.94182486221678,-300.0,3266,46
月,6,195.25413349663197,-300.0,3266,46
月,7,200.24494794856093,-300.0,3266,46
月,8,240.8450704225352,-200.0,3266,46
月,9,199.32639314145743,-300.0,3266,46
火,0,158.9673913043478,-300.0,3312,46
火,1,80.25851938895417,-300.0,3404,46
火,2,230.31400966183574,-300.0,3312,46
火,3,270.4225352112676,-300.0,3266,46
火,4,144.70300061236986,-300.0,3266,46
火,5,191.09001837109614,-300.0,3266,46
火,6,295.56031843233313,-300.0,3266,46
火,7,236.95652173913044,-300.0,3266,46
火,8,261.4206981016534,-300.0,3266,46
火,9,283.5272504592774,-300.0,3266,46
水,0,204.31763285024155,-300.0,3312,46
水,1,253.6427732079906,-300.0,3404,46
水,2,170.04830917874395,-300.0,3312,46
水,3,101.59216166564605,-300.0,3266,46
水,4,234.84384568279242,-300.0,3266,46
水,5,168.46295162278017,-300.0,3266,46
水,6,167.2075933864054,-300.0,3266,46
水,7,139.55909369259032,-300.0,3266,46
水,8,254.6846295162278,-300.0,3266,46
水,9,235.9461114513166,-300.0,3266,46
木,0,247.2524154589372,-300.0,3312,46
木,1,217.97884841363103,-300.0,3404,46
木,2,259.2693236714976,-300.0,3312,46
木,3,117.9730557256583,-300.0,3266,46
木,4,180.58787507654623,-300.0,3266,46
木,5,124.67850581751378,-300.0,3266,46
木,6,158.6344151867728,-300.0,3266,46
木,7,254.04164115125536,-200.0,3266,46
木,8,193.69259032455602,-300.0,3266,46
木,9,210.6858542559706,-200.0,3266,46
金,0,127.92874396135265,-300.0,3312,46
金,1,157.25616921269096,-300.0,3404,46
金,2,120.65217391304348,-300.0,3312,46
金,3,50.24494794856093,-300.0,3266,46
金,4,161.2369871402327,-300.0,3266,46
金,5,138.24249846907531,-300.0,3266,46
金,6,225.93386405388856,-300.0,3266,46
金,7,122.59644825474587,-400.0,3266,46
金,8,187.0789957134109,-300.0,3266,46
金,9,231.16962645437843,-300.0,3266,46
土,0,213.82850241545893,-300.0,3312,46
土,1,91.56874265569918,-300.0,3404,46
土,2,266.1231884057971,-200.0,3312,46
土,3,119.81016533986528,-400.0,3266,46
土,4,218.40171463563993,-300.0,3266,46
土,5,209.1855480710349,-300.0,3266,46
土,6,307.8383343539498,-300.0,3266,46
土,7,224.31108389467238,-300.0,3266,46
土,8,230.18983466013472,-300.0,3266,46
土,9,211.32884262094305,-300.0,3266,46
日,0,229.7348484848485,-300.0,3168,44
日,1,231.87960687960688,-300.0,3256,44
日,2,125.63131313131314,-300.0,3168,44
日,3,121.9270166453265,-300.0,3124,44
日,4,131.53008962868117,-400.0,3124,44
日,5,191.58130601792573,-300.0,3124,44
日,6,286.5877080665813,-300.0,3124,44
日,7,154.1933418693982,-300.0,3124,44
日,8,217.50960307298337,-300.0,3124,44
日,9,170.6145966709347,-400.0,3124,44
