weekday,machine_type,last_digit,mean_diff,median_diff,n_rows,n_days
木,A型,0,291.31905298759864,-100.0,887,46
木,A型,1,273.2807215332582,-100.0,887,46
木,A型,2,308.1172491544532,0.0,887,46
木,A型,3,177.40784780023782,-200.0,841,46
木,A型,4,269.67895362663495,-100.0,841,46
木,A型,5,136.04118993135012,-200.0,874,46
木,A型,6,148.62700228832952,-200.0,874,46
木,A型,7,195.03945885005638,-100.0,887,46
木,A型,8,221.7587373167982,-100.0,887,46
木,A型,9,301.2401352874859,-100.0,887,46
木,BT,0,137.32057416267943,-200.0,209,46
木,BT,1,267.26726726726724,0.0,333,46
木,BT,2,188.42105263157896,-200.0,285,46
木,BT,3,173.30960854092527,-200.0,281,46
木,BT,4,155.17241379310346,-100.0,261,46
木,BT,5,-42.80155642023346,-200.0,257,46
木,BT,6,79.37743190661479,-100.0,257,46
木,BT,7,108.57142857142857,-100.0,210,46
木,BT,8,282.62910798122067,100.0,213,46
木,BT,9,270.3349282296651,-100.0,209,46
木,AT系,0,239.98194945848377,-500.0,2216,46
木,AT系,1,188.003663003663,-400.0,2184,46
木,AT系,2,248.45794392523365,-500.0,2140,46
木,AT系,3,87.40671641791045,-500.0,2144,46
木,AT系,4,149.02957486136785,-400.0,2164,46
木,AT系,5,140.18735362997657,-400.0,2135,46
木,AT系,6,172.27166276346605,-400.0,2135,46
木,AT系,7,292.2544951590595,-300.0,2169,46
木,AT系,8,173.4533702677747,-400.0,2166,46
木,AT系,9,167.926267281106,-400.0,2170,46
日,A型,0,255.12367491166077,-100.0,849,44
日,A型,1,235.80683156654888,-100.0,849,44
日,A型,2,267.60895170789166,-100.0,849,44
日,A型,3,345.46583850931677,0.0,805,44
日,A型,4,250.06211180124222,-100.0,805,44
日,A型,5,286.3636363636364,-100.0,836,44
日,A型,6,348.20574162679424,-100.0,836,44
日,A型,7,245.34746760895172,-100.0,849,44
日,A型,8,300.0,-100.0,849,44
日,A型,9,278.4452296819788,-100.0,849,44
日,BT,0,445.5,150.0,200,44
日,BT,1,444.5141065830721,200.0,319,44
日,BT,2,300.7299270072993,100.0,274,44
日,BT,3,227.8810408921933,-100.0,269,44
日,BT,4,370.8,200.0,250,44
日,BT,5,91.869918699187,-250.0,246,44
日,BT,6,237.9591836734694,0.0,245,44
日,BT,7,194.5,-200.0,200,44
日,BT,8,278.32512315270935,200.0,203,44
日,BT,9,210.5,-100.0,200,44
日,AT系,0,199.19773478055686,-600.0,2119,44
日,AT系,1,197.7969348659004,-600.0,2088,44
日,AT系,2,43.22738386308068,-700.0,2045,44
日,AT系,3,20.24390243902439,-700.0,2050,44
日,AT系,4,56.50072498791687,-700.0,2069,44
日,AT系,5,164.7894221351616,-600.0,2042,44
日,AT系,6,267.20509055310816,-500.0,2043,44
日,AT系,7,113.01204819277109,-500.0,2075,44
日,AT系,8,177.75096525096524,-600.0,2072,44
日,AT系,9,122.65060240963855,-700.0,2075,44
