weekday,machine_type,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean
木,A型,2,308.117,9,301.24,0-1-2,290.906
木,BT,8,282.629,9,270.335,8-9-0,230.095
木,AT系,7,292.254,2,248.458,0-1-2,225.481
日,A型,6,348.206,3,345.466,6-7-8,297.851
日,BT,0,445.5,1,444.514,0-1-2,396.915
日,AT系,6,267.205,0,199.198,6-7-8,185.989
