last_digit,lag,acf_value,pacf_value,acf_significant,pacf_significant
0,0,1.0,1.0,0,0
0,1,0.04745330746923398,0.047453307469233943,0,0
0,2,0.0030369871570211176,0.0007869428179867933,0,0
0,3,0.05244582564870493,0.052382469002743896,0,0
0,4,0.04354165182145322,0.03876994504202288,0,0
0,5,0.020231957934123253,0.016456616848510335,0,0
0,6,0.08841564504870822,0.0846414145468181,0,0
0,7,0.07354330454359939,0.06262155160358593,0,0
0,8,-0.026505174952108627,-0.035691672683805103,0,0
0,9,0.05949738426340079,0.05376259389688588,0,0
0,10,0.025166039763629373,0.007008660062678706,0,0
0,11,0.15269228334084084,0.14976912424579694,1,1
0,12,-0.010156999207031548,-0.03570241091824049,0,0
0,13,-0.023720891116601524,-0.03661976624754449,0,0
0,14,0.11589987304509947,0.10806992323434395,1,0
0,15,0.07756979881888745,0.05701139239731714,0,0
0,16,0.10854878232355744,0.10035916924463749,0,0
0,17,0.12790514821719579,0.09801909524599044,1,0
0,18,0.04004917617011424,0.005955035273102464,0,0
0,19,-0.039339931854301985,-0.03337944159596667,0,0
0,20,-0.01614349834117847,-0.06322756119196629,0,0
0,21,0.043278084434502456,0.010735089044856207,0,0
0,22,0.09332330945764267,0.06578171334295338,0,0
0,23,-0.09503880826679036,-0.13384574233115865,0,1
0,24,0.010354538019123524,0.013303301938522335,0,0
0,25,0.04378896398325022,0.0015215250266393697,0,0
0,26,0.017183197292109455,0.003356271865239967,0,0
0,27,0.040614765897453,0.02680409207685021,0,0
0,28,0.021181158878346196,-0.03731374810746605,0,0
0,29,0.04039122132154646,0.05381700499117064,0,0
0,30,0.007311594935567785,0.011894192455576541,0,0
1,0,1.0,1.0,0,0
1,1,0.13362124326192687,0.13362124326192684,1,1
1,2,0.06821891658646573,0.05127986326164528,0,0
1,3,0.07810710354870873,0.06391318296438725,0,0
1,4,0.0959460837194759,0.07668899429339633,0,0
1,5,0.07017477037627122,0.043019512662887324,0,0
1,6,0.1490487897882052,0.12665696814664307,1,1
1,7,0.023083129877418326,-0.02497311506560204,0,0
1,8,0.024528149977977615,-6.810277719851675e-05,0,0
1,9,0.13568607177131925,0.11468258593561227,1,1
1,10,0.07309495376604352,0.02232165078859395,0,0
1,11,0.055388864206287386,0.023644408732127194,0,0
1,12,0.002631233349222399,-0.04264665831265815,0,0
1,13,0.08736632656054157,0.07193431952608297,0,0
1,14,0.10071106179373679,0.06914541147520452,0,0
1,15,0.020632319536269778,-0.04518819020282898,0,0
1,16,0.03214624111290503,0.013585974566170222,0,0
1,17,0.08538326242081119,0.06231920102388354,0,0
1,18,-0.0017366845148011167,-0.04335979376851919,0,0
1,19,-0.010082148595777475,-0.04957634804530225,0,0
1,20,0.06785049711938392,0.04296669091207249,0,0
1,21,0.03822096244786731,0.034804622989908995,0,0
1,22,0.11814869833863695,0.09470557702204671,0,0
1,23,0.08659846005798948,0.02189244300614101,0,0
1,24,0.11145753239978416,0.09436872909687542,0,0
1,25,0.0514734969148668,0.021555044572140736,0,0
1,26,0.061335645663177764,-0.004183865443501419,0,0
1,27,0.049807753092256705,0.0037338107729083287,0,0
1,28,0.11102155501936495,0.07385712897627374,0,0
1,29,0.002859074275852498,-0.04286638008208857,0,0
1,30,0.0806358401454563,0.033814526747427985,0,0
2,0,1.0,1.0,0,0
2,1,0.07371358194921959,0.07371358194921958,0,0
2,2,0.12742655143464848,0.12265935243299414,1,1
2,3,0.054241913871103865,0.03772889975944708,0,0
2,4,0.08011762114137469,0.060069458566864714,0,0
2,5,0.08679556464268387,0.06900873197022998,0,0
2,6,0.05525029890938643,0.028936676245443285,0,0
2,7,0.13694780536111786,0.11244789480391867,1,1
2,8,-0.009288553415737998,-0.043322174685469776,0,0
2,9,0.04459572857801054,0.008303938183945174,0,0
2,10,0.13150597494695782,0.1214505865402562,1,1
2,11,0.044971104615939735,0.0076246655269521894,0,0
2,12,0.05704015586350376,0.012518837124054242,0,0
2,13,-0.045918930000146636,-0.0730636885106667,0,0
2,14,0.02496358660117172,-0.007784363518787337,0,0
2,15,-0.006209714456777063,-0.007995755528890282,0,0
2,16,-0.006945475057170008,-0.028936291354381784,0,0
2,17,0.0694426972299192,0.048995629566643384,0,0
2,18,0.10466799126309084,0.11638536102417461,0,1
2,19,0.07304301316118365,0.04819953661970658,0,0
2,20,0.07549890262901904,0.05296197695916064,0,0
2,21,0.050600433242421264,0.011528259615416283,0,0
2,22,0.0026853932266192215,-0.03942842633159237,0,0
2,23,0.06990377329600564,0.06198482871099779,0,0
2,24,0.04440245495927174,0.0063550796371936,0,0
2,25,0.09517311130598395,0.059319563756677136,0,0
2,26,0.04851223316333739,0.02778990243397477,0,0
2,27,0.1195250868930749,0.07632206037757101,0,0
2,28,0.09434342336630884,0.0427384253322531,0,0
2,29,0.12010552946909832,0.06539266292985547,0,0
2,30,0.13072730664129795,0.06779318589945271,1,0
3,0,1.0,1.0,0,0
3,1,0.04934325140054436,0.04934325140054435,0,0
3,2,0.17717229712175023,0.17516402239785145,1,1
3,3,0.059501645456815265,0.04513906165637087,0,0
3,4,0.08810866073647271,0.055152411381094744,0,0
3,5,0.01406571858130216,-0.009092122867791215,0,0
3,6,-0.029850920893476907,-0.05903157655049904,0,0
3,7,0.012441447569187145,0.007442631105888432,0,0
3,8,0.05134576430976229,0.06283809622153332,0,0
3,9,0.021144108115940096,0.020016559321715335,0,0
3,10,-0.01847006857757166,-0.03393250701636028,0,0
3,11,0.07864902660332929,0.06969549690707577,0,0
3,12,0.0702168788636487,0.06508377595365755,0,0
3,13,0.09393477909410756,0.06925837003619323,0,0
3,14,0.05583165429861507,0.03280975730523733,0,0
3,15,-0.020123798239695432,-0.06976247407260332,0,0
3,16,0.06298998698930404,0.028432172655302224,0,0
3,17,0.001413349036459456,0.004751973704627362,0,0
3,18,-0.03931348019543249,-0.05006274965019344,0,0
3,19,0.042302487236815886,0.050338440039572344,0,0
3,20,0.07310904566523124,0.07860434928040883,0,0
3,21,-0.02947603474305053,-0.058802985986030544,0,0
3,22,0.004053904205998759,-0.018967342624241126,0,0
3,23,0.01577005182512401,0.020039170219983145,0,0
3,24,0.02277994564440021,-0.0035260350370518753,0,0
3,25,0.08881490926187804,0.08228400161339532,0,0
3,26,-0.01590448473569963,-0.015935776169326506,0,0
3,27,0.058307577409089935,0.01013481472242786,0,0
3,28,0.017129880897176798,0.002511043238977249,0,0
