day7_flag,last_digit,mean_diff,median_diff,n_rows,n_days
False,0,182.27719907407408,-300.0,20736,288
False,1,161.1204954954955,-300.0,21312,288
False,2,189.38560956790124,-300.0,20736,288
False,3,124.52073552425665,-300.0,20448,288
False,4,176.61874021909233,-300.0,20448,288
False,5,177.8217918622848,-300.0,20448,288
False,6,223.93388106416276,-300.0,20448,288
False,7,177.09800469483568,-300.0,20448,288
False,8,203.53579812206573,-300.0,20448,288
False,9,209.53638497652582,-300.0,20448,288
True,0,333.3767361111111,-300.0,2304,32
True,1,309.5439189189189,-200.0,2368,32
True,2,329.8611111111111,-200.0,2304,32
True,3,237.54401408450704,-200.0,2272,32
True,4,289.21654929577466,-200.0,2272,32
True,5,167.51760563380282,-300.0,2272,32
True,6,319.8943661971831,-200.0,2272,32
True,7,311.09154929577466,-200.0,2272,32
True,8,433.6267605633803,-100.0,2272,32
True,9,320.99471830985914,-200.0,2272,32
