group_key,weekday,top1_digit,top1_mean,top2_digit,top2_mean,best_cluster,best_cluster_mean,all_group_mean,concentration_delta,n_days
2F_A,月,0,275.0,3,215.169,9-0-1,183.194,103.675,79.519,46
2F_A,火,7,599.231,9,560.14,7-8-9,477.226,312.676,164.55,46
2F_A,水,3,372.316,7,370.769,3-4-5,281.655,202.609,79.045,46
2F_A,木,8,312.308,1,294.444,7-8-9,197.762,102.368,95.394,46
2F_A,金,1,521.667,9,346.154,1-2-3,301.908,174.931,126.977,46
2F_A,土,9,299.301,1,231.111,9-0-1,178.203,112.339,65.863,46
2F_A,日,0,527.007,1,455.233,0-1-2,453.534,254.594,198.94,44
2F_N,月,2,333.962,7,310.405,0-1-2,280.053,256.272,23.781,46
2F_N,火,8,356.554,6,337.866,6-7-8,335.235,245.874,89.361,46
2F_N,水,9,377.71,1,317.547,9-0-1,320.187,248.437,71.75,46
2F_N,木,7,329.054,6,290.865,6-7-8,292.0,254.472,37.528,46
2F_N,金,6,383.333,9,269.734,6-7-8,258.836,204.967,53.869,46
2F_N,土,6,527.127,9,429.925,6-7-8,411.159,326.905,84.254,46
2F_N,日,6,335.058,8,294.138,6-7-8,286.733,204.869,81.864,44
3F_A,月,3,258.624,4,253.514,9-0-1,237.344,219.938,17.405,46
3F_A,火,5,272.105,8,251.596,3-4-5,244.251,221.041,23.211,46
3F_A,水,3,273.757,1,272.788,1-2-3,241.773,215.062,26.711,46
3F_A,木,2,317.907,9,307.66,0-1-2,296.039,236.624,59.416,46
3F_A,金,4,242.054,1,191.731,4-5-6,194.07,166.912,27.158,46
3F_A,土,2,321.429,6,291.623,1-2-3,257.935,225.871,32.064,46
3F_A,日,3,353.481,6,344.578,3-4-5,304.011,286.88,17.131,44
3F_N,月,8,455.182,4,252.804,6-7-8,203.005,131.422,71.583,46
3F_N,火,9,314.367,6,287.874,2-3-4,163.404,123.047,40.357,46
3F_N,水,8,250.146,4,203.146,8-9-0,126.58,48.38,78.2,46
3F_N,木,7,213.208,0,189.186,0-1-2,157.553,45.165,112.389,46
3F_N,金,9,239.687,8,224.344,8-9-0,125.394,19.102,106.292,46
3F_N,土,5,206.374,8,127.259,4-5-6,42.208,-34.85,77.058,46
3F_N,日,0,221.788,6,128.465,9-0-1,129.017,-6.326,135.343,44
