weekday,mean_streak,pct_streak_ge5,pct_streak_le3,n_days
月,2.739,8.7,76.1,46
火,2.783,4.3,78.3,46
水,2.326,0.0,95.7,46
木,2.761,10.9,80.4,46
金,2.696,2.2,78.3,46
土,2.957,6.5,69.6,46
日,2.795,9.1,79.5,44
