last_digit,mean_diff,n_rows,pct_rows,rank
0,212.54917387883557,7626,9.727661202882837,7
1,248.85721017907633,8488,10.82722112379616,1
2,212.59195684158902,8156,10.403724727342304,6
3,233.03445625720508,7807,9.958543274443524,2
4,225.52164840897234,7668,9.78123604821736,3
5,201.245393315542,7869,10.037629950889725,9
6,206.32943568886628,7868,10.036354359334142,8
7,198.49338399056728,7633,9.736590343771924,10
8,217.69009668147373,7654,9.763377766439186,5
9,218.92210857592448,7626,9.727661202882837,4
