last_digit,mean_diff,n_rows,n_days
0,394.1666666666667,360,5
1,173.78378378378378,370,5
2,356.1111111111111,360,5
3,851.830985915493,355,5
4,398.8732394366197,355,5
5,725.6338028169014,355,5
6,681.9718309859155,355,5
7,552.3943661971831,355,5
8,476.3380281690141,355,5
9,519.4366197183099,355,5
