segment,section_size_group,dd,rank_from_min,lr_side,diff_sum,games_sum,machine_count,pay_rate
3F,small,1,2,L,9300,57339,1,105.41
3F,small,1,1,R,3500,33518,1,103.48
3F,medium,1,1,L,26800,322697,5,102.77
3F,medium,1,2,L,-700,282258,5,99.92
3F,medium,1,3,L,16000,285317,5,101.87
3F,medium,1,4,L,30200,289188,5,103.48
3F,medium,1,5,L,11000,343175,6,101.07
3F,medium,1,6,L,25600,429807,7,101.99
3F,medium,1,7,L,39100,554372,9,102.35
3F,medium,1,8,L,52200,469353,8,103.71
3F,medium,1,9,L,20300,407754,7,101.66
3F,medium,1,10,L,13700,336128,6,101.36
3F,medium,1,11,L,8900,261750,5,101.13
3F,medium,1,12,L,19900,303896,5,102.18
3F,medium,1,13,L,31700,205499,4,105.14
3F,medium,1,1,R,18500,361457,6,101.71
3F,medium,1,2,R,30500,374600,6,102.71
3F,medium,1,3,R,6000,360948,6,100.55
3F,medium,1,4,R,27700,340380,6,102.71
3F,medium,1,5,R,28000,302649,5,103.08
3F,medium,1,6,R,12800,205982,4,102.07
3F,medium,1,7,R,12400,83495,2,104.95
3F,medium,1,8,R,7000,168319,3,101.39
3F,medium,1,9,R,38100,262710,4,104.83
3F,medium,1,10,R,17200,247602,4,102.32
3F,medium,1,11,R,25300,242476,4,103.48
3F,medium,1,12,R,9700,254467,4,101.27
3F,medium,1,13,R,12100,143641,2,102.81
3F,large,1,1,L,-23800,506287,8,98.43
3F,large,1,2,L,56400,500978,8,103.75
3F,large,1,3,L,1600,476454,8,100.11
3F,large,1,4,L,42200,474868,8,102.96
3F,large,1,5,L,9300,468516,8,100.66
3F,large,1,6,L,23300,462364,8,101.68
3F,large,1,7,L,8400,513962,8,100.54
3F,large,1,8,L,6300,682295,12,100.31
3F,large,1,9,L,-40900,519830,9,97.38
3F,large,1,10,L,11800,323967,6,101.21
3F,large,1,11,L,2000,393214,7,100.17
3F,large,1,12,L,-35300,405267,7,97.1
3F,large,1,13,L,18200,413251,7,101.47
3F,large,1,1,R,-11800,370159,6,98.94
3F,large,1,2,R,-2600,341246,6,99.75
3F,large,1,3,R,31700,355472,6,102.97
3F,large,1,4,R,12300,361002,6,101.14
3F,large,1,5,R,33800,334918,6,103.36
3F,large,1,6,R,46300,342005,6,104.51
3F,large,1,7,R,14900,334343,6,101.49
3F,large,1,8,R,-3000,123649,2,99.19
3F,large,1,9,R,12000,309393,5,101.29
3F,large,1,10,R,26700,464879,8,101.91
3F,large,1,11,R,90600,427087,7,107.07
3F,large,1,12,R,31700,434280,7,102.43
3F,large,1,13,R,-16200,411315,7,98.69
