segment,section_size_group,dd,rank_from_min,lr_side,diff_sum,games_sum,machine_count,pay_rate
AT,small,1,1,L,-4200,50315,1,97.22
AT,small,1,2,L,19100,94788,2,106.72
AT,small,1,3,L,-4700,46019,1,96.6
AT,small,1,4,L,-3700,145172,3,99.15
AT,small,1,5,L,7500,101219,2,102.47
AT,small,1,6,L,7100,102639,2,102.31
AT,small,1,7,L,-5200,100471,2,98.27
AT,small,1,8,L,-5300,54526,1,96.76
AT,small,1,1,R,2300,149338,3,100.51
AT,small,1,2,R,-1100,107527,2,99.66
AT,small,1,3,R,-4500,94428,2,98.41
AT,small,1,5,R,1500,47392,1,101.06
AT,small,1,6,R,-7800,48971,1,94.69
AT,small,1,7,R,-400,57420,1,99.77
AT,medium,1,1,L,66400,787362,14,102.81
AT,medium,1,2,L,35600,720001,14,101.65
AT,medium,1,3,L,30300,718500,14,101.41
AT,medium,1,4,L,61100,733814,14,102.78
AT,medium,1,5,L,145800,798524,16,106.09
AT,medium,1,6,L,36900,912669,17,101.35
AT,medium,1,7,L,63700,1134306,21,101.87
AT,medium,1,8,L,64000,826712,16,102.58
AT,medium,1,9,L,63200,833952,15,102.53
AT,medium,1,10,L,24100,651787,12,101.23
AT,medium,1,11,L,25900,534154,10,101.62
AT,medium,1,12,L,74000,588497,10,104.19
AT,medium,1,13,L,30200,316378,6,103.18
AT,medium,1,1,R,-1700,641840,12,99.91
AT,medium,1,2,R,80200,668941,12,104.0
AT,medium,1,3,R,10200,639261,12,100.53
AT,medium,1,4,R,50700,619574,12,102.73
AT,medium,1,5,R,-10300,524699,10,99.35
AT,medium,1,6,R,45700,443459,9,103.44
AT,medium,1,7,R,16300,239991,5,102.26
AT,medium,1,8,R,1200,506635,10,100.08
AT,medium,1,9,R,75800,587170,11,104.3
AT,medium,1,10,R,64600,551321,10,103.91
AT,medium,1,11,R,40700,495747,9,102.74
AT,medium,1,12,R,-7300,485555,9,99.5
AT,medium,1,13,R,-3800,237311,4,99.47
AT,large,1,1,L,7800,700302,12,100.37
AT,large,1,2,L,51500,685802,12,102.5
AT,large,1,3,L,4800,639416,12,100.25
AT,large,1,4,L,65700,648425,12,103.38
AT,large,1,5,L,9200,646652,12,100.47
AT,large,1,6,L,35500,636247,12,101.86
AT,large,1,7,L,59200,679216,12,102.91
AT,large,1,8,L,22800,871265,16,100.87
AT,large,1,9,L,-13400,913656,17,99.51
