hall,machine_name,dd,n,hit104_rate,baseline_hit104_rate,residual,category
蒲田7,A‐SLOT+ 異世界かるてっと,1,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,6,6,50.0,27.27272727272727,22.72727272727273,bt
蒲田7,A‐SLOT+ 異世界かるてっと,7,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,8,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,9,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,10,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,11,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,13,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,14,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,15,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,16,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,17,6,50.0,27.27272727272727,22.72727272727273,bt
蒲田7,A‐SLOT+ 異世界かるてっと,18,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,19,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,20,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,21,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,22,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,23,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,24,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,A‐SLOT+ 異世界かるてっと,25,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,26,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,27,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,28,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,29,6,33.33333333333333,27.27272727272727,6.060606060606059,bt
蒲田7,A‐SLOT+ 異世界かるてっと,30,6,16.666666666666664,27.27272727272727,-10.606060606060606,bt
蒲田7,SHAKE BONUS TRIGGER,1,26,11.538461538461538,27.461858529819693,-15.923396991358155,bt
蒲田7,SHAKE BONUS TRIGGER,2,24,41.66666666666667,27.461858529819693,14.204808136846978,bt
蒲田7,SHAKE BONUS TRIGGER,3,24,25.0,27.461858529819693,-2.4618585298196933,bt
蒲田7,SHAKE BONUS TRIGGER,4,24,33.33333333333333,27.461858529819693,5.871474803513635,bt
蒲田7,SHAKE BONUS TRIGGER,5,24,25.0,27.461858529819693,-2.4618585298196933,bt
蒲田7,SHAKE BONUS TRIGGER,6,22,18.181818181818183,27.461858529819693,-9.28004034800151,bt
蒲田7,SHAKE BONUS TRIGGER,7,22,45.45454545454545,27.461858529819693,17.99268692472576,bt
蒲田7,SHAKE BONUS TRIGGER,8,22,36.36363636363637,27.461858529819693,8.901777833816674,bt
蒲田7,SHAKE BONUS TRIGGER,9,22,13.636363636363635,27.461858529819693,-13.825494893456058,bt
蒲田7,SHAKE BONUS TRIGGER,10,22,36.36363636363637,27.461858529819693,8.901777833816674,bt
蒲田7,SHAKE BONUS TRIGGER,11,22,22.727272727272727,27.461858529819693,-4.734585802546967,bt
蒲田7,SHAKE BONUS TRIGGER,12,20,25.0,27.461858529819693,-2.4618585298196933,bt
