hall,dd,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,dd_event_coverage_rate,is_known_event_dd,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
ARROW,1,101,49,52,0.48514851485148514,0.869392561297271,-0.8980504953659327,0.8423820985077438,-0.029707339687653045,,0.9855315053937712,False,0.11085361143298571,False,5178,29.35496330629587,107.01467748165315,28.529895991219362,-16.16851121099671,0.825067315076506,123.18318869264986
ARROW,2,100,39,61,0.39,-2.4163636001534585,-2.204108549256416,0.03520020021770486,-0.2218144704967946,,0.23258823717178212,False,0.0972276454509957,False,5122,27.313549394767666,-96.03572823115971,28.529895991219362,-16.16851121099671,-1.2163465964516966,-79.867217020163
ARROW,3,97,50,47,0.5154639175257731,0.7210969803377468,0.06771463119710219,0.8392136618440832,0.030932767747132273,,0.9855315053937712,False,0.11143270622286541,False,4837,27.227620425883813,-83.30411412032251,28.529895991219362,-16.16851121099671,-1.302275565335549,-67.1356029093258
ARROW,4,98,48,50,0.4897959183673469,-0.6561989316472575,-0.656192054286505,0.9196068309220428,-0.020409580174174158,,0.9855315053937712,False,0.12296037296037296,False,5148,28.10800310800311,-36.897047397047395,28.529895991219362,-16.16851121099671,-0.42189288321625185,-20.728536186050686
ARROW,5,100,54,46,0.54,0.769611459151092,0.6201211991509314,0.48411841360729146,0.08008558003365884,,0.8337594901014463,False,0.11154294597745822,False,5146,31.849980567431015,113.91294209094443,28.529895991219362,-16.16851121099671,3.320084576211652,130.08145330194114
ARROW,6,100,46,54,0.46,-1.3478728918352032,-1.1263048562238893,0.48411841360729146,-0.08008558003365907,,0.8337594901014463,False,0.1120170840613473,False,5151,27.5674626286158,-34.14579693263444,28.529895991219362,-16.16851121099671,-0.9624333626035622,-17.97728572163773
ARROW,7,101,56,45,0.5544554455445545,1.162524107361606,1.3440860215053796,0.31972732070026577,0.10912735777605942,,0.7624266878237107,False,0.05902844977743371,False,5167,29.146506676988583,29.246177665957035,28.529895991219362,-16.16851121099671,0.6166106857692206,45.41468887695375
ARROW,8,102,54,48,0.5294117647058824,2.079232273357421,0.940054839609541,0.6207676687971156,0.05885750594708106,,0.9621898866355293,False,1.0,True,5184,29.28240740740741,71.88985339506173,28.529895991219362,-16.16851121099671,0.752511416188046,88.05836460605845
ARROW,9,101,61,40,0.6039603960396039,2.916100789653776,2.5824964131994257,0.046044066929342785,0.20944881483756417,,0.2378943458016044,False,0.055469054106656285,False,5138,29.641884001557028,33.14791747761775,28.529895991219362,-16.16851121099671,1.1119880103376651,49.316428688614465
ARROW,10,103,47,56,0.4563106796116505,-1.8757450449863555,-1.806853582554524,0.4306890663081309,-0.08749021425493542,,0.8337594901014463,False,0.05762117967685419,False,5137,27.136460969437415,-46.093634416974886,28.529895991219362,-16.16851121099671,-1.3934350217819471,-29.925123205978178
