hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
金時,1,bt,14,8,6,0.5714285714285714,4.314452762686161,1.6785170035944024
金時,1,jug,9,4,5,0.4444444444444444,1.193543994548387,-0.07428517402990309
金時,1,oki,2,1,1,0.5,3.8262381132710566,3.8262381132710566
金時,1,other,49,24,25,0.4897959183673469,-0.6579443739883138,-0.09990009990010407
金時,2,bt,14,7,7,0.5,4.2283983854112615,0.7964322036227713
金時,2,jug,9,4,5,0.4444444444444444,-2.0527387909835393,-1.1874157229463833
金時,2,oki,2,2,0,1.0,8.66488190412073,8.66488190412073
金時,2,other,45,28,17,0.6222222222222222,0.5743879619222576,1.413110487019658
金時,3,bt,14,6,8,0.42857142857142855,-4.058390662963618,-3.333968493551218
金時,3,jug,9,7,2,0.7777777777777778,2.868936155409634,0.6331835059605275
金時,3,oki,2,2,0,1.0,7.074843589944486,7.074843589944486
金時,3,other,48,26,22,0.5416666666666666,3.755288524597294,1.217321030662525
金時,4,bt,14,6,8,0.42857142857142855,0.688490872289463,-1.3394587362980719
金時,4,jug,9,3,6,0.3333333333333333,0.7029686414285499,-0.3993690123504301
金時,4,oki,2,1,1,0.5,0.3315485707873975,0.3315485707873975
金時,4,other,49,31,18,0.6326530612244898,1.7962601372446727,2.860998650472336
金時,5,bt,14,6,8,0.42857142857142855,-0.15987761263364295,-3.173121209382005
金時,5,jug,9,5,4,0.5555555555555556,-0.8534627770260342,0.5993283389305084
金時,5,oki,2,1,1,0.5,1.5547044998256787,1.5547044998256787
金時,5,other,49,28,21,0.5714285714285714,1.2446559827119597,3.843730898294723
金時,6,bt,14,4,10,0.2857142857142857,-0.5369291647069269,-4.615095367524704
金時,6,jug,9,7,2,0.7777777777777778,1.877493744780725,2.4088502944150356
金時,6,oki,2,2,0,1.0,6.998215237454065,6.998215237454065
金時,6,other,42,20,22,0.47619047619047616,0.09086599964694302,-0.14766483516483575
金時,7,bt,14,5,9,0.35714285714285715,-2.795566687872732,-3.1688112900409457
金時,7,jug,9,6,3,0.6666666666666666,1.3492273298111352,0.8460829732290023
金時,7,oki,2,1,1,0.5,0.1167155111267526,0.1167155111267526
金時,7,other,43,20,23,0.46511627906976744,-1.7288923600110369,-3.426162757737547
