hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
ザシティ,1,bt,7,4,3,0.5714285714285714,3.463505233273932,7.3649754500818325
ザシティ,1,jug,9,3,6,0.3333333333333333,-1.7625096205126125,-2.282783449379359
ザシティ,1,other,46,21,25,0.45652173913043476,-1.5965996780491325,-1.9172100605496052
ザシティ,2,bt,7,3,4,0.42857142857142855,-0.9627670705727438,-6.966110812264656
ザシティ,2,jug,9,4,5,0.4444444444444444,-0.29128631898110335,-1.2033839537275952
ザシティ,2,other,39,20,19,0.5128205128205128,0.7009853914194877,0.25533741014912437
ザシティ,3,bt,8,2,6,0.25,-8.780555374653686,-10.629570092924798
ザシティ,3,jug,9,4,5,0.4444444444444444,-2.5254059077019955,-1.769771603469465
ザシティ,3,other,40,21,19,0.525,0.40726575221923167,0.8726034488008345
ザシティ,4,bt,8,4,4,0.5,-3.7066964850053226,2.316514405466597
ザシティ,4,jug,9,3,6,0.3333333333333333,-0.2605353190674029,-2.2428678678678686
ザシティ,4,other,38,23,15,0.6052631578947368,2.065409496949525,3.983047201866052
ザシティ,5,bt,8,5,3,0.625,0.6498387925825861,2.3948441759644528
ザシティ,5,jug,9,7,2,0.7777777777777778,1.0124233614843228,1.1763877148492519
ザシティ,5,other,38,19,19,0.5,0.6454796743140927,-0.0474765102725776
ザシティ,6,bt,9,4,5,0.4444444444444444,0.25053172227233605,-0.25020850708924414
ザシティ,6,jug,9,7,2,0.7777777777777778,1.7632297166825928,1.8291018291018268
ザシティ,6,other,39,27,12,0.6923076923076923,2.1457499227354515,3.354746609564593
ザシティ,7,bt,8,4,4,0.5,-1.7304034959795898,-3.0770982547285497
ザシティ,7,jug,9,0,9,0.0,-6.584445512683894,-3.1489785749875416
ザシティ,7,other,40,17,23,0.425,-0.07135671109024208,-1.8032179082322681
ザシティ,8,bt,9,2,7,0.2222222222222222,-4.737484823715224,-5.517241379310345
ザシティ,8,jug,9,7,2,0.7777777777777778,1.7466644070612853,2.632208662359414
ザシティ,8,other,42,26,16,0.6190476190476191,6.505653717195842,2.2585669781931443
ザシティ,9,bt,8,3,5,0.375,-0.290372798225782,-1.2695963851612202
ザシティ,9,jug,9,4,5,0.4444444444444444,-1.2846723513994425,-2.973157415832574
ザシティ,9,other,40,18,22,0.45,-0.7799472947305804,-1.7833679292462232
ザシティ,10,bt,8,4,4,0.5,1.0369305556794046,0.22983669713905108
ザシティ,10,jug,9,3,6,0.3333333333333333,-1.734278467567899,-2.1904478626667796
ザシティ,10,other,37,14,23,0.3783783783783784,-1.3294337924928514,-4.875442463100242
ザシティ,11,bt,8,6,2,0.75,14.96724382237711,15.899340692032743
ザシティ,11,jug,9,5,4,0.5555555555555556,0.026571386790232805,1.0675605982465157
ザシティ,11,other,39,19,20,0.48717948717948717,-0.30609273328214814,-0.053316272126252784
ザシティ,12,bt,8,4,4,0.5,2.618929661403103,-0.08209299229438294
ザシティ,12,jug,9,2,7,0.2222222222222222,-2.388764261705385,-1.2949266900220593
ザシティ,12,other,37,10,27,0.2702702702702703,-5.537712035890155,-4.236970378702665
ザシティ,13,bt,8,3,5,0.375,-0.669184966225592,-5.465867169558372
ザシティ,13,jug,9,6,3,0.6666666666666666,1.8187388301340652,2.366863905325445
ザシティ,13,other,38,20,18,0.5263157894736842,4.169398771933153,1.5256761054909571
ザシティ,14,bt,9,6,3,0.6666666666666666,5.115596101066694,8.822126847877918
ザシティ,14,jug,9,5,4,0.5555555555555556,2.662571038626361,1.2805260262757265
ザシティ,14,other,40,16,24,0.4,-0.767364493858951,-2.2590699402250447
ザシティ,15,bt,8,5,3,0.625,4.82542006642292,7.017614137090405
ザシティ,15,jug,9,5,4,0.5555555555555556,1.1040699174445814,1.2954658694569012
ザシティ,15,other,38,13,25,0.34210526315789475,-2.212994434663317,-5.113227893601723
ザシティ,16,bt,8,4,4,0.5,1.0034992336325215,1.7838629704755462
ザシティ,16,jug,9,4,5,0.4444444444444444,0.1418604593517393,-1.1796661915077493
ザシティ,16,other,38,17,21,0.4473684210526316,-0.38726443916730663,-0.46109732561345673
ザシティ,17,bt,7,3,4,0.42857142857142855,-1.2310514178044596,-0.25020850708924414
ザシティ,17,jug,9,3,6,0.3333333333333333,-2.0727416702350023,-2.747374466688548
ザシティ,17,other,37,19,18,0.5135135135135135,1.2576692062401762,0.5813953488372121
ザシティ,18,bt,8,3,5,0.375,-0.3790209603865291,-2.249287260080571
ザシティ,18,jug,9,4,5,0.4444444444444444,-1.3471366118933936,-0.47113231008202305
ザシティ,18,other,41,29,12,0.7073170731707317,5.380539869946057,3.3237904380188965
ザシティ,19,bt,7,4,3,0.5714285714285714,1.208096735629409,4.482758620689655
ザシティ,19,jug,9,7,2,0.7777777777777778,2.7519881808953945,1.8520712395845678
ザシティ,19,other,38,12,26,0.3157894736842105,-3.837675497197945,-3.998433184618653
ザシティ,20,bt,8,1,7,0.125,-8.73611235540362,-8.737837086460939
ザシティ,20,jug,9,4,5,0.4444444444444444,3.0826375300102193,-0.04759071980963725
ザシティ,20,other,42,19,23,0.4523809523809524,-1.016532557571217,-1.1758829338387926
ザシティ,21,bt,8,3,5,0.375,-3.202388150319413,-7.0155580779333775
ザシティ,21,jug,9,4,5,0.4444444444444444,-1.8786032810139137,-0.8940056598919455
ザシティ,21,other,40,22,18,0.55,0.6133697915763046,0.7852981188461055
ザシティ,22,bt,8,5,3,0.625,1.028224232466882,4.436369993007689
ザシティ,22,jug,9,4,5,0.4444444444444444,-2.925578847546724,-1.9845353633336131
ザシティ,22,other,42,20,22,0.47619047619047616,0.8411318277370302,-0.8638460131998809
ザシティ,23,bt,8,2,6,0.25,-3.2428217505356214,-7.2095386733145945
ザシティ,23,jug,9,3,6,0.3333333333333333,0.6103572864721158,-1.8657725379914538
ザシティ,23,other,41,12,29,0.2926829268292683,-5.722803376884803,-4.9431321084864415
ザシティ,24,bt,8,5,3,0.625,4.071234965695007,4.108011416410303
ザシティ,24,jug,9,4,5,0.4444444444444444,0.36402398080070025,-1.1302415995556778
ザシティ,24,other,42,21,21,0.5,-2.7078416846263376,0.0993696942197726
ザシティ,25,bt,8,4,4,0.5,2.262663102775318,0.04721713822472218
ザシティ,25,jug,9,6,3,0.6666666666666666,1.540615743830981,1.775807426264496
ザシティ,25,other,41,22,19,0.5365853658536586,0.21585460565757197,0.8164705072613359
ザシティ,26,bt,8,2,6,0.25,-3.330909990797775,-3.3633848271607487
ザシティ,26,jug,9,6,3,0.6666666666666666,0.6728807956676497,1.9161738565245443
ザシティ,26,other,43,15,28,0.3488372093023256,-2.3733680007445783,-2.2173595915390223
ザシティ,27,bt,8,3,5,0.375,0.36858495869717567,-3.6467215272452584
ザシティ,27,jug,9,4,5,0.4444444444444444,0.07810297552153322,-0.9267563527653202
ザシティ,27,other,41,21,20,0.5121951219512195,-1.1392280379158093,0.18408134642356444
ザシティ,28,bt,8,1,7,0.125,-5.533707193594978,-6.318068377543227
ザシティ,28,jug,9,6,3,0.6666666666666666,3.7258883917187893,5.739910313901348
ザシティ,28,other,46,26,20,0.5652173913043478,1.5016108675856599,2.0898389187370725
ザシティ,29,bt,7,1,6,0.14285714285714285,-2.906062931037558,-5.9123343527013255
ザシティ,29,jug,9,5,4,0.5555555555555556,-0.6062537884412715,0.09413663259817184
ザシティ,29,other,39,15,24,0.38461538461538464,-1.7314260139094535,-1.904761904761905
ザシティ,30,bt,7,5,2,0.7142857142857143,9.221144227129352,7.3649754500818325
ザシティ,30,jug,9,5,4,0.5555555555555556,0.018648547085189076,0.12091688051846106
ザシティ,30,other,39,16,23,0.41025641025641024,-2.1729995910375717,-2.368395446141868
ザシティ,31,bt,6,3,3,0.5,8.092697370526976,5.500748146636743
ザシティ,31,jug,9,6,3,0.6666666666666666,2.6631074818617977,1.969086257053732
ザシティ,31,other,30,15,15,0.5,0.9967506000652622,0.22910372608257745
