hall,dd,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,dd_event_coverage_rate,is_known_event_dd,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
楽園,1,170,78,92,0.4588235294117647,-1.2820772680523356,-0.803248375715059,0.3187412841052546,-0.08244631278871539,,0.7564584504277422,False,0.1032329988851728,False,8970,31.01449275362319,78.57892976588629,30.771952315940194,59.78607522227032,0.24254043768299738,18.792854543615967
楽園,2,169,85,84,0.5029585798816568,0.13123325452625548,0.7145682741755692,1.0,0.0059171942932259025,,1.0,False,0.12331527900239325,False,7939,30.243103665449052,49.74694545912583,30.771952315940194,59.78607522227032,-0.5288486504911418,-10.039129763144487
楽園,3,165,69,96,0.41818181818181815,-1.2971971782091414,-1.1006289308176136,0.04263318288444074,-0.16437558403065133,,0.4405428898058877,False,0.11717171717171718,False,7920,29.785353535353536,23.42007575757576,30.771952315940194,59.78607522227032,-0.9865987805866574,-36.36599946469456
楽園,4,164,74,90,0.45121951219512196,-0.7348700840665646,-1.7942628568196834,0.24138955165620363,-0.09771640884910648,,0.7483076101342313,False,0.133444859091494,False,7771,29.893192639299958,6.383477029983271,30.771952315940194,59.78607522227032,-0.8787596766402359,-53.40259819228705
楽園,5,169,76,93,0.44970414201183434,-0.6481433999817128,-0.87139423076923,0.2182936219850502,-0.10076213590209382,,0.7483076101342313,False,0.13579597738924676,False,7607,31.339555672406995,32.81188379124491,30.771952315940194,59.78607522227032,0.567603356466801,-26.97419143102541
楽園,6,166,83,83,0.5,0.24708492173047372,0.009328710910612159,1.0,0.0,,1.0,False,0.12991833704528583,False,8082,30.734966592427615,79.20588963127939,30.771952315940194,59.78607522227032,-0.03698572351257923,19.41981440900907
楽園,7,171,74,97,0.4327485380116959,-0.030932521402523786,-0.9024193825590352,0.09220360536584873,-0.1349118110908445,,0.4763852943902185,False,0.06729458421117858,False,8069,31.143884000495724,37.67963812120461,30.771952315940194,59.78607522227032,0.3719316845555305,-22.10643710106571
楽園,8,168,84,84,0.5,1.282170639013692,-0.017435367844857552,1.0,0.0,,1.0,False,0.06945917285259809,False,7544,30.580593849416754,23.390774125132555,30.771952315940194,59.78607522227032,-0.19135846652343957,-36.39530109713776
楽園,9,166,78,88,0.46987951807228917,-0.02872916999432124,-0.5934564096911661,0.4849565608422813,-0.06027745896397474,,0.791244915058459,False,0.07125407166123779,False,7368,30.021715526601522,-14.56487513572204,30.771952315940194,59.78607522227032,-0.7502367893386719,-74.35095035799236
楽園,10,166,83,83,0.5,0.43287194640053456,0.08573209146817007,1.0,0.0,,1.0,False,0.06172993154947106,False,8035,31.13876789047915,166.02339763534536,30.771952315940194,59.78607522227032,0.36681557453895763,106.23732241307505
楽園,11,173,89,84,0.5144508670520231,1.005020257312114,0.5387553622847747,0.7611429709016686,0.02890575926962824,,1.0,False,1.0,True,8731,32.447600503951435,185.31451151070897,30.771952315940194,59.78607522227032,1.675648188011241,125.52843628843866
楽園,12,167,95,72,0.5688622754491018,2.2540145632764186,1.2184873949579789,0.08837580839996563,0.13816370417516066,,0.4763852943902185,False,0.0634101138469685,False,7554,30.857823669579034,73.79600211808314,30.771952315940194,59.78607522227032,0.08587135363884002,14.009926895812818
楽園,13,170,70,100,0.4117647058823529,-1.646082259971966,-1.5471671436086698,0.025844387581341735,-0.17739960444037073,,0.4405428898058877,False,0.0,False,7746,30.777175316292283,76.1420087787245,30.771952315940194,59.78607522227032,0.005223000352089002,16.355933556454183
楽園,14,166,78,88,0.46987951807228917,0.9420695010954603,-0.583868173888888,0.4849565608422813,-0.06027745896397474,,0.791244915058459,False,0.0,False,7534,30.42208654101407,19.39036368462968,30.771952315940194,59.78607522227032,-0.3498657749261227,-40.395711537640636
楽園,15,170,83,87,0.48823529411764705,0.9750075262070537,-0.2514237217038904,0.818105967902943,-0.02353158341644268,,1.0,False,0.0,False,7683,30.977482754132502,44.86437589483275,30.771952315940194,59.78607522227032,0.20553043819230865,-14.921699327437572
楽園,16,163,84,79,0.5153374233128835,0.0217909177952817,0.3069053708439924,0.7541603898054376,0.030679659227298872,,1.0,False,0.0,False,7830,31.136653895274584,62.8882503192848,30.771952315940194,59.78607522227032,0.3647015793343904,3.102175097014481
楽園,17,167,87,80,0.5209580838323353,0.021179321739390883,0.8781694495980226,0.6425688093388645,0.041928451586608295,,0.99598165447524,False,0.0,False,7860,30.763358778625953,72.31386768447837,30.771952315940194,59.78607522227032,-0.008593537314240507,12.527792462208048
楽園,18,162,75,87,0.46296296296296297,0.5383596865747475,-0.8879129099746024,0.38751908484905306,-0.074141982233763,,0.7564584504277422,False,0.0,False,7438,30.424845388545307,21.08429685399301,30.771952315940194,59.78607522227032,-0.34710692739488636,-38.70177836827731
楽園,19,166,81,85,0.4879518072289157,0.5857778958301,-0.3780631133572303,0.8159682796071844,-0.02409871802233221,,1.0,False,0.0,False,7256,29.68577728776185,-20.524117971334068,30.771952315940194,59.78607522227032,-1.0861750281783422,-80.31019319360439
楽園,20,168,70,98,0.4166666666666667,-1.715137981520125,-1.833870330638442,0.03692680427705728,-0.16744807921968952,,0.4405428898058877,False,0.0,False,7883,29.646073829760244,-1.4474184954966383,30.771952315940194,59.78607522227032,-1.1258784861799498,-61.23349371776696
楽園,21,162,72,90,0.4444444444444444,-0.9330136670376961,-0.8488892605278124,0.18148987392878652,-0.1113410143409641,,0.7032732614740478,False,0.0,False,7257,30.2190988011575,22.163566211933304,30.771952315940194,59.78607522227032,-0.5528535147826936,-37.62250901033701
楽園,22,176,89,87,0.5056818181818182,-0.4973653126825153,0.3903113510560541,0.939942557338781,0.01136388094646934,,1.0,False,1.0,True,9031,32.44380467279371,209.4669471819289,30.771952315940194,59.78607522227032,1.6718523568535169,149.6808719596586
楽園,23,170,87,83,0.5117647058823529,0.5065171313756396,0.2828018359330713,0.818105967902943,0.023531583416442237,,1.0,False,0.0,False,8101,31.63806937415134,89.96605357363289,30.771952315940194,59.78607522227032,0.8661170582111453,30.17997835136257
楽園,24,166,82,84,0.4939759036144578,0.9758256643302543,-0.03633704584451536,0.9381653419480138,-0.01204848427395988,,1.0,False,0.0,False,7711,30.76125016210608,22.14031902476981,30.771952315940194,59.78607522227032,-0.010702153834113659,-37.64575619750051
楽園,25,164,92,72,0.5609756097560976,0.8789954671916349,1.0380143139664977,0.1376616501974657,0.12225553903978148,,0.609644450874491,False,0.0,False,7805,31.787315823190266,66.11415759128764,30.771952315940194,59.78607522227032,1.015363507250072,6.3280823690173165
楽園,26,164,76,88,0.4634146341463415,-0.28165589605946273,-0.8767800972089592,0.39043016796270563,-0.073236181663624,,0.7564584504277422,False,0.0,False,7993,30.501688977855622,40.66445639934943,30.771952315940194,59.78607522227032,-0.2702633380845718,-19.121618822920887
楽園,27,167,76,91,0.4550898203592814,-0.769721875525087,-0.7547805576615332,0.2786120692135602,-0.08994157377024803,,0.7564584504277422,False,0.0,False,7921,31.17030677944704,84.18495139502588,30.771952315940194,59.78607522227032,0.3983544635068448,24.398876172755557
楽園,28,162,74,88,0.4567901234567901,-0.535005370994174,-0.8470008097972759,0.3070673333444639,-0.08652768538563094,,0.7564584504277422,False,0.12677709664797182,False,7667,29.9595669753489,-6.976653188991783,30.771952315940194,59.78607522227032,-0.8123853405912946,-66.7627284112621
楽園,29,161,74,87,0.45962732919254656,-0.20084898243208554,-0.8618048618048633,0.3443135145965885,-0.08083334075902693,,0.7564584504277422,False,0.0,False,7093,30.438460453968702,34.8141829973213,30.771952315940194,59.78607522227032,-0.33349186197149194,-24.971892224949016
楽園,30,175,93,82,0.5314285714285715,0.7166640876928236,0.4856974087619754,0.4497860825989258,0.06289860826570659,,0.791244915058459,False,0.3731577675767094,False,8278,31.74679874365789,175.3884996375936,30.771952315940194,59.78607522227032,0.9748464277176971,115.6024244153233
楽園,31,146,62,84,0.4246575342465753,-0.872725149501752,-2.2326930950856188,0.08186174437673081,-0.15126107874588413,,0.4763852943902185,False,1.0,True,4571,28.483920367534456,2.8656749070225334,30.771952315940194,59.78607522227032,-2.288031948405738,-56.92040031524779
