hall,dd,dominant_category,dominant_category_share_of_majority,n_machines_excl_dominant,n_positive_excl_dominant,agreement_rate_excl_dominant,p_value_excl_dominant,signal_survives_without_dominant_category,note
蒲田7,7,other,0.703125,34,19,0.5588235294117647,0.6075913612730801,False,
蒲田7,17,other,0.6417910447761194,33,24,0.7272727272727273,0.013530986849218607,True,
蒲田7,30,other,0.6461538461538462,34,23,0.6764705882352942,0.05761267291381955,False,
