hall,dd,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,dd_event_coverage_rate,is_known_event_dd,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
レイトギャップ,1,117,60,57,0.5128205128205128,0.16251051146316728,0.45447232947232763,0.8534084458955625,0.02564383614011745,,0.9448450650986585,False,0.06376659678546472,False,5724,29.297693920335433,-117.14447938504543,30.143909542573237,-38.21556450231283,-0.8462156222378034,-78.9289148827326
レイトギャップ,2,114,44,70,0.38596491228070173,-1.945810215586754,-2.4020074712149917,0.018810748824884115,-0.23009515881026021,,0.08170982213840827,False,0.05793499043977055,False,5230,28.260038240917783,-68.20458891013385,30.143909542573237,-38.21556450231283,-1.8838713016554536,-29.98902440782102
レイトギャップ,3,111,52,59,0.46846846846846846,-0.07798353706545313,-0.41672235114021206,0.5692202278035751,-0.06310493782061499,,0.7718413369396687,False,0.05896946564885496,False,5240,29.580152671755727,-27.837977099236642,30.143909542573237,-38.21556450231283,-0.5637568708175102,10.377587403076188
レイトギャップ,4,113,53,60,0.4690265486725664,-0.3114615389644293,-1.2132779861454068,0.5726564757939477,-0.061986590595408675,,0.7718413369396687,False,0.144457099468489,False,5268,30.068337129840543,-88.5907365223994,30.143909542573237,-38.21556450231283,-0.07557241273269355,-50.375172020086566
レイトギャップ,5,116,51,65,0.4396551724137931,-1.7037421091742202,-1.754596015025852,0.2272749463316082,-0.12098458658725675,,0.5032516668771324,False,0.14061037258940273,False,5341,28.38419771578356,-132.8240029956937,30.143909542573237,-38.21556450231283,-1.759711826789676,-94.60843849338086
レイトギャップ,6,118,82,36,0.6949152542372882,4.6222877415437065,4.1805043494444085,2.7583788780912003e-05,0.4004475329862469,,0.0008550974522082721,True,1.0,True,5735,33.87968613775065,203.81865736704447,30.143909542573237,-38.21556450231283,3.7357765951774162,242.03422186935728
レイトギャップ,7,114,58,56,0.5087719298245614,0.7026860776089114,0.110976044961971,0.9254349612567239,0.017544759735815596,,0.9562827932986147,False,0.0765296457662436,False,5279,30.043568857738208,-38.58041295699943,30.143909542573237,-38.21556450231283,-0.10034068483502878,-0.36484845468660154
レイトギャップ,8,109,42,67,0.3853211009174312,-2.5522973668177715,-2.666152725190937,0.021086405713137617,-0.23141784110872154,,0.08170982213840827,False,0.0681551116333725,False,5106,28.241284763023895,-119.59048178613396,30.143909542573237,-38.21556450231283,-1.9026247795493418,-81.37491728382113
レイトギャップ,9,109,60,49,0.5504587155963303,1.1820238115288042,0.3910068426197455,0.33818541219666143,0.10108951706096447,,0.5928558461574216,False,0.06980392156862746,False,5100,30.117647058823525,-51.08176470588235,30.143909542573237,-38.21556450231283,-0.026262483749711407,-12.86620020356952
レイトギャップ,10,110,47,63,0.42727272727272725,-1.6289145658179185,-1.9473746114208605,0.15233780606025227,-0.14597238854420436,,0.3632670759898323,False,0.045640473627556515,False,4645,29.407965554359528,-98.45618945102261,30.143909542573237,-38.21556450231283,-0.7359439882137089,-60.24062494870978
レイトギャップ,11,115,51,64,0.4434782608695652,-0.8707852230117681,-0.9437812468115538,0.2630539575429354,-0.11328563389826907,,0.5436448455887332,False,0.06831662916751892,False,4889,28.922069952955614,-104.47392104724892,30.143909542573237,-38.21556450231283,-1.2218395896176233,-66.25835654493609
レイトギャップ,12,107,43,64,0.40186915887850466,-1.2278244256965622,-2.0599250936329625,0.05266778129862431,-0.19754399155913438,,0.1698173704324766,False,0.0694006309148265,False,4755,29.421661409043114,-58.66792849631966,30.143909542573237,-38.21556450231283,-0.7222481335301225,-20.45236399400683
レイトギャップ,13,114,51,63,0.4473684210526316,-0.8666432374341255,-1.7232248085703432,0.30287755263032484,-0.10545852539931788,,0.5868252582212544,False,0.0,False,5233,28.56869864322568,-148.31358685266576,30.143909542573237,-38.21556450231283,-1.5752108993475566,-110.09802235035293
レイトギャップ,14,113,52,61,0.46017699115044247,0.03780268394798137,-0.6600563818411622,0.4518532686657418,-0.07973046457611699,,0.7003725664318998,False,0.0,False,5267,29.808239984811085,-89.99278526675526,30.143909542573237,-38.21556450231283,-0.33566955776215224,-51.77722076444243
レイトギャップ,15,112,40,72,0.35714285714285715,-2.78642163331538,-3.310497596532848,0.0032169399516518435,-0.2897517014360478,,0.01994502770024143,True,0.0,False,5266,27.59210026585644,-157.91910368401062,30.143909542573237,-38.21556450231283,-2.5518092767167957,-119.70353918169779
レイトギャップ,16,117,64,53,0.5470085470085471,1.301815412498842,1.5327695560253716,0.3552796816522468,0.09415615406376965,,0.5928558461574216,False,1.0,True,5692,32.501756851721716,173.41356289529165,30.143909542573237,-38.21556450231283,2.357847309148479,211.62912739760446
レイトギャップ,17,112,57,55,0.5089285714285714,-0.048007764555640646,0.11407255435644004,0.9247750936572274,0.017858092033681272,,0.9562827932986147,False,0.0,False,5070,31.025641025641026,-1.2023668639053255,30.143909542573237,-38.21556450231283,0.8817314830677887,37.013197638407505
レイトギャップ,18,109,56,53,0.5137614678899083,0.7076781773662815,0.6975585450921749,0.8481947835965666,0.027526411790511185,,0.9448450650986585,False,0.0,False,5021,29.018123879705236,-62.68233419637522,30.143909542573237,-38.21556450231283,-1.125785662868001,-24.466769694062393
レイトギャップ,19,117,76,41,0.6495726495726496,3.2136820033000757,4.166666666666661,0.0015572017627745868,0.3037968101426345,,0.012126688702814928,True,0.0,False,5627,34.210058645814826,230.04158521414607,30.143909542573237,-38.21556450231283,4.066149103241589,268.2571497164589
レイトギャップ,20,120,49,71,0.4083333333333333,-0.563368716289993,-1.4426752208707132,0.054779796913702127,-0.18437619103596536,,0.1698173704324766,False,0.0,False,5633,29.238416474347595,-110.78892242144505,30.143909542573237,-38.21556450231283,-0.9054930682256419,-72.57335791913222
レイトギャップ,21,121,74,47,0.6115702479338843,1.820287991375455,1.731601731601728,0.017729521268970504,0.22503501649483093,,0.08170982213840827,False,0.0,False,5623,31.442290592210565,12.930108483016184,30.143909542573237,-38.21556450231283,1.298381049637328,51.145672985329014
レイトギャップ,22,118,50,68,0.423728813559322,-1.9096437889403506,-1.8252245787117047,0.117212941976315,-0.15314024387857628,,0.3028001001054804,False,0.0,False,5546,30.021637216011538,-93.82005048683736,30.143909542573237,-38.21556450231283,-0.12227232656169917,-55.60448598452453
