hall,machine_name,dd,n,hit104_rate,baseline_hit104_rate,residual,category
ARROW, サラリーマン金太郎,1,12,25.0,28.484848484848484,-3.4848484848484844,other
ARROW, サラリーマン金太郎,2,11,27.27272727272727,28.484848484848484,-1.2121212121212146,other
ARROW, サラリーマン金太郎,3,10,50.0,28.484848484848484,21.515151515151516,other
ARROW, サラリーマン金太郎,4,11,18.181818181818183,28.484848484848484,-10.303030303030301,other
ARROW, サラリーマン金太郎,5,11,27.27272727272727,28.484848484848484,-1.2121212121212146,other
ARROW, サラリーマン金太郎,6,10,20.0,28.484848484848484,-8.484848484848484,other
ARROW, サラリーマン金太郎,7,11,27.27272727272727,28.484848484848484,-1.2121212121212146,other
ARROW, サラリーマン金太郎,8,11,27.27272727272727,28.484848484848484,-1.2121212121212146,other
ARROW, サラリーマン金太郎,9,10,20.0,28.484848484848484,-8.484848484848484,other
ARROW, サラリーマン金太郎,10,10,60.0,28.484848484848484,31.515151515151516,other
ARROW, サラリーマン金太郎,11,11,36.36363636363637,28.484848484848484,7.8787878787878824,other
ARROW, サラリーマン金太郎,12,11,18.181818181818183,28.484848484848484,-10.303030303030301,other
ARROW, サラリーマン金太郎,13,10,0.0,28.484848484848484,-28.484848484848484,other
ARROW, サラリーマン金太郎,14,11,36.36363636363637,28.484848484848484,7.8787878787878824,other
ARROW, サラリーマン金太郎,15,10,20.0,28.484848484848484,-8.484848484848484,other
ARROW, サラリーマン金太郎,16,10,30.0,28.484848484848484,1.5151515151515156,other
ARROW, サラリーマン金太郎,17,10,20.0,28.484848484848484,-8.484848484848484,other
ARROW, サラリーマン金太郎,18,10,20.0,28.484848484848484,-8.484848484848484,other
ARROW, サラリーマン金太郎,19,16,6.25,28.484848484848484,-22.234848484848484,other
ARROW, サラリーマン金太郎,20,11,27.27272727272727,28.484848484848484,-1.2121212121212146,other
ARROW, サラリーマン金太郎,21,11,54.54545454545454,28.484848484848484,26.060606060606055,other
ARROW, サラリーマン金太郎,22,12,66.66666666666666,28.484848484848484,38.18181818181817,other
ARROW, サラリーマン金太郎,23,12,33.33333333333333,28.484848484848484,4.848484848484844,other
ARROW, サラリーマン金太郎,24,12,50.0,28.484848484848484,21.515151515151516,other
ARROW, サラリーマン金太郎,25,12,41.66666666666667,28.484848484848484,13.181818181818187,other
ARROW, サラリーマン金太郎,26,10,20.0,28.484848484848484,-8.484848484848484,other
ARROW, サラリーマン金太郎,27,12,33.33333333333333,28.484848484848484,4.848484848484844,other
ARROW, サラリーマン金太郎,28,12,8.333333333333332,28.484848484848484,-20.151515151515152,other
ARROW, サラリーマン金太郎,29,7,14.285714285714285,28.484848484848484,-14.1991341991342,other
ARROW, サラリーマン金太郎,30,7,14.285714285714285,28.484848484848484,-14.1991341991342,other
ARROW, サラリーマン金太郎,31,6,16.666666666666664,28.484848484848484,-11.81818181818182,other
ARROW,Re:ゼロから始める異世界生活 season2,1,6,16.666666666666664,31.782945736434108,-15.116279069767444,other
ARROW,Re:ゼロから始める異世界生活 season2,2,6,0.0,31.782945736434108,-31.782945736434108,other
ARROW,Re:ゼロから始める異世界生活 season2,3,5,20.0,31.782945736434108,-11.782945736434108,other
ARROW,Re:ゼロから始める異世界生活 season2,4,6,33.33333333333333,31.782945736434108,1.5503875968992205,other
ARROW,Re:ゼロから始める異世界生活 season2,5,6,50.0,31.782945736434108,18.217054263565892,other
ARROW,Re:ゼロから始める異世界生活 season2,7,6,16.666666666666664,31.782945736434108,-15.116279069767444,other
ARROW,Re:ゼロから始める異世界生活 season2,8,6,33.33333333333333,31.782945736434108,1.5503875968992205,other
ARROW,Re:ゼロから始める異世界生活 season2,9,6,50.0,31.782945736434108,18.217054263565892,other
ARROW,Re:ゼロから始める異世界生活 season2,10,6,33.33333333333333,31.782945736434108,1.5503875968992205,other
ARROW,Re:ゼロから始める異世界生活 season2,11,6,66.66666666666666,31.782945736434108,34.88372093023255,other
ARROW,Re:ゼロから始める異世界生活 season2,12,6,0.0,31.782945736434108,-31.782945736434108,other
ARROW,Re:ゼロから始める異世界生活 season2,13,6,16.666666666666664,31.782945736434108,-15.116279069767444,other
ARROW,Re:ゼロから始める異世界生活 season2,14,6,33.33333333333333,31.782945736434108,1.5503875968992205,other
ARROW,Re:ゼロから始める異世界生活 season2,15,6,16.666666666666664,31.782945736434108,-15.116279069767444,other
ARROW,Re:ゼロから始める異世界生活 season2,16,6,0.0,31.782945736434108,-31.782945736434108,other
ARROW,Re:ゼロから始める異世界生活 season2,17,5,40.0,31.782945736434108,8.217054263565892,other
ARROW,Re:ゼロから始める異世界生活 season2,18,5,40.0,31.782945736434108,8.217054263565892,other
ARROW,Re:ゼロから始める異世界生活 season2,19,5,20.0,31.782945736434108,-11.782945736434108,other
ARROW,SHAKE BONUS TRIGGER,1,12,33.33333333333333,33.711048158640224,-0.3777148253068958,bt
ARROW,SHAKE BONUS TRIGGER,2,12,16.666666666666664,33.711048158640224,-17.04438149197356,bt
ARROW,SHAKE BONUS TRIGGER,3,12,41.66666666666667,33.711048158640224,7.955618508026447,bt
ARROW,SHAKE BONUS TRIGGER,4,12,25.0,33.711048158640224,-8.711048158640224,bt
ARROW,SHAKE BONUS TRIGGER,5,12,16.666666666666664,33.711048158640224,-17.04438149197356,bt
ARROW,SHAKE BONUS TRIGGER,6,11,18.181818181818183,33.711048158640224,-15.529229976822041,bt
ARROW,SHAKE BONUS TRIGGER,7,11,27.27272727272727,33.711048158640224,-6.438320885912955,bt
ARROW,SHAKE BONUS TRIGGER,8,11,36.36363636363637,33.711048158640224,2.6525882049961425,bt
ARROW,SHAKE BONUS TRIGGER,9,11,54.54545454545454,33.711048158640224,20.834406386814315,bt
ARROW,SHAKE BONUS TRIGGER,10,11,18.181818181818183,33.711048158640224,-15.529229976822041,bt
ARROW,SHAKE BONUS TRIGGER,11,11,72.72727272727273,33.711048158640224,39.01622456863251,bt
ARROW,SHAKE BONUS TRIGGER,12,10,30.0,33.711048158640224,-3.7110481586402244,bt
ARROW,SHAKE BONUS TRIGGER,13,11,36.36363636363637,33.711048158640224,2.6525882049961425,bt
ARROW,SHAKE BONUS TRIGGER,14,11,9.090909090909092,33.711048158640224,-24.62013906773113,bt
ARROW,SHAKE BONUS TRIGGER,15,11,27.27272727272727,33.711048158640224,-6.438320885912955,bt
