machine_name,num_machines,avg_diff,std_diff,n_days,avg_win_rate,avg_high_profit_rate,avg_total_games,machine_count_category
押忍!番長ZERO,3.0,1166.6615384615384,879.8365800329642,13,65.38461538461539,43.58461538461539,8256.615384615385,2-5台
攻殻機動隊,3.0,1072.93125,2249.949544832432,16,54.1875,43.74375,15381.25,2-5台
七つの魔剣が支配する,7.0,1014.2888888888889,1739.1937339445308,45,46.86666666666667,33.544444444444444,20066.82222222222,6-15台
押忍！番長4,4.0,850.0,1632.9719271928711,13,48.76923076923077,33.97692307692308,14626.538461538461,2-5台
ゴブリンスレイヤーII,7.0,750.6545454545455,1854.4416072573633,11,40.72727272727273,27.281818181818185,20865.636363636364,6-15台
銀河英雄伝説 Die Neue These,2.0,687.5,2748.067502809929,12,54.166666666666664,29.166666666666668,9694.666666666666,2-5台
L麻雀物語,4.0,666.0714285714286,3744.9145921099193,14,35.714285714285715,30.357142857142858,23367.928571428572,2-5台
ゾンビランドサガ,2.0,629.8155555555555,2926.3078977189884,45,39.644444444444446,30.186666666666667,13556.133333333333,2-5台
吉宗,17.0,619.5757575757576,1977.5827994723606,33,42.303030303030305,33.193939393939395,35405.818181818184,16-50台
不二子BT,2.0,546.2136363636364,1152.7384266525453,22,60.59090909090909,39.39545454545455,14583.181818181818,2-5台
クランキークレスト,3.0,528.6944444444445,783.3119478307344,18,52.72222222222222,33.327777777777776,14382.333333333334,2-5台
デビル メイ クライ5 スタイリッシュトライブ,12.0,528.2217391304348,1608.4445521164853,23,39.91304347826087,31.304347826086957,33563.608695652176,6-15台
SHAKE BONUS TRIGGER,4.0,499.19354838709677,1048.3614967924898,31,56.45161290322581,33.064516129032256,19650.935483870966,2-5台
とある科学の超電磁砲2,5.0,491.85185185185185,1707.8648972351348,27,46.77777777777778,29.874074074074073,18615.925925925927,2-5台
バーサスリヴァイズ,4.0,476.1111111111111,784.6794044884081,45,55.955555555555556,31.293333333333333,17043.11111111111,2-5台
真・一騎当千,2.0,469.04761904761904,2409.796474314594,21,54.76190476190476,28.571428571428573,7357.523809523809,2-5台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,447.62,1122.381599060271,45,41.666666666666664,31.637777777777778,77098.15555555555,6-15台
ToLOVEるダークネス TRANCE ver.8.7,15.0,443.5288888888889,1834.2611776980125,45,44.4,35.79777777777778,47080.77777777778,6-15台
バンドリ！,2.0,443.3333333333333,1959.4642124825857,45,41.111111111111114,34.44444444444444,7718.044444444445,2-5台
スマスロ北斗の拳,43.0,440.24222222222227,821.5810767518734,45,48.022222222222226,26.568888888888885,122349.06666666667,16-50台
うみねこのなく頃に2,4.0,424.76875,609.4686414889065,16,55.0625,35.28125,40793.9375,2-5台
ジャグラーガールズ,9.0,394.3222222222222,892.3022999493777,45,45.977777777777774,27.64222222222222,51504.73333333333,6-15台
ウルトラミラクルジャグラー,5.0,381.77777777777777,971.8007860033699,45,48.44444444444444,29.77777777777778,29141.28888888889,2-5台
マイジャグラーV,57.0,381.16888888888883,828.3141693228542,45,49.62222222222222,30.144444444444446,361463.0444444445,50台超
モンキーターンV,42.0,377.93333333333334,921.7727384576071,45,41.55555555555556,27.957777777777775,157414.73333333334,16-50台
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,4.0,375.55555555555554,798.0531867544223,45,47.22222222222222,30.0,21879.466666666667,2-5台
ファンキージャグラー2,24.0,361.29555555555555,800.3667389378319,45,44.44444444444444,26.76,128296.64444444445,16-50台
沖ドキ!DUO アンコール,21.0,355.8363636363636,1493.7394509037201,22,39.81818181818182,19.09090909090909,53648.0,16-50台
この素晴らしい世界に祝福を！,3.0,350.9311111111111,1434.0247838961093,45,45.2,32.586666666666666,10821.68888888889,2-5台
甲鉄城のカバネリ,8.0,341.1088888888889,969.1991991569456,45,48.68888888888889,32.595555555555556,22034.977777777778,6-15台
新ハナビ,8.0,337.22222222222223,450.2484232918176,45,52.71111111111111,26.38888888888889,43406.933333333334,6-15台
ディスクアップ ULTRAREMIX,15.0,335.1177777777778,562.6963836131463,45,52.0,34.30222222222222,56709.62222222222,6-15台
ハイパーラッシュ,3.0,334.37500000000006,1232.3421356641725,16,59.4375,22.90625,17088.75,2-5台
バイオハザード RE:2,2.0,326.9230769230769,2163.58261769449,13,46.15384615384615,42.30769230769231,8866.307692307691,2-5台
ディスクアップ2,4.0,312.77777777777777,1313.8642500946464,45,52.77777777777778,30.555555555555557,13308.755555555555,2-5台
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,4.0,301.8333333333333,1097.9365201471019,45,44.22222222222222,30.72222222222222,28398.11111111111,2-5台
スマスロ秘宝伝,6.0,296.0764705882353,1383.1875295533011,17,34.35294117647059,24.511764705882353,25199.058823529413,6-15台
痛いのは嫌なので防御力に極振りしたいと思います。,4.0,291.1666666666667,970.9650775481998,45,41.31111111111111,29.444444444444443,30219.733333333334,2-5台
スーパーブラックジャック,16.0,289.62,1303.0791895980983,45,44.022222222222226,32.52,47151.666666666664,16-50台
範馬刃牙,8.0,271.875,1504.1620760863384,12,49.25,10.416666666666666,23445.166666666668,6-15台
鉄拳6,18.0,245.13333333333333,1436.3969032023888,18,41.77777777777778,24.87777777777778,55713.27777777778,16-50台
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3.0,244.0688888888889,1826.8659086263037,45,39.22222222222222,27.76888888888889,9248.866666666667,2-5台
キングハナハナ-30,16.0,232.64444444444445,637.0997529841973,45,42.888888888888886,26.553333333333335,95130.11111111111,16-50台
ソードアート・オンライン,3.0,226.80222222222224,996.1923277452936,45,40.84444444444444,24.753333333333334,24470.088888888888,2-5台
マジカルハロウィン ボーナストリガー,3.0,226.66,857.7531090004861,10,46.7,33.32,15974.3,2-5台
スマスロ炎炎ノ消防隊,3.0,216.66578947368419,1443.9858916500864,38,41.68421052631579,34.86842105263158,17185.815789473683,2-5台
ミスタージャグラー,6.0,209.99777777777777,593.1721314213519,45,42.93333333333333,27.408888888888885,34512.02222222222,6-15台
アイムジャグラーEX-TP,38.0,209.71599999999998,314.06262337311006,25,44.16,26.348000000000003,143980.48,16-50台
ゴッドイーター リザレクション,17.0,197.38222222222223,1414.507420573885,45,35.044444444444444,25.515555555555558,59858.13333333333,16-50台
ハッピージャグラーVIII,10.0,178.88888888888889,580.7135979364378,45,43.55555555555556,21.11111111111111,50601.77777777778,6-15台
バイオハザード5,12.0,170.22857142857143,1456.5546619138115,21,33.19047619047619,20.166666666666668,29229.619047619046,6-15台
無職転生 ～異世界行ったら本気だす～,4.0,156.06363636363636,1652.3714800669152,22,42.31818181818182,32.38636363636363,26930.409090909092,2-5台
ネオアイムジャグラーEX,4.0,152.42222222222222,362.9443673316584,36,43.97222222222222,22.444444444444443,148289.47222222222,2-5台
ゴーゴージャグラー3,23.0,148.98222222222222,466.2664358735488,45,40.955555555555556,23.082222222222224,126002.08888888889,16-50台
北斗の拳 転生の章2,26.0,148.65499999999997,1967.7593264461457,20,35.2,27.885,130167.55,16-50台
モンスターハンターライズ,34.0,146.17555555555555,827.494859680699,45,38.6,26.6,65840.86666666667,16-50台
ヱヴァンゲリヲン ～約束の扉～,8.0,117.36842105263158,624.0584657750808,38,38.86842105263158,25.28421052631579,35366.34210526316,6-15台
アズールレーン THE ANIMATION,5.0,102.01219512195122,1800.0094808354654,41,40.926829268292686,30.0609756097561,29294.09756097561,2-5台
シャーマンキング,3.0,91.85555555555554,2241.108551542736,45,43.51111111111111,28.328888888888887,13228.866666666667,2-5台
いざ！番長,6.0,86.45555555555553,1332.676354619386,45,36.13333333333333,24.66444444444444,42109.62222222222,6-15台
新鬼武者3,17.0,83.0625,990.4352248771343,32,38.84375,26.71875,59062.1875,16-50台
マギアレコード 魔法少女まどか☆マギカ外伝,42.0,74.3,659.0799751444158,45,38.06666666666667,25.104444444444447,146930.88888888888,16-50台
ダーリン・イン・ザ・フランキス,10.0,54.70400000000002,2204.1147008644234,25,35.64,28.168000000000003,28685.52,6-15台
ガールズ&パンツァー 最終章,2.0,49.25777777777778,1460.293934840282,45,37.422222222222224,19.255555555555556,9844.31111111111,2-5台
革命機ヴァルヴレイヴ,12.0,49.1375,1699.1525178200166,40,31.75,28.080000000000002,39911.375,6-15台
革命機ヴァルヴレイヴ2,30.0,36.20689655172413,1085.6711531618964,29,37.793103448275865,30.579310344827583,158745.2068965517,16-50台
東京リベンジャーズ,24.0,28.680555555555543,1315.584939500176,36,39.5,30.96944444444445,119806.5,16-50台
アレックス ブライト,4.0,27.962222222222227,565.3989413313274,45,44.62222222222222,25.182222222222222,19825.51111111111,2-5台
スマスロ ハナビ,5.0,-20.0,567.9906102510264,16,43.75,18.75,25829.3125,2-5台
咲‐Saki‐ 頂上決戦,6.0,-33.341176470588245,1251.5733987959036,17,39.294117647058826,30.4,17534.352941176472,6-15台
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,4.0,-45.689655172413794,848.740373538856,29,31.896551724137932,22.413793103448278,20185.862068965518,2-5台
スマスロ サンダーV,4.0,-68.75,915.3442596293286,12,41.666666666666664,22.916666666666668,21767.333333333332,2-5台
からくりサーカス,29.0,-113.76666666666668,1742.0124443768007,45,39.22222222222222,30.24888888888889,71766.64444444445,16-50台
プリズムナナ,3.0,-115.27083333333333,2059.245006534775,24,41.666666666666664,31.941666666666666,13589.666666666666,2-5台
スマート沖スロ ニューキングハナハナV,8.0,-117.3076923076923,494.38351924650976,13,32.92307692307692,20.192307692307693,38724.61538461538,6-15台
化物語,6.0,-134.025,1057.635403295648,24,38.166666666666664,31.045833333333334,41383.958333333336,6-15台
東京喰種,41.0,-160.92222222222222,881.8637897010277,45,42.577777777777776,33.81777777777778,197393.17777777778,16-50台
グランベルム,2.0,-212.85714285714286,1754.8396464845298,35,35.714285714285715,25.714285714285715,9402.257142857143,2-5台
かぐや様は告らせたい,30.0,-255.26444444444445,1144.828917182022,45,34.17777777777778,27.677777777777777,111801.4,16-50台
沖ドキ!ゴージャス 30Φ,19.0,-277.2826086956522,715.7050755292572,23,40.65217391304348,17.534782608695654,53504.30434782609,16-50台
スマスロ炎炎ノ消防隊2,12.0,-421.86875,1259.4031309678671,16,33.9375,30.2125,77456.5625,6-15台
甲鉄城のカバネリ 海門(うなと)決戦,34.0,-507.34999999999997,675.3650588587425,12,36.416666666666664,27.433333333333334,178939.41666666666,16-50台
主役は銭形5,6.0,-507.4074074074074,1537.75636710059,27,40.74074074074074,22.84444444444444,24316.51851851852,6-15台
