category,machine_types,avg_diff,win_rate,high_profit_rate
2-5台,37,342.1280336421131,46.54019722060987,30.396598872569477
6-15台,23,209.25510141651486,41.02989521460819,27.173995364211102
16-50台,22,121.85709182633201,40.274657350216074,27.138086984572453
50台超,1,381.16888888888883,49.62222222222222,30.144444444444446
