component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate
c1,1.0,0.2538,0.257,0.3717,0.077,-0.0013,0.5357,0.2915,0.34
c2,0.2538,1.0,0.067,0.0915,-0.0006,0.0024,0.1403,0.0598,0.0815
c3,0.257,0.067,1.0,0.1232,0.022,0.0054,0.142,0.0659,0.1027
c4,0.3717,0.0915,0.1232,1.0,0.0309,0.0063,0.2034,0.104,0.1432
c5,0.077,-0.0006,0.022,0.0309,1.0,-0.0058,0.0979,0.093,0.071
c6,-0.0013,0.0024,0.0054,0.0063,-0.0058,1.0,0.0064,0.0062,-0.0033
hist_diff,0.5357,0.1403,0.142,0.2034,0.0979,0.0064,1.0,0.6201,0.5878
hist_payout,0.2915,0.0598,0.0659,0.104,0.093,0.0062,0.6201,1.0,0.468
hist_winrate,0.34,0.0815,0.1027,0.1432,0.071,-0.0033,0.5878,0.468,1.0
