segment,n_machines,n_days,all_dow_p,sat_p,wed_p,sat_cluster456_mean_r
2F_L_N,176,342,0.06147565495355083,0.6128136375483935,0.35622682811884193,0.2409034331072908
2F_R_N,156,342,0.03912673623400068,0.2103008242662442,0.3664532452289009,0.42626140554174285
3F_L_A,98,342,0.19490009504118083,0.0016685361072998135,0.3461027880735665,0.29462423736099047
3F_L_N,100,342,0.3976791379606398,0.041493650050290355,0.034722565501689596,0.3278660048040387
3F_R_A,98,342,0.017179920964151878,0.0016685361072998135,0.8268736286584526,0.2298320427489792
3F_R_N,47,342,0.6437731718811581,0.38718636245160654,0.6232246212366866,0.008665943373152551
