segment,day_of_week,dd_mod10,top1,top2,top3,avoid1,avoid2
2F_L_N,日,5,d2(+284),d6(+264),d5(+153),d3(-136),d8(-67)
2F_L_N,日,6,d1(+730),d6(+619),d5(+539),d2(-437),d9(-231)
2F_L_N,日,7,d6(+819),d5(+564),d4(+564),d8(+39),d1(+45)
2F_L_N,日,8,d2(+302),d0(+171),d6(+167),d1(-422),d9(-189)
2F_L_N,日,9,d1(+601),d0(+206),d4(+115),d9(-282),d7(-196)
2F_R_N,月,0,d5(+589),d7(+584),d2(+397),d6(-255),d8(-103)
2F_R_N,月,1,d2(+1064),d1(+373),d6(+307),d7(-792),d9(-198)
2F_R_N,月,2,d8(+439),d3(+401),d0(+216),d6(-891),d4(-417)
2F_R_N,月,3,d6(+566),d8(+395),d0(+179),d2(-170),d7(-105)
2F_R_N,月,4,d0(+732),d2(+575),d5(+281),d8(-370),d7(-365)
2F_R_N,月,5,d2(+700),d0(+429),d3(+393),d1(+25),d4(+169)
2F_R_N,月,6,d5(+915),d7(+897),d4(+744),d1(-481),d6(-253)
2F_R_N,月,7,d0(+1065),d8(+712),d7(+704),d1(-650),d2(-522)
2F_R_N,月,8,d3(+1305),d7(+689),d6(+363),d2(+79),d1(+144)
2F_R_N,月,9,d0(+253),d5(+146),d2(+77),d3(-722),d8(-518)
2F_R_N,火,0,d3(+881),d2(+711),d7(+651),d1(-296),d0(-173)
2F_R_N,火,1,d3(+372),d8(+306),d5(+300),d7(-323),d6(-162)
2F_R_N,火,2,d3(+734),d6(+543),d8(+424),d0(-132),d2(-109)
2F_R_N,火,3,d6(+395),d3(+323),d5(+256),d8(-219),d9(-184)
2F_R_N,火,4,d3(+739),d5(+575),d2(+440),d1(-482),d8(-209)
2F_R_N,火,5,d2(+1674),d7(+975),d8(+777),d5(-440),d4(+37)
2F_R_N,火,6,d6(+355),d4(+269),d5(+252),d9(-178),d0(-163)
2F_R_N,火,7,d7(+522),d0(+301),d8(+218),d1(-540),d5(-265)
2F_R_N,火,8,d5(+1249),d8(+777),d6(+673),d0(-547),d7(-118)
2F_R_N,火,9,d3(+620),d4(+512),d7(+410),d1(-276),d8(-1)
2F_R_N,水,0,d9(+891),d8(+549),d4(+306),d0(-312),d1(-251)
2F_R_N,水,1,d3(+1104),d4(+834),d2(+808),d6(+230),d8(+319)
2F_R_N,水,2,d1(+280),d6(+235),d2(+167),d7(-319),d4(-223)
2F_R_N,水,3,d5(+791),d4(+767),d9(+545),d1(-529),d2(-372)
2F_R_N,水,4,d9(+973),d0(+950),d6(+754),d7(-709),d8(-309)
2F_R_N,水,5,d0(+413),d5(+350),d2(+293),d8(-481),d4(-392)
2F_R_N,水,6,d1(+863),d7(+700),d9(+410),d3(-392),d4(-351)
2F_R_N,水,7,d5(+852),d0(+646),d7(+593),d6(-245),d1(+27)
2F_R_N,水,8,d9(+742),d1(+271),d5(+242),d7(-338),d2(-336)
2F_R_N,水,9,d4(+1581),d1(+1452),d0(+888),d8(-495),d7(-292)
2F_R_N,木,0,d7(+1098),d2(+653),d3(+640),d8(-283),d1(-17)
2F_R_N,木,1,d6(+537),d0(+508),d8(+449),d2(-132),d4(-115)
2F_R_N,木,2,d4(+508),d2(+419),d7(+235),d3(-217),d1(-216)
2F_R_N,木,3,d9(+398),d4(+325),d6(+198),d1(-424),d3(-393)
2F_R_N,木,4,d9(+472),d3(+348),d7(+337),d0(-230),d4(-200)
2F_R_N,木,5,d2(+577),d9(+440),d0(+276),d5(-233),d7(-221)
2F_R_N,木,6,d7(+446),d2(+199),d6(+191),d4(-188),d8(-184)
2F_R_N,木,7,d5(+1297),d6(+1227),d7(+1090),d9(+308),d0(+379)
2F_R_N,木,8,d1(+717),d0(+494),d2(+335),d9(-114),d3(+38)
2F_R_N,木,9,d9(+311),d4(+197),d5(+181),d2(-406),d1(-251)
2F_R_N,金,0,d2(+578),d6(+555),d8(+389),d3(-228),d1(-173)
2F_R_N,金,1,d6(+914),d7(+885),d2(+762),d5(-107),d0(+186)
2F_R_N,金,2,d2(+849),d1(+590),d6(+475),d9(-539),d8(-223)
2F_R_N,金,3,d0(+363),d5(+362),d6(+186),d3(-432),d1(-350)
2F_R_N,金,4,d2(+700),d6(+582),d4(+448),d7(-266),d9(-243)
2F_R_N,金,5,d5(+314),d6(+282),d9(+140),d2(-343),d0(-212)
2F_R_N,金,6,d8(+1090),d5(+725),d1(+721),d0(-54),d7(-42)
2F_R_N,金,7,d4(+656),d7(+399),d0(+282),d5(-588),d2(-541)
2F_R_N,金,8,d4(+964),d0(+500),d3(+291),d6(-202),d7(-141)
2F_R_N,金,9,d6(+826),d1(+236),d4(+211),d5(-403),d2(-242)
2F_R_N,土,0,d3(+644),d4(+592),d8(+533),d0(-23),d7(-5)
2F_R_N,土,1,d9(+397),d0(+183),d3(+181),d5(-447),d8(-439)
2F_R_N,土,2,d6(+1675),d4(+1190),d2(+873),d9(+70),d3(+81)
2F_R_N,土,3,d7(+572),d3(+393),d2(+368),d0(-222),d8(-201)
2F_R_N,土,4,d6(+625),d7(+560),d2(+520),d1(-230),d8(-178)
2F_R_N,土,5,d9(+698),d7(+491),d8(+308),d4(-462),d5(-427)
2F_R_N,土,6,d7(+1029),d4(+919),d5(+862),d3(-440),d2(-149)
2F_R_N,土,7,d0(+679),d6(+494),d8(+421),d2(-539),d1(-226)
2F_R_N,土,8,d7(+1092),d0(+780),d2(+555),d6(-486),d1(-231)
2F_R_N,土,9,d9(+1317),d0(+890),d3(+592),d2(-114),d7(-100)
2F_R_N,日,0,d5(+1088),d9(+894),d8(+464),d7(-281),d4(-147)
2F_R_N,日,1,d1(+416),d0(+340),d3(+192),d2(-156),d4(-74)
2F_R_N,日,2,d6(+1186),d8(+1002),d9(+495),d2(-60),d4(+7)
2F_R_N,日,3,d1(+664),d5(+644),d7(+492),d4(-161),d3(-83)
2F_R_N,日,4,d4(+913),d5(+876),d8(+771),d3(-412),d2(-81)
2F_R_N,日,5,d8(+259),d1(+204),d5(+120),d4(-597),d7(-192)
2F_R_N,日,6,d7(+721),d1(+635),d9(+56),d6(-415),d0(-254)
2F_R_N,日,7,d2(+746),d6(+492),d5(+491),d7(+221),d3(+305)
2F_R_N,日,8,d6(+715),d2(+549),d1(+541),d9(-346),d4(+69)
2F_R_N,日,9,d8(+591),d7(+435),d3(+205),d4(-753),d6(-622)
3F_L_A,月,0,d4(+441),d9(+324),d7(+303),d6(-181),d0(+51)
3F_L_A,月,1,d3(+724),d9(+600),d5(+589),d6(+76),d0(+156)
3F_L_A,月,2,d6(+649),d7(+500),d2(+435),d9(+0),d3(+15)
3F_L_A,月,3,d5(+233),d3(+87),d6(+51),d7(-328),d1(-170)
3F_L_A,月,4,d8(+578),d9(+508),d0(+314),d7(+14),d4(+53)
3F_L_A,月,5,d1(+551),d8(+270),d6(+263),d5(-67),d2(+95)
3F_L_A,月,6,d5(+498),d4(+292),d1(+229),d7(-262),d6(-230)
3F_L_A,月,7,d0(+589),d9(+333),d1(+263),d8(-385),d2(-237)
3F_L_A,月,8,d0(+559),d4(+485),d1(+460),d5(+30),d6(+139)
3F_L_A,月,9,d5(+324),d8(+302),d1(+285),d6(+95),d2(+96)
3F_L_A,火,0,d2(+208),d1(+150),d9(+81),d0(-236),d8(-83)
3F_L_A,火,1,d9(+603),d2(+468),d0(+432),d7(-49),d1(-8)
3F_L_A,火,2,d9(+581),d6(+476),d0(+311),d2(-87),d3(-67)
3F_L_A,火,3,d7(+340),d5(+304),d6(+231),d9(-72),d0(-12)
3F_L_A,火,4,d2(+500),d3(+479),d4(+374),d5(-107),d7(-24)
3F_L_A,火,5,d6(+697),d0(+583),d7(+578),d1(+150),d9(+269)
3F_L_A,火,6,d5(+650),d2(+587),d6(+511),d9(-46),d7(-2)
3F_L_A,火,7,d3(+542),d6(+429),d7(+402),d2(-85),d9(+79)
3F_L_A,火,8,d8(+342),d5(+283),d3(+253),d7(-72),d2(-31)
3F_L_A,火,9,d3(+443),d5(+393),d0(+293),d2(-94),d6(-70)
3F_L_A,水,0,d3(+591),d5(+567),d4(+493),d8(-28),d0(+26)
3F_L_A,水,1,d2(+716),d9(+553),d4(+402),d5(+106),d3(+188)
3F_L_A,水,2,d1(+370),d5(+359),d7(+231),d9(-222),d4(-204)
3F_L_A,水,3,d0(+439),d5(+437),d4(+311),d3(-126),d9(-94)
3F_L_A,水,4,d5(+640),d3(+445),d1(+378),d2(-213),d7(-124)
3F_L_A,水,5,d1(+309),d4(+215),d0(+147),d9(-213),d5(-109)
3F_L_A,水,6,d1(+633),d7(+356),d8(+194),d5(-197),d9(-167)
3F_L_A,水,7,d4(+542),d0(+473),d2(+218),d5(-76),d8(-48)
3F_L_A,水,8,d8(+289),d9(+194),d2(+194),d5(-145),d0(-40)
3F_L_A,水,9,d8(+789),d5(+594),d3(+578),d9(+160),d0(+200)
3F_L_A,木,0,d9(+1271),d4(+847),d7(+789),d2(-194),d3(+209)
3F_L_A,木,1,d5(+617),d7(+613),d8(+568),d6(+265),d0(+276)
3F_L_A,木,2,d1(+298),d9(+206),d4(+178),d5(-138),d8(-96)
3F_L_A,木,3,d3(+426),d1(+378),d2(+180),d7(-276),d6(-207)
3F_L_A,木,4,d7(+477),d0(+417),d2(+409),d8(+109),d1(+211)
3F_L_A,木,5,d4(+487),d8(+246),d9(+187),d6(-200),d5(-104)
3F_L_A,木,6,d0(+476),d1(+309),d7(+34),d3(-191),d4(-76)
3F_L_A,木,7,d3(+878),d5(+722),d0(+636),d6(+97),d4(+117)
3F_L_A,木,8,d2(+567),d4(+328),d9(+280),d0(-165),d3(-148)
3F_L_A,木,9,d2(+549),d4(+387),d5(+216),d9(-15),d6(-9)
3F_L_A,金,0,d5(+329),d1(+321),d7(+200),d4(-85),d3(-83)
3F_L_A,金,1,d2(+467),d8(+380),d6(+363),d1(-118),d9(+50)
3F_L_A,金,2,d4(+838),d9(+502),d3(+236),d0(-184),d7(-133)
3F_L_A,金,3,d3(+345),d4(+331),d2(+302),d7(-28),d1(-15)
3F_L_A,金,4,d7(+422),d5(+370),d6(+367),d8(-163),d0(-159)
3F_L_A,金,5,d1(+526),d4(+492),d9(+439),d5(-33),d3(-8)
3F_L_A,金,6,d8(+362),d9(+298),d2(+181),d0(-87),d1(-33)
3F_L_A,金,7,d5(+544),d3(+460),d1(+315),d7(-66),d8(-43)
3F_L_A,金,8,d6(+556),d0(+378),d4(+347),d5(-25),d8(+106)
3F_L_A,金,9,d6(+316),d1(+315),d9(+309),d4(-48),d2(-42)
3F_L_A,土,0,d1(+678),d0(+622),d9(+513),d6(+153),d3(+230)
3F_L_A,土,1,d8(+221),d9(+156),d6(+106),d3(-153),d4(-107)
3F_L_A,土,2,d5(+919),d7(+833),d6(+814),d1(-133),d4(-53)
3F_L_A,土,3,d4(+657),d5(+376),d9(+372),d1(+59),d2(+117)
3F_L_A,土,4,d6(+920),d5(+764),d2(+678),d9(+110),d7(+131)
3F_L_A,土,5,d2(+1285),d3(+989),d6(+530),d9(-174),d0(-148)
3F_L_A,土,6,d5(+889),d3(+656),d2(+419),d9(+133),d0(+137)
3F_L_A,土,7,d2(+1000),d1(+615),d5(+424),d4(-96),d7(+12)
3F_L_A,土,8,d5(+760),d6(+651),d9(+581),d2(+120),d4(+168)
3F_L_A,土,9,d5(+633),d3(+569),d9(+542),d0(-8),d8(+92)
3F_L_A,日,0,d2(+678),d9(+506),d8(+417),d4(-156),d0(+194)
3F_L_A,日,1,d6(+763),d4(+716),d3(+693),d9(+172),d8(+244)
3F_L_A,日,2,d6(+750),d8(+700),d4(+655),d7(+42),d1(+200)
3F_L_A,日,3,d3(+619),d1(+519),d2(+497),d0(-125),d8(+8)
3F_L_A,日,4,d9(+450),d6(+385),d1(+298),d8(-70),d5(+50)
3F_L_A,日,5,d5(+707),d6(+398),d0(+367),d7(-349),d1(+0)
3F_L_A,日,6,d0(+307),d7(+281),d2(+237),d9(-233),d3(-144)
3F_L_A,日,7,d7(+559),d2(+557),d1(+470),d8(-70),d0(+244)
3F_L_A,日,8,d5(+424),d0(+310),d1(+296),d6(-138),d4(+31)
3F_L_A,日,9,d8(+451),d7(+365),d0(+316),d5(-161),d4(+97)
3F_L_N,月,0,d7(+1047),d6(+595),d8(+374),d3(-906),d0(-754)
3F_L_N,月,1,d5(+690),d8(+417),d2(+287),d0(-842),d7(-542)
3F_L_N,月,2,d4(+972),d6(+880),d8(+364),d0(-1050),d2(-743)
3F_L_N,月,3,d9(+870),d8(+849),d1(+671),d6(-790),d7(-666)
3F_L_N,月,4,d4(+935),d0(+750),d1(+687),d9(-697),d8(-615)
3F_L_N,月,5,d6(+769),d8(+476),d2(+386),d4(-417),d9(-344)
3F_L_N,月,6,d4(+777),d8(+598),d6(+377),d2(-440),d5(-363)
3F_L_N,月,7,d4(+1017),d0(+237),d1(+223),d3(-1143),d7(-807)
3F_L_N,月,8,d6(+314),d9(+47),d4(-18),d1(-760),d0(-609)
3F_L_N,月,9,d2(+784),d4(+618),d9(+502),d0(-368),d7(-288)
3F_L_N,火,0,d4(+1071),d6(+956),d1(+902),d5(-436),d0(-318)
3F_L_N,火,1,d8(+2470),d3(+1629),d7(+1141),d5(-572),d6(-561)
3F_L_N,火,2,d6(+740),d3(+652),d5(+400),d1(-605),d9(-455)
3F_L_N,火,3,d9(+1074),d3(+642),d7(+341),d0(-815),d2(-672)
3F_L_N,火,4,d5(+810),d8(+432),d2(+169),d1(-555),d9(-477)
3F_L_N,火,5,d2(+776),d0(+670),d9(+518),d5(-322),d7(-318)
3F_L_N,火,6,d1(+498),d6(+459),d3(+246),d5(-657),d2(-607)
3F_L_N,火,7,d9(+1262),d2(+1181),d4(+734),d5(-1000),d0(+283)
3F_L_N,火,8,d0(+682),d7(+268),d6(+131),d8(-1013),d5(-958)
3F_L_N,火,9,d9(+688),d0(+632),d1(+626),d3(-897),d8(-365)
3F_L_N,水,0,d9(+525),d6(+504),d5(+407),d3(-1014),d7(-631)
3F_L_N,水,1,d8(+804),d0(+482),d1(+371),d2(-1180),d3(-482)
3F_L_N,水,2,d6(+1345),d1(+1176),d2(+510),d5(-887),d3(-510)
3F_L_N,水,3,d5(+1137),d4(+575),d6(+60),d3(-915),d2(-475)
3F_L_N,水,4,d6(+886),d5(+839),d8(+609),d9(-511),d7(-35)
3F_L_N,水,5,d6(+704),d4(+552),d7(+436),d5(-352),d2(-345)
3F_L_N,水,6,d1(+1715),d8(+502),d4(+464),d9(-418),d5(-374)
3F_L_N,水,7,d8(+759),d2(+569),d7(+519),d4(-259),d5(-175)
3F_L_N,水,8,d7(+640),d6(+450),d9(+391),d1(-807),d3(-786)
3F_L_N,水,9,d4(+1555),d1(+1277),d3(+462),d0(-918),d6(-372)
3F_L_N,木,0,d4(+1146),d6(+695),d1(+674),d7(-413),d8(-185)
3F_L_N,木,1,d2(+403),d6(+247),d1(+170),d0(-248),d3(-194)
3F_L_N,木,2,d3(+1188),d4(+547),d1(+388),d5(-567),d9(-257)
3F_L_N,木,3,d7(+693),d0(+632),d9(+354),d4(-1592),d6(-1392)
3F_L_N,木,4,d7(+671),d8(+450),d3(+243),d4(-291),d1(-284)
3F_L_N,木,5,d4(+1104),d7(+879),d2(+764),d1(-269),d6(-180)
3F_L_N,木,6,d2(+343),d7(+276),d0(+249),d8(-498),d5(-480)
3F_L_N,木,7,d7(+1282),d2(+1077),d8(+967),d6(-985),d4(-968)
3F_L_N,木,8,d0(+838),d8(+373),d9(+11),d3(-638),d6(-414)
3F_L_N,木,9,d9(+1595),d0(+807),d1(+161),d3(-784),d7(-436)
3F_L_N,金,0,d8(+1905),d6(+314),d3(+304),d0(-394),d9(-357)
3F_L_N,金,1,d9(+1716),d8(+822),d5(+598),d0(-560),d4(-288)
3F_L_N,金,2,d3(+312),d8(+260),d9(+224),d1(-810),d7(-524)
3F_L_N,金,3,d0(+702),d8(+263),d4(+102),d6(-300),d1(-105)
3F_L_N,金,4,d9(+1138),d5(+679),d0(+489),d7(-1228),d4(-611)
3F_L_N,金,5,d3(+497),d9(+191),d6(+88),d2(-547),d7(-390)
3F_L_N,金,6,d5(+957),d2(+909),d3(+502),d6(-1559),d7(-498)
3F_L_N,金,7,d1(+771),d8(+710),d9(+215),d5(-954),d2(-581)
3F_L_N,金,8,d6(+1222),d5(+1087),d7(+852),d2(-767),d3(-580)
3F_L_N,金,9,d6(+485),d8(+215),d7(+200),d0(-769),d4(-630)
3F_L_N,土,0,d2(+2363),d1(+502),d5(+148),d4(-802),d0(-478)
3F_L_N,土,1,d1(+493),d0(+375),d2(+277),d3(-732),d7(-347)
3F_L_N,土,2,d5(+612),d6(+385),d3(+190),d8(-1018),d1(-380)
3F_L_N,土,3,d7(+772),d5(+700),d3(+423),d4(-633),d9(-570)
3F_L_N,土,4,d9(+911),d2(+611),d5(+578),d1(-1087),d7(-207)
3F_L_N,土,5,d0(+583),d1(+523),d2(+283),d8(-753),d3(-703)
3F_L_N,土,6,d5(+1013),d7(+942),d6(+463),d1(-1078),d3(-580)
3F_L_N,土,7,d8(+509),d1(-64),d9(-164),d4(-1434),d6(-892)
3F_L_N,土,8,d8(+725),d0(+351),d3(+221),d1(-419),d9(-415)
3F_L_N,土,9,d8(+1495),d3(+1230),d2(+1197),d7(-1285),d5(-162)
3F_L_N,日,0,d9(+1310),d1(+495),d0(+72),d3(-925),d8(-760)
3F_L_N,日,1,d6(+383),d8(-160),d4(-432),d0(-1237),d7(-868)
3F_L_N,日,2,d7(+1218),d0(+597),d5(+562),d1(-1287),d4(-518)
3F_L_N,日,3,d9(+270),d5(-2),d1(-180),d3(-1098),d4(-1005)
3F_L_N,日,4,d3(+663),d8(+305),d6(+167),d2(-1490),d1(-970)
3F_L_N,日,5,d8(+1324),d0(+1041),d7(+900),d3(-483),d2(-100)
3F_L_N,日,6,d6(+953),d1(+630),d9(+533),d5(-1443),d8(-380)
3F_L_N,日,7,d1(+1937),d0(+557),d9(+482),d8(-378),d4(-158)
3F_L_N,日,8,d8(+834),d5(+592),d0(+402),d2(-224),d3(-140)
3F_L_N,日,9,d1(+1236),d4(+779),d6(+750),d0(-692),d9(-295)
3F_R_A,月,0,d3(+561),d5(+392),d1(+195),d0(+80),d9(+95)
3F_R_A,月,1,d6(+642),d3(+620),d5(+552),d2(+7),d8(+192)
3F_R_A,月,2,d3(+202),d1(+198),d2(+92),d8(-300),d9(-288)
3F_R_A,月,3,d0(+370),d7(+306),d3(+202),d2(+6),d5(+10)
3F_R_A,月,4,d0(+562),d4(+460),d2(+435),d5(-65),d8(+125)
3F_R_A,月,5,d6(+408),d7(+190),d0(+175),d5(-108),d9(+28)
3F_R_A,月,6,d3(+302),d0(+237),d2(+172),d6(-86),d9(-84)
3F_R_A,月,7,d1(+513),d7(+477),d5(+443),d6(-50),d3(+0)
3F_R_A,月,8,d3(+382),d2(+341),d4(+326),d0(-133),d1(-44)
3F_R_A,月,9,d9(+322),d6(+108),d1(+104),d5(-354),d0(-110)
3F_R_A,火,0,d9(+342),d7(+328),d2(+280),d0(-108),d4(+9)
3F_R_A,火,1,d8(+635),d4(+436),d0(+345),d7(-215),d1(-12)
3F_R_A,火,2,d4(+594),d8(+475),d0(+420),d9(-207),d2(-2)
3F_R_A,火,3,d0(+194),d1(+172),d5(+118),d3(-43),d9(-35)
3F_R_A,火,4,d0(+314),d9(+253),d6(+185),d8(-8),d2(+0)
3F_R_A,火,5,d6(+548),d7(+420),d8(+415),d2(+237),d9(+272)
3F_R_A,火,6,d5(+305),d8(+267),d9(+239),d6(-52),d4(+104)
3F_R_A,火,7,d5(+592),d7(+324),d3(+293),d8(-80),d6(-22)
3F_R_A,火,8,d8(+677),d6(+545),d5(+485),d4(-203),d0(+187)
3F_R_A,火,9,d7(+441),d8(+385),d2(+376),d5(+22),d4(+115)
3F_R_A,水,0,d7(+522),d8(+418),d1(+335),d0(-120),d5(+62)
3F_R_A,水,1,d2(+438),d4(+370),d3(+369),d1(-13),d6(+192)
3F_R_A,水,2,d1(+630),d2(+250),d9(+217),d7(-93),d0(-17)
3F_R_A,水,3,d5(+432),d0(+367),d6(+363),d2(-332),d4(+39)
3F_R_A,水,4,d1(+618),d0(+584),d3(+460),d2(-215),d7(-55)
3F_R_A,水,5,d0(+282),d3(+264),d7(+141),d1(-366),d6(-82)
3F_R_A,水,6,d7(+938),d1(+628),d4(+186),d3(-236),d5(-78)
3F_R_A,水,7,d5(+553),d3(+472),d0(+430),d8(+60),d2(+73)
3F_R_A,水,8,d8(+606),d6(+270),d5(+222),d9(-40),d4(+13)
3F_R_A,水,9,d3(+722),d2(+582),d4(+411),d5(-145),d9(+142)
3F_R_A,木,0,d1(+951),d8(+508),d0(+355),d4(-22),d2(+12)
3F_R_A,木,1,d6(+1000),d8(+834),d9(+783),d5(+363),d3(+394)
3F_R_A,木,2,d2(+430),d1(+331),d3(+314),d9(-196),d5(+34)
3F_R_A,木,3,d0(+362),d4(+204),d7(+121),d1(-188),d5(-130)
3F_R_A,木,4,d9(+625),d1(+295),d3(+287),d6(-133),d5(-73)
3F_R_A,木,5,d2(+636),d4(+316),d9(+277),d6(-12),d0(+88)
3F_R_A,木,6,d0(+284),d2(+262),d4(+226),d6(-237),d5(-216)
3F_R_A,木,7,d2(+538),d0(+485),d5(+432),d4(-111),d7(+20)
3F_R_A,木,8,d4(+419),d3(+240),d0(+192),d8(-116),d5(+4)
3F_R_A,木,9,d9(+296),d0(+268),d4(+223),d7(-146),d3(-133)
3F_R_A,金,0,d1(+258),d2(+244),d8(+218),d4(-178),d0(-100)
3F_R_A,金,1,d4(+789),d6(+710),d8(+584),d1(-28),d5(+36)
3F_R_A,金,2,d7(+364),d8(+306),d4(+304),d2(-141),d6(-16)
3F_R_A,金,3,d9(+200),d7(+182),d1(+162),d3(-196),d0(-116)
3F_R_A,金,4,d7(+648),d2(+220),d9(+150),d5(-210),d8(-168)
3F_R_A,金,5,d5(+427),d0(+303),d1(+262),d2(-44),d6(+36)
3F_R_A,金,6,d8(+554),d7(+310),d5(+270),d9(-108),d3(-100)
3F_R_A,金,7,d1(+510),d5(+428),d7(+428),d3(-67),d8(-62)
3F_R_A,金,8,d4(+353),d2(+273),d1(+165),d7(-100),d9(-50)
