segment,day_of_week,dd_mod10,top1,top2,top3,avoid1,avoid2
3F_R_A,金,9,d3(+449),d8(+368),d7(+360),d1(-248),d9(+18)
3F_R_A,土,0,d7(+778),d4(+762),d9(+674),d5(+52),d1(+106)
3F_R_A,土,1,d5(+332),d4(+324),d9(+185),d3(-185),d1(-95)
3F_R_A,土,2,d7(+532),d9(+490),d6(+460),d1(+78),d3(+117)
3F_R_A,土,3,d2(+532),d6(+428),d1(+330),d7(-118),d9(+72)
3F_R_A,土,4,d6(+442),d1(+342),d3(+240),d4(-131),d5(+4)
3F_R_A,土,5,d3(+670),d2(+627),d4(+263),d5(-377),d0(-373)
3F_R_A,土,6,d0(+598),d3(+546),d2(+508),d7(-188),d6(-15)
3F_R_A,土,7,d6(+404),d2(+372),d8(+320),d1(-62),d5(-32)
3F_R_A,土,8,d7(+540),d2(+512),d5(+512),d6(+2),d9(+178)
3F_R_A,土,9,d3(+497),d1(+425),d8(+298),d5(-222),d9(+82)
3F_R_A,日,0,d8(+992),d6(+700),d5(+662),d1(+260),d2(+418)
3F_R_A,日,1,d4(+728),d8(+627),d6(+473),d7(+157),d2(+185)
3F_R_A,日,2,d3(+489),d2(+442),d6(+365),d9(+125),d4(+175)
3F_R_A,日,3,d5(+562),d9(+532),d3(+486),d4(-283),d7(-8)
3F_R_A,日,4,d1(+277),d7(+277),d8(+255),d4(+54),d2(+73)
3F_R_A,日,5,d5(+304),d8(+282),d6(+202),d4(-300),d9(-116)
3F_R_A,日,6,d4(+385),d9(+377),d8(+330),d3(-111),d2(-50)
3F_R_A,日,7,d3(+706),d9(+595),d7(+527),d4(+19),d5(+57)
3F_R_A,日,8,d4(+309),d0(+296),d9(+264),d8(-186),d5(-70)
3F_R_A,日,9,d3(+589),d4(+494),d9(+352),d5(-205),d1(-192)
