date,day_of_week,top1,top2,top3,triplet_label,triplet_kind,contains_7,is_consecutive,top3_avg_diff
20250714,月,3,2,5,2-3-5,non_consecutive,False,False,1262.3266443701225
20250721,月,1,8,9,1-8-9,non_consecutive,False,False,912.9487179487179
20250728,月,0,5,9,0-5-9,non_consecutive,False,False,617.666021921341
20250804,月,4,7,1,1-4-7,non_consecutive,True,False,1208.8960387476216
20250811,月,2,0,4,0-2-4,non_consecutive,False,False,1286.0587002096436
20250818,月,2,7,6,2-6-7,non_consecutive,True,False,360.50638824195056
20250825,月,8,0,9,0-8-9,consecutive_without7,False,True,991.1903768599637
20250901,月,5,2,3,2-3-5,non_consecutive,False,False,-12.423687423687435
20250908,月,6,7,8,6-7-8,consecutive_with7,True,True,1010.6197106197106
20250915,月,2,6,4,2-4-6,non_consecutive,False,False,931.8910256410257
20250922,月,9,4,8,4-8-9,non_consecutive,False,False,993.4640522875817
20250929,月,0,8,6,0-6-8,non_consecutive,False,False,537.3608903020668
20251006,月,4,8,7,4-7-8,non_consecutive,True,False,876.9962785752259
20251013,月,9,2,1,1-2-9,non_consecutive,False,False,1002.5831087151843
20251020,月,3,8,6,3-6-8,non_consecutive,False,False,301.83048433048435
20251027,月,0,3,8,0-3-8,non_consecutive,False,False,1035.2607709750569
20251103,月,6,9,1,1-6-9,non_consecutive,False,False,801.7494960947342
20251110,月,0,8,6,0-6-8,non_consecutive,False,False,445.7219251336898
20251117,月,4,8,0,0-4-8,non_consecutive,False,False,679.2569639074198
20251124,月,0,1,9,0-1-9,consecutive_without7,False,True,762.3807384589055
20251201,月,9,2,8,2-8-9,non_consecutive,False,False,719.59972394755
20251208,月,7,6,3,3-6-7,non_consecutive,True,False,1716.2488129154797
20251215,月,8,3,5,3-5-8,non_consecutive,False,False,1108.8030888030887
20251222,月,1,2,4,1-2-4,non_consecutive,False,False,765.2847994607347
20251229,月,6,1,4,1-4-6,non_consecutive,False,False,153.51690327603617
20260105,月,1,3,5,1-3-5,non_consecutive,False,False,1204.574915824916
20260112,月,2,5,0,0-2-5,non_consecutive,False,False,178.80252810343995
20260119,月,2,5,4,2-4-5,non_consecutive,False,False,758.3391083391084
20260126,月,8,5,7,5-7-8,non_consecutive,True,False,919.409165181224
20260202,月,7,5,0,0-5-7,non_consecutive,True,False,891.5183094514401
20260209,月,8,9,4,4-8-9,non_consecutive,False,False,1412.5771604938273
20260216,月,0,2,4,0-2-4,non_consecutive,False,False,813.2034632034632
20260223,月,1,8,9,1-8-9,non_consecutive,False,False,171.1627906976744
20260302,月,8,0,2,0-2-8,non_consecutive,False,False,671.1659736659736
20260309,月,4,7,1,1-4-7,non_consecutive,True,False,591.3786237108446
20260316,月,4,1,7,1-4-7,non_consecutive,True,False,1223.4639016897083
20260323,月,1,8,4,1-4-8,non_consecutive,False,False,1118.9458689458688
20260330,月,7,4,2,2-4-7,non_consecutive,True,False,961.9907407407408
20260406,月,3,6,8,3-6-8,non_consecutive,False,False,916.0462962962962
20260413,月,9,0,4,0-4-9,non_consecutive,False,False,657.5113730355666
20260420,月,7,1,2,1-2-7,non_consecutive,True,False,664.2571548821549
20260427,月,5,4,9,4-5-9,non_consecutive,False,False,753.989898989899
20260504,月,1,6,2,1-2-6,non_consecutive,False,False,102.5691699604743
20260511,月,5,4,1,1-4-5,non_consecutive,False,False,556.6543816543817
20260518,月,3,8,7,3-7-8,non_consecutive,True,False,932.1719457013575
20260525,月,2,8,3,2-3-8,non_consecutive,False,False,487.87541713014457
20260601,月,4,3,5,3-4-5,consecutive_without7,False,True,596.7039186188122
20260608,月,2,5,9,2-5-9,non_consecutive,False,False,828.1171442936148
20260615,月,5,1,3,1-3-5,non_consecutive,False,False,347.9166666666667
20250708,火,2,0,1,0-1-2,consecutive_without7,False,True,1280.2719991399235
20250715,火,6,7,4,4-6-7,non_consecutive,True,False,1232.6625295508275
20250722,火,3,9,7,3-7-9,non_consecutive,True,False,821.1284513805522
20250729,火,7,6,3,3-6-7,non_consecutive,True,False,980.153800650695
20250805,火,5,2,4,2-4-5,non_consecutive,False,False,1457.2868217054263
20250812,火,5,9,6,5-6-9,non_consecutive,False,False,843.8055555555555
20250819,火,6,9,0,0-6-9,non_consecutive,False,False,733.4225087068868
20250826,火,4,7,8,4-7-8,non_consecutive,True,False,706.5566652192792
20250902,火,8,3,6,3-6-8,non_consecutive,False,False,448.5507246376812
20250909,火,0,9,4,0-4-9,non_consecutive,False,False,702.931488801054
20250916,火,5,3,1,1-3-5,non_consecutive,False,False,964.8102146263913
20250923,火,6,9,0,0-6-9,non_consecutive,False,False,533.572146807441
20250930,火,4,0,2,0-2-4,non_consecutive,False,False,854.5153664302601
20251007,火,1,7,8,1-7-8,non_consecutive,True,False,554.6274509803922
20251014,火,9,0,7,0-7-9,non_consecutive,True,False,1141.6989570215376
20251021,火,8,7,1,1-7-8,non_consecutive,True,False,1143.9024390243903
20251028,火,6,5,3,3-5-6,non_consecutive,False,False,908.0436720142602
20251104,火,5,2,7,2-5-7,non_consecutive,True,False,977.6355302671092
20251111,火,3,7,9,3-7-9,non_consecutive,True,False,862.2541371158392
20251118,火,6,4,8,4-6-8,non_consecutive,False,False,1348.991879580115
20251125,火,2,0,8,0-2-8,non_consecutive,False,False,1276.986076986077
20251202,火,5,2,1,1-2-5,non_consecutive,False,False,764.0162907268171
20251209,火,4,7,9,4-7-9,non_consecutive,True,False,887.2199122199122
20251216,火,0,6,8,0-6-8,non_consecutive,False,False,1058.4166584166585
20251223,火,0,7,3,0-3-7,non_consecutive,True,False,1061.9364839953075
20251230,火,4,9,8,4-8-9,non_consecutive,False,False,823.3534439416793
20260106,火,2,6,8,2-6-8,non_consecutive,False,False,1177.642701191902
20260113,火,9,0,5,0-5-9,non_consecutive,False,False,263.5257235257235
20260120,火,3,9,6,3-6-9,non_consecutive,False,False,968.8743823382747
20260127,火,8,7,3,3-7-8,non_consecutive,True,False,794.4908732723858
20260203,火,9,4,3,3-4-9,non_consecutive,False,False,696.5208065208066
20260210,火,8,9,6,6-8-9,non_consecutive,False,False,1307.1593124224703
20260217,火,0,2,9,0-2-9,non_consecutive,False,False,610.6173469387755
20260224,火,6,7,5,5-6-7,consecutive_with7,True,True,879.021164021164
20260303,火,3,6,5,3-5-6,non_consecutive,False,False,881.6430976430976
20260310,火,7,3,1,1-3-7,non_consecutive,True,False,581.9716775599128
20260317,火,6,2,8,2-6-8,non_consecutive,False,False,849.7390572390573
20260324,火,7,8,5,5-7-8,non_consecutive,True,False,668.6868686868687
20260331,火,8,5,2,2-5-8,non_consecutive,False,False,669.3947863383079
20260407,火,7,9,2,2-7-9,non_consecutive,True,False,760.0792657488528
20260414,火,5,8,9,5-8-9,non_consecutive,False,False,813.8607167004733
20260421,火,0,2,9,0-2-9,non_consecutive,False,False,832.4074074074074
20260428,火,5,3,4,3-4-5,consecutive_without7,False,True,571.7889317889318
20260505,火,2,9,8,2-8-9,non_consecutive,False,False,759.9547511312217
20260512,火,6,9,5,5-6-9,non_consecutive,False,False,927.5630252100841
20260519,火,0,5,2,0-2-5,non_consecutive,False,False,1342.5651472710297
20260526,火,0,1,3,0-1-3,non_consecutive,False,False,523.8095238095239
20260602,火,7,6,8,6-7-8,consecutive_with7,True,True,627.9166666666666
20260609,火,5,8,1,1-5-8,non_consecutive,False,False,1042.8958704693998
20260616,火,3,0,5,0-3-5,non_consecutive,False,False,1201.9853709508882
20250709,水,3,4,1,1-3-4,non_consecutive,False,False,2120.7627215551743
20250716,水,1,7,0,0-1-7,non_consecutive,True,False,1132.8055247256134
20250723,水,8,4,9,4-8-9,non_consecutive,False,False,1310.497641892991
20250730,水,8,9,2,2-8-9,non_consecutive,False,False,767.3469387755102
20250806,水,2,1,8,1-2-8,non_consecutive,False,False,1515.2878787878788
20250813,水,5,6,2,2-5-6,non_consecutive,False,False,710.9025170351829
20250820,水,8,6,1,1-6-8,non_consecutive,False,False,894.6749811035526
20250827,水,3,9,4,3-4-9,non_consecutive,False,False,933.4784712143204
20250903,水,4,5,0,0-4-5,non_consecutive,False,False,917.0516175522433
20250910,水,2,5,1,1-2-5,non_consecutive,False,False,738.8225290116047
20250917,水,2,7,8,2-7-8,non_consecutive,True,False,1027.4423076923076
20250924,水,0,3,8,0-3-8,non_consecutive,False,False,780.1650563607085
20251001,水,3,0,6,0-3-6,non_consecutive,False,False,1309.7492222279516
20251008,水,9,6,0,0-6-9,non_consecutive,False,False,1392.4456604347163
20251015,水,1,2,5,1-2-5,non_consecutive,False,False,892.2114150624789
20251022,水,3,2,8,2-3-8,non_consecutive,False,False,727.8861061419202
20251029,水,8,6,4,4-6-8,non_consecutive,False,False,799.6453900709221
20251105,水,2,4,9,2-4-9,non_consecutive,False,False,1061.113553113553
20251112,水,2,9,0,0-2-9,non_consecutive,False,False,1193.7912904474667
20251119,水,1,4,7,1-4-7,non_consecutive,True,False,986.1053600184035
20251126,水,9,7,1,1-7-9,non_consecutive,True,False,759.603065660032
20251203,水,9,6,2,2-6-9,non_consecutive,False,False,924.8310783700066
20251210,水,2,9,6,2-6-9,non_consecutive,False,False,1091.658914728682
20251217,水,8,1,7,1-7-8,non_consecutive,True,False,909.9444444444445
20251224,水,6,5,7,5-6-7,consecutive_with7,True,True,1261.792129439188
20251231,水,6,0,3,0-3-6,non_consecutive,False,False,736.5109427609427
20260107,水,0,7,2,0-2-7,non_consecutive,True,False,879.3856209150326
20260114,水,1,5,0,0-1-5,non_consecutive,False,False,1121.078431372549
20260121,水,5,9,4,4-5-9,non_consecutive,False,False,1056.496948893974
20260128,水,5,1,3,1-3-5,non_consecutive,False,False,659.1763336815292
20260204,水,9,8,7,7-8-9,consecutive_with7,True,True,981.098901098901
20260211,水,1,0,8,0-1-8,non_consecutive,False,False,691.4769754055469
20260218,水,8,0,7,0-7-8,non_consecutive,True,False,1072.5997295469913
20260225,水,4,0,5,0-4-5,non_consecutive,False,False,1241.8355356243555
20260304,水,3,4,1,1-3-4,non_consecutive,False,False,653.8261791202967
20260311,水,8,0,4,0-4-8,non_consecutive,False,False,904.5502645502644
20260318,水,1,3,4,1-3-4,non_consecutive,False,False,505.76190476190476
20260325,水,7,5,0,0-5-7,non_consecutive,True,False,719.2713301536832
20260401,水,7,8,2,2-7-8,non_consecutive,True,False,791.046511627907
20260408,水,7,2,8,2-7-8,non_consecutive,True,False,1031.5569358178054
20260415,水,9,6,5,5-6-9,non_consecutive,False,False,1380.7922345327972
20260422,水,6,4,1,1-4-6,non_consecutive,False,False,789.9402650932639
20260429,水,4,9,6,4-6-9,non_consecutive,False,False,542.7179676902208
20260506,水,6,5,1,1-5-6,non_consecutive,False,False,465.2183142760651
20260513,水,1,3,5,1-3-5,non_consecutive,False,False,398.81442528501356
20260520,水,9,3,4,3-4-9,non_consecutive,False,False,1149.545317675399
20260527,水,4,1,3,1-3-4,non_consecutive,False,False,390.5016270073921
20260603,水,9,5,4,4-5-9,non_consecutive,False,False,876.4057971014494
20260610,水,4,6,8,4-6-8,non_consecutive,False,False,745.9859780784042
20260617,水,4,7,8,4-7-8,non_consecutive,True,False,1170.43731041456
20250710,木,6,5,3,3-5-6,non_consecutive,False,False,1641.324960753532
20250717,木,8,2,1,1-2-8,non_consecutive,False,False,1100.4848484848485
20250724,木,0,7,3,0-3-7,non_consecutive,True,False,1035.6060606060607
20250731,木,1,7,3,1-3-7,non_consecutive,True,False,1094.3790849673203
20250807,木,8,2,7,2-7-8,non_consecutive,True,False,1111.6973353443943
20250814,木,7,9,3,3-7-9,non_consecutive,True,False,522.6109166453228
20250821,木,4,5,9,4-5-9,non_consecutive,False,False,597.651039744063
20250828,木,7,1,8,1-7-8,non_consecutive,True,False,951.4787514787514
20250904,木,6,2,9,2-6-9,non_consecutive,False,False,1190.7452907452907
20250911,木,2,4,8,2-4-8,non_consecutive,False,False,578.4315862119066
20250918,木,4,9,1,1-4-9,non_consecutive,False,False,765.2236652236652
20250925,木,0,8,6,0-6-8,non_consecutive,False,False,892.7685492801771
20251002,木,2,9,4,2-4-9,non_consecutive,False,False,947.5584795321638
20251009,木,7,0,5,0-5-7,non_consecutive,True,False,1224.0309926480138
20251016,木,5,0,2,0-2-5,non_consecutive,False,False,1291.559829059829
20251023,木,0,8,9,0-8-9,consecutive_without7,False,True,850.7528957528957
20251030,木,7,1,3,1-3-7,non_consecutive,True,False,1351.0940005620857
20251106,木,1,7,2,1-2-7,non_consecutive,True,False,740.8058608058609
20251113,木,0,9,7,0-7-9,non_consecutive,True,False,847.3737373737373
20251120,木,5,0,8,0-5-8,non_consecutive,False,False,919.3277310924369
20251127,木,7,6,8,6-7-8,consecutive_with7,True,True,1100.5690235690236
20251204,木,6,7,2,2-6-7,non_consecutive,True,False,808.2807239057239
20251211,木,1,4,2,1-2-4,non_consecutive,False,False,597.6372662886293
20251218,木,6,2,8,2-6-8,non_consecutive,False,False,1139.934640522876
20251225,木,4,0,9,0-4-9,non_consecutive,False,False,843.5090245775729
20260101,木,8,7,0,0-7-8,non_consecutive,True,False,31.011904761904763
20260108,木,1,8,0,0-1-8,non_consecutive,False,False,1115.333204806889
20260115,木,3,4,2,2-3-4,consecutive_without7,False,True,1068.5823754789274
20260122,木,0,1,3,0-1-3,non_consecutive,False,False,739.9833229101522
20260129,木,0,4,6,0-4-6,non_consecutive,False,False,594.621266002845
20260205,木,2,8,0,0-2-8,non_consecutive,False,False,671.7219095267876
20260212,木,4,2,1,1-2-4,non_consecutive,False,False,915.6593406593406
20260219,木,5,8,4,4-5-8,non_consecutive,False,False,1070.952380952381
20260226,木,2,4,0,0-2-4,non_consecutive,False,False,770.7769423558897
20260305,木,0,2,9,0-2-9,non_consecutive,False,False,1023.2903225806452
20260312,木,4,6,0,0-4-6,non_consecutive,False,False,766.7220093656875
20260319,木,4,9,7,4-7-9,non_consecutive,True,False,1111.5800865800866
20260326,木,2,7,8,2-7-8,non_consecutive,True,False,822.9764858797116
20260402,木,5,2,1,1-2-5,non_consecutive,False,False,1256.9875776397514
20260409,木,9,1,8,1-8-9,non_consecutive,False,False,1265.849816849817
20260416,木,7,0,8,0-7-8,non_consecutive,True,False,848.1481481481482
20260423,木,9,1,0,0-1-9,consecutive_without7,False,True,638.2608695652174
20260430,木,2,3,4,2-3-4,consecutive_without7,False,True,866.2745098039217
20260507,木,4,5,6,4-5-6,consecutive_without7,False,True,547.6234288587231
20260514,木,1,9,8,1-8-9,non_consecutive,False,False,948.3695652173914
20260521,木,7,1,0,0-1-7,non_consecutive,True,False,1041.956241956242
20260528,木,4,0,9,0-4-9,non_consecutive,False,False,1051.3848631239935
20260604,木,8,7,3,3-7-8,non_consecutive,True,False,1399.746376811594
20260611,木,0,1,7,0-1-7,non_consecutive,True,False,904.6150696150697
20260618,木,0,1,3,0-1-3,non_consecutive,False,False,617.8860028860029
20250711,金,6,2,4,2-4-6,non_consecutive,False,False,1107.7249874308698
