dd,kakuban_rank,machine_digit,n,avg_diff,plus_rate,hit104_rate
20,角N-1,1,30,1907.0,53.3,53.3
31,角2,3,17,1759.0,58.8,52.9
20,角1,2,31,1684.0,41.9,41.9
5,角N,1,33,1579.0,63.6,51.5
20,角2,3,32,1534.0,50.0,43.8
25,角N,4,43,1467.0,55.8,48.8
10,角2,2,24,1421.0,50.0,37.5
14,角2,2,23,1383.0,52.2,43.5
27,角2,4,33,1373.0,48.5,39.4
23,角N-1,1,30,1333.0,60.0,53.3
26,角1,1,22,1264.0,50.0,40.9
22,角N,2,32,1231.0,50.0,43.8
31,角N-1,0,18,1194.0,55.6,44.4
12,角1,5,40,1190.0,52.5,45.0
2,角1,1,21,1171.0,38.1,38.1
1,角N-1,0,33,1152.0,42.4,42.4
3,角1,1,21,1152.0,47.6,47.6
12,角N-1,5,19,1132.0,47.4,36.8
2,角N,2,32,1131.0,50.0,50.0
27,角N-1,3,44,1111.0,59.1,47.7
15,角2,3,36,1106.0,38.9,38.9
5,中間,0,109,1091.0,45.9,40.4
27,角N-1,1,32,1050.0,59.4,53.1
11,角N-1,7,36,1039.0,36.1,30.6
24,角N,2,32,1038.0,34.4,34.4
3,角2,2,21,1038.0,47.6,42.9
2,角1,2,33,1036.0,51.5,42.4
3,中間,3,87,1034.0,44.8,37.9
13,角2,4,36,1028.0,44.4,41.7
12,角N,2,27,1015.0,55.6,51.9
11,角2,6,48,1010.0,54.2,37.5
11,角N,1,36,986.0,41.7,30.6
20,角N,1,33,979.0,54.5,48.5
3,角1,9,32,975.0,62.5,50.0
5,角N,4,43,967.0,60.5,44.2
13,角N,1,35,940.0,54.3,42.9
27,角N-1,0,33,939.0,48.5,42.4
30,角2,2,19,932.0,57.9,47.4
10,中間,6,130,909.0,46.9,43.8
30,中間,3,80,904.0,45.0,37.5
10,角2,4,35,903.0,42.9,34.3
24,中間,7,140,891.0,50.0,42.1
13,角N-1,5,23,891.0,52.2,47.8
12,中間,4,104,888.0,51.0,42.3
27,角N,8,33,888.0,45.5,39.4
25,角N,6,22,886.0,50.0,40.9
15,角N-1,5,24,871.0,50.0,29.2
24,角N-1,0,33,864.0,42.4,39.4
2,角N-1,3,43,863.0,60.5,48.8
17,角2,0,36,861.0,55.6,52.8
13,角N,6,24,850.0,41.7,37.5
7,角2,3,33,848.0,54.5,51.5
11,角N-1,0,36,847.0,44.4,44.4
19,中間,8,141,838.0,48.2,42.6
14,中間,1,119,834.0,54.6,47.1
27,中間,9,143,817.0,51.0,39.9
5,角1,5,44,816.0,63.6,45.5
7,角1,1,21,814.0,57.1,38.1
16,角2,3,35,811.0,42.9,40.0
21,角N-1,7,33,803.0,48.5,36.4
30,角2,0,30,803.0,50.0,40.0
2,中間,0,104,800.0,48.1,42.3
24,角N-1,5,22,800.0,50.0,50.0
16,角1,2,36,797.0,50.0,33.3
20,角N-1,0,32,797.0,40.6,37.5
22,角2,6,44,795.0,50.0,40.9
3,角N-1,5,22,791.0,50.0,40.9
12,中間,6,109,777.0,41.3,33.9
4,角N-1,0,33,773.0,27.3,24.2
7,角N,6,22,773.0,54.5,36.4
11,角N,4,48,762.0,54.2,47.9
8,中間,2,117,758.0,46.2,39.3
8,中間,7,155,757.0,49.7,37.4
7,中間,2,110,755.0,52.7,42.7
22,角2,3,33,752.0,42.4,39.4
14,中間,7,153,743.0,49.0,41.8
3,中間,9,143,741.0,46.2,42.7
27,角N,2,32,741.0,53.1,46.9
1,角2,0,33,739.0,54.5,42.4
11,角2,2,24,738.0,45.8,41.7
9,中間,9,154,737.0,48.7,42.9
1,角N-1,1,32,734.0,43.8,40.6
19,角2,2,21,733.0,47.6,38.1
30,中間,7,130,732.0,50.8,43.1
10,角2,3,34,724.0,44.1,44.1
10,角2,6,48,723.0,43.8,33.3
17,中間,9,156,720.0,45.5,41.7
17,中間,8,155,713.0,45.8,38.7
14,中間,9,156,706.0,46.8,42.3
6,角N,2,32,706.0,31.2,28.1
12,角N,6,20,705.0,45.0,30.0
8,角N,6,24,704.0,37.5,37.5
24,角N-1,3,43,700.0,46.5,41.9
26,角N-1,1,31,700.0,35.5,32.3
12,角N-1,1,29,700.0,41.4,37.9
29,中間,6,110,699.0,46.4,39.1
7,中間,1,110,697.0,50.9,42.7
22,角N-1,7,33,691.0,54.5,39.4
28,中間,1,108,690.0,46.3,37.0
3,中間,6,120,689.0,43.3,39.2
10,中間,8,153,685.0,43.8,37.3
11,中間,0,120,680.0,42.5,38.3
26,角1,5,43,674.0,53.5,44.2
3,角N-1,1,32,672.0,46.9,37.5
12,中間,0,100,671.0,46.0,40.0
10,角N-1,0,36,667.0,58.3,38.9
27,角1,3,33,667.0,51.5,45.5
22,中間,9,143,666.0,46.9,42.7
26,中間,4,118,665.0,39.8,38.1
9,角N-1,1,33,664.0,48.5,39.4
6,中間,0,107,663.0,50.5,43.0
10,角N,2,34,662.0,55.9,50.0
12,中間,9,129,661.0,46.5,36.4
1,角2,4,33,661.0,42.4,42.4
17,角2,6,48,656.0,50.0,43.8
25,角2,6,44,655.0,54.5,47.7
28,角1,5,44,655.0,52.3,40.9
14,角2,3,36,653.0,38.9,33.3
17,角N,2,34,653.0,47.1,41.2
6,角N,1,33,652.0,42.4,33.3
6,角2,3,31,652.0,41.9,25.8
9,角1,2,36,650.0,41.7,36.1
6,角2,6,43,649.0,46.5,34.9
5,中間,9,140,639.0,43.6,39.3
18,角N,4,44,639.0,50.0,45.5
13,角N-1,1,35,637.0,45.7,34.3
4,中間,6,120,632.0,47.5,40.8
10,中間,2,119,632.0,49.6,37.0
26,角N,1,33,630.0,48.5,42.4
23,角N,4,43,626.0,51.2,39.5
13,中間,3,95,625.0,46.3,41.1
30,角N-1,1,29,624.0,51.7,37.9
18,角2,3,32,619.0,50.0,50.0
2,角2,3,33,618.0,39.4,33.3
4,中間,8,140,615.0,45.0,38.6
12,角1,9,29,610.0,44.8,37.9
27,中間,8,142,609.0,43.7,39.4
20,角2,0,32,609.0,46.9,40.6
25,角2,0,32,609.0,53.1,50.0
6,中間,5,131,607.0,41.2,34.4
2,角1,3,32,606.0,50.0,40.6
25,角1,2,32,606.0,43.8,43.8
8,角N-1,7,35,603.0,48.6,37.1
12,中間,2,100,601.0,50.0,45.0
12,中間,3,79,600.0,45.6,40.5
5,中間,7,137,598.0,43.8,37.2
17,角2,3,36,597.0,52.8,44.4
14,角1,2,35,597.0,37.1,22.9
25,角N-1,5,21,590.0,28.6,23.8
2,中間,2,110,588.0,46.4,34.5
28,中間,0,105,586.0,48.6,44.8
5,中間,2,110,585.0,43.6,31.8
4,角N,2,32,584.0,50.0,40.6
16,角2,0,34,582.0,55.9,41.2
5,中間,5,131,579.0,39.7,29.0
6,中間,8,140,571.0,42.1,37.9
21,中間,7,143,568.0,44.1,37.8
21,角2,6,44,568.0,50.0,40.9
1,角2,2,21,567.0,52.4,33.3
7,中間,0,110,565.0,44.5,40.0
30,角1,2,30,563.0,40.0,30.0
21,角N-1,1,32,562.0,46.9,40.6
24,中間,3,86,559.0,39.5,36.0
26,角1,2,33,558.0,45.5,42.4
3,角N,4,43,556.0,46.5,32.6
2,中間,5,130,554.0,43.1,37.7
28,中間,2,108,550.0,47.2,41.7
7,中間,6,121,547.0,47.1,44.6
15,中間,5,141,545.0,46.1,39.7
16,中間,3,92,545.0,44.6,40.2
30,角N,6,20,545.0,45.0,40.0
23,角N-1,3,43,544.0,55.8,39.5
12,中間,7,127,542.0,44.9,38.6
30,角N,1,30,540.0,43.3,33.3
3,角2,3,33,539.0,60.6,51.5
27,中間,4,119,538.0,38.7,36.1
3,角2,6,44,536.0,52.3,43.2
8,中間,1,120,535.0,45.0,39.2
21,中間,0,108,535.0,43.5,39.8
26,角N,8,33,533.0,48.5,42.4
7,角2,6,44,530.0,56.8,38.6
16,角N,4,48,529.0,47.9,37.5
23,角2,2,21,529.0,33.3,28.6
3,角N,2,32,525.0,31.2,31.2
5,角N,2,32,525.0,46.9,34.4
16,角1,1,24,525.0,45.8,41.7
26,中間,9,142,524.0,46.5,40.1
5,中間,3,87,521.0,44.8,36.8
5,角2,6,44,520.0,50.0,40.9
16,角N-1,0,35,520.0,42.9,40.0
18,角2,6,43,519.0,41.9,37.2
7,角N,4,44,518.0,56.8,38.6
28,角N,6,22,518.0,54.5,50.0
24,中間,0,107,517.0,45.8,42.1
25,角2,4,32,516.0,31.2,28.1
3,角N-1,0,33,515.0,42.4,36.4
13,角N-1,0,36,514.0,47.2,41.7
9,角2,4,33,509.0,42.4,39.4
8,角2,6,47,506.0,44.7,42.6
19,角N-1,0,33,506.0,54.5,45.5
22,中間,7,142,503.0,43.0,35.9
19,角2,6,43,500.0,46.5,41.9
6,中間,1,109,499.0,43.1,33.9
23,角2,0,33,497.0,42.4,33.3
15,角2,2,24,492.0,37.5,33.3
16,角N-1,5,22,491.0,50.0,31.8
21,角1,1,22,491.0,45.5,36.4
12,角1,2,30,490.0,50.0,43.3
23,中間,1,107,489.0,46.7,37.4
17,角1,3,36,489.0,47.2,38.9
24,中間,1,108,488.0,46.3,39.8
15,中間,8,155,487.0,42.6,35.5
18,中間,4,116,486.0,44.0,33.6
5,角N-1,5,22,486.0,40.9,31.8
7,角N-1,1,32,481.0,43.8,31.2
30,中間,2,100,478.0,52.0,43.0
7,中間,8,142,475.0,45.8,37.3
15,角N-1,0,36,472.0,47.2,47.2
2,中間,1,108,470.0,43.5,37.0
1,中間,7,142,467.0,38.7,32.4
17,中間,4,129,466.0,41.1,34.9
10,角N-1,3,47,466.0,53.2,40.4
2,角2,0,33,464.0,42.4,36.4
7,角2,4,33,464.0,42.4,39.4
25,中間,8,141,463.0,44.7,36.9
12,角N-1,7,30,463.0,53.3,36.7
3,角2,0,33,461.0,45.5,39.4
6,角N-1,7,33,461.0,48.5,45.5
30,中間,6,110,459.0,44.5,40.0
17,角2,2,24,458.0,45.8,37.5
13,中間,9,156,456.0,41.0,32.1
8,角N,8,36,456.0,36.1,36.1
21,中間,6,120,455.0,43.3,38.3
10,中間,4,126,454.0,39.7,32.5
5,中間,8,138,453.0,38.4,33.3
21,中間,2,109,453.0,44.0,39.4
4,角2,6,44,452.0,47.7,43.2
23,角N,1,33,452.0,42.4,36.4
3,中間,8,142,450.0,43.0,36.6
28,角2,6,44,450.0,52.3,43.2
5,角2,4,32,450.0,34.4,34.4
11,中間,8,156,449.0,43.6,37.2
25,中間,7,142,449.0,39.4,35.9
27,中間,1,110,446.0,42.7,34.5
1,中間,2,109,444.0,44.0,38.5
6,角2,4,32,444.0,40.6,34.4
11,角1,9,35,443.0,54.3,42.9
23,中間,0,107,441.0,43.0,35.5
18,中間,0,107,439.0,40.2,36.4
29,中間,0,97,439.0,43.3,36.1
9,中間,3,94,436.0,39.4,36.2
6,角1,2,33,436.0,45.5,33.3
26,角N-1,0,33,436.0,45.5,42.4
14,中間,6,130,435.0,40.8,34.6
9,角N-1,0,36,433.0,38.9,33.3
27,角N-1,7,33,433.0,48.5,42.4
11,中間,2,118,432.0,45.8,33.1
14,角2,0,35,431.0,42.9,34.3
29,角1,9,30,430.0,43.3,36.7
10,角1,2,36,425.0,30.6,30.6
29,角N-1,3,38,421.0,42.1,36.8
30,中間,8,129,418.0,45.7,38.0
17,中間,2,120,412.0,45.8,40.0
9,角2,2,24,412.0,33.3,33.3
2,中間,7,142,411.0,40.1,36.6
23,中間,9,138,411.0,41.3,35.5
30,中間,9,130,411.0,44.6,37.7
9,角1,9,35,411.0,48.6,37.1
26,中間,7,141,409.0,40.4,34.0
5,角N-1,3,43,409.0,48.8,34.9
17,角N-1,1,35,409.0,51.4,37.1
7,角N,1,33,409.0,48.5,48.5
8,角1,2,36,408.0,47.2,38.9
9,角N-1,3,48,406.0,45.8,41.7
7,角N-1,5,22,405.0,54.5,36.4
4,中間,7,143,399.0,46.9,40.6
30,角2,4,30,397.0,43.3,40.0
6,中間,6,119,396.0,37.8,32.8
9,中間,7,153,395.0,39.2,34.6
8,中間,8,154,392.0,42.9,40.3
1,中間,1,110,391.0,49.1,35.5
20,角1,5,44,391.0,59.1,52.3
4,角2,3,33,391.0,36.4,33.3
15,角N,2,34,388.0,41.2,35.3
21,角1,3,33,388.0,39.4,36.4
12,角2,0,30,387.0,46.7,36.7
23,角N,6,22,386.0,40.9,31.8
7,角N-1,7,33,385.0,36.4,27.3
21,中間,4,118,383.0,44.1,36.4
11,中間,4,129,382.0,42.6,38.0
20,中間,9,142,381.0,41.5,35.2
8,角1,9,35,380.0,57.1,42.9
7,中間,7,143,379.0,45.5,36.4
8,角1,5,48,379.0,45.8,31.2
7,角N,8,33,379.0,42.4,30.3
21,中間,8,142,378.0,40.1,36.6
2,中間,8,140,376.0,38.6,32.1
6,中間,2,110,375.0,40.0,36.4
23,中間,8,140,374.0,50.0,42.9
10,中間,1,119,374.0,45.4,40.3
20,角N-1,3,43,372.0,41.9,37.2
24,中間,5,131,370.0,40.5,35.1
3,中間,7,143,369.0,41.3,32.9
2,中間,6,118,369.0,41.5,37.3
17,角N-1,3,48,369.0,43.8,31.2
10,角N,1,36,369.0,30.6,25.0
9,角1,3,35,369.0,40.0,37.1
16,中間,0,114,368.0,45.6,36.8
30,角2,3,29,366.0,37.9,27.6
4,中間,4,118,364.0,40.7,36.4
10,角2,0,36,364.0,52.8,41.7
21,角1,2,33,364.0,48.5,42.4
28,角N,1,33,364.0,45.5,39.4
24,中間,8,141,362.0,39.0,34.0
18,角N-1,0,30,360.0,53.3,40.0
24,中間,6,121,350.0,33.9,29.8
21,中間,5,131,349.0,42.0,35.1
8,中間,9,154,348.0,42.2,34.4
23,角1,2,32,347.0,43.8,34.4
30,中間,5,119,346.0,37.0,31.1
20,角2,6,44,345.0,38.6,29.5
5,角1,9,31,345.0,32.3,22.6
10,角N-1,7,35,343.0,54.3,40.0
16,角N-1,7,36,342.0,44.4,38.9
