floor,side,axis,H_stat,p_value,effect_range,n
2F,L,digit,19.018826008289203,0.025033296702465426,238.00000000000003,62805
2F,L,kakuban,32.376926074365656,1.60205299062552e-06,224.0,62805
2F,R,digit,10.96855678335347,0.2778703729556187,126.60000000000001,55571
2F,R,kakuban,21.53212738581366,0.00024830710204584185,201.2,55571
3F,L,digit,20.25980786135634,0.01637501023153486,257.3,39108
3F,L,kakuban,26.917616149645767,2.0656008949073613e-05,258.3,39108
3F,R,digit,7.526504294283753,0.5824738020798662,298.5,18940
3F,R,kakuban,26.629681362107185,2.361699750115767e-05,457.4,18940
