f_stat,p_value,eta_sq,n_groups,n_rows,analysis_name,weekday,group_col,value_col,bonferroni_p
20.96451141537316,3.559100501706553e-05,0.31306898194676147,2,48,土曜×3連番AT,土,triplet_kind,top3_avg_diff,0.0008185931153925072
9.056707201401556,2.641227806155713e-07,0.0019930885076870903,5,18145,火曜×角番,木,kakuban_rank,diff,6.0748239541581395e-06
6.677066885916895,2.294330294614829e-05,0.0013239146313341406,5,20152,火曜×角番,金,kakuban_rank,diff,0.0005276959677614107
5.466928016213728,0.0002139813685227004,0.0010665164432360997,5,20487,火曜×角番,火,kakuban_rank,diff,0.004921571476022109
4.534341631176132,0.0011638161587358056,0.0008810903809755134,5,20572,火曜×角番,水,kakuban_rank,diff,0.026767771650923526
4.235325845167401,0.0019891229890896256,0.0007159726737319367,5,23650,火曜×角番,日,kakuban_rank,diff,0.04574982874906139
2.291879662108761,0.05707657694552315,0.00036407695229372794,5,25176,火曜×角番,土,kakuban_rank,diff,1.0
2.0827468231609556,0.027600494105594335,0.0027147595117209492,10,6896,水曜×末尾(A),木,machine_digit,diff,0.6348113644286697
1.6603172482505595,0.15615031496025517,0.0003319532201187168,5,20005,火曜×角番,月,kakuban_rank,diff,1.0
1.6328103165062935,0.09973523757291516,0.0007171340700974207,10,20487,水曜×末尾(N),火,machine_digit,diff,1.0
1.5608124389662568,0.12073678337610634,0.0006827021603190786,10,20572,水曜×末尾(N),水,machine_digit,diff,1.0
1.5063458106407381,0.13916655406143869,0.001473509933180971,10,9197,水曜×末尾(A),土,machine_digit,diff,1.0
1.4391645274400655,0.16485580909720718,0.0006426450649949911,10,20152,水曜×末尾(N),金,machine_digit,diff,1.0
1.3891986411332267,0.18652081268199625,0.0006889536216864398,10,18145,水曜×末尾(N),木,machine_digit,diff,1.0
1.2235321425362609,0.27496560150546645,0.0004655948498497729,10,23650,水曜×末尾(N),日,machine_digit,diff,1.0
1.2112379109797882,0.2826050950911553,0.0004329818486271034,10,25176,水曜×末尾(N),土,machine_digit,diff,1.0
1.1559796312968331,0.28778948019956213,0.024004903236265092,2,49,土曜×3連番AT,木,triplet_kind,top3_avg_diff,1.0
0.8865134214897447,0.5363548975458219,0.0010673770719842992,10,7477,水曜×末尾(A),火,machine_digit,diff,1.0
0.6486418373779715,0.7559938965844976,0.00077220923371141,10,7564,水曜×末尾(A),水,machine_digit,diff,1.0
0.6278753063241517,0.7742436871223216,0.0006674277513630584,10,8471,水曜×末尾(A),日,machine_digit,diff,1.0
0.6263085278046956,0.7756299039554158,0.0002818298643768551,10,20005,水曜×末尾(N),月,machine_digit,diff,1.0
0.5289639955951916,0.8545904962794274,0.0006615026085637404,10,7202,水曜×末尾(A),金,machine_digit,diff,1.0
0.42693184127971745,0.921424254568581,0.0005345674494332106,10,7194,水曜×末尾(A),月,machine_digit,diff,1.0
,,,1,48,土曜×3連番AT,日,triplet_kind,top3_avg_diff,
,,,1,49,土曜×3連番AT,月,triplet_kind,top3_avg_diff,
,,,1,50,土曜×3連番AT,水,triplet_kind,top3_avg_diff,
,,,1,50,土曜×3連番AT,火,triplet_kind,top3_avg_diff,
,,,1,49,土曜×3連番AT,金,triplet_kind,top3_avg_diff,
