level,segment,digit,n,avg_diff,plus_rate,hit104_rate,rank
0,ALL,6,22564,228.2928558766176,40.96348165218933,32.54298883176742,1
0,ALL,9,22601,212.5879385867882,41.13534799345162,32.82155656829344,2
0,ALL,8,22622,206.57324728140748,40.95128635841216,32.384404561930864,3
0,ALL,7,22222,186.45936459364594,40.44190441904419,32.071820718207185,4
0,ALL,0,22565,184.69754043873255,40.29248836693995,32.42632395302459,5
0,ALL,2,22547,183.01769636758772,40.537543797400986,32.15061870758859,6
0,ALL,4,22201,175.4695734426377,40.57474888518535,32.237286608711315,7
0,ALL,5,22240,174.31654676258992,40.78687050359712,31.8794964028777,8
0,ALL,1,22927,147.74719762725172,40.511187682644916,31.818380075893053,9
0,ALL,3,22267,125.9397314411461,40.47244801724525,31.962096375802755,10
1,A,3,6209,234.25672411016268,43.85569334836528,27.540666774037685,1
1,A,4,6215,227.8841512469831,43.57200321802092,27.787610619469028,2
1,A,2,6507,222.68326417704012,43.491624404487474,28.169663439372982,3
1,A,8,6539,219.60544425753173,43.90579599327114,27.75653769689555,4
1,A,5,6472,217.28986402966626,43.525957972805934,27.45673671199011,5
1,A,6,6453,216.6589183325585,43.204710987137766,27.258639392530604,6
1,A,1,6540,208.9296636085627,43.70030581039755,27.75229357798165,7
1,A,9,6532,208.54255970606246,42.95774647887324,27.878138395590934,8
1,A,0,6560,206.78353658536585,43.201219512195124,27.957317073170735,9
1,A,7,6515,197.94320798158097,42.31772831926324,27.06062931696086,10
1,N,6,16111,232.95264105269692,40.06579355719694,34.65954937620259,1
1,N,9,16069,214.23237289190368,40.39454850955255,34.83104113510486,2
1,N,8,16083,201.2746378163278,39.75004663309084,34.26599515015855,3
1,N,7,15707,181.696059081938,39.6638441459222,34.150378811994656,4
1,N,0,16005,175.64511090284287,39.10028116213683,34.258044361137145,5
1,N,2,16040,166.92643391521196,39.33915211970075,33.76558603491272,6
1,N,5,15768,156.67808219178082,39.662607813292745,33.69482496194825,7
1,N,4,15986,155.0919554610284,39.40948329788565,33.96722131865382,8
1,N,1,16387,123.32946848111308,39.23842069933484,33.441142368951,9
1,N,3,16058,84.05779050940342,39.16427948686013,33.67169012330303,10
2,2F,6,11420,297.3817863397548,40.814360770577935,34.85113835376533,1
2,2F,9,11127,266.52287229262157,40.85557652556844,34.708367035139744,2
2,2F,7,11103,261.03755741691435,40.07025128343691,33.90074754570836,3
2,2F,0,11082,249.9278108644649,39.70402454430608,34.57859592131384,4
2,2F,8,11140,238.84201077199282,39.81149012567325,33.96768402154399,5
