level,segment,n_machines,n_obs,digit_range,digit_std,kruskal_H,kruskal_p,epsilon_sq
0,ALL,667,224756,102.35312443547151,28.50575506182325,20.61620173355378,0.01446797599562298,5.16859109107783e-05
1,A,196,64542,36.31351612858171,10.251170049660919,5.391396401868148,0.7989424156364469,0.0
1,N,479,160214,148.8948505432935,41.27116645146754,24.77698967377315,0.0032280331683359606,9.848062266718153e-05
2,2F,332,111641,135.62926472592196,39.44612657396154,12.061543200675832,0.20986199371458933,2.742556458936883e-05
2,3F,335,113115,84.94940992747287,25.329342402171,11.890996627987823,0.2195243974580026,2.5560290243471316e-05
3,2F_N,332,111641,135.62926472592196,39.44612657396154,12.061543200675832,0.20986199371458933,2.742556458936883e-05
3,3F_A,196,64542,36.31351612858171,10.251170049660919,5.391396401868148,0.7989424156364469,0.0
3,3F_N,147,48573,206.69816366815854,58.4970655572256,17.377397805129863,0.04312370879381707,0.00017250577198957772
4,2F_L,176,59270,217.9987232487042,61.88681107663564,18.67581095951994,0.028094932550238667,0.00016327726897603679
4,2F_R,156,52371,118.81501032925979,33.68221123428448,10.966303192914008,0.27802576029977266,3.7552819711502996e-05
4,3F_L,190,63993,130.67036264021687,39.97299779932284,10.730656610523667,0.2946238179679366,2.7048694348868715e-05
4,3F_R,145,49122,97.20312769657626,27.039995143799647,8.00524174400973,0.5336180607429145,0.0
5,2F_L_N,176,59270,217.9987232487042,61.88681107663564,18.67581095951994,0.028094932550238667,0.00016327726897603679
5,2F_R_N,156,52371,118.81501032925979,33.68221123428448,10.966303192914008,0.27802576029977266,3.7552819711502996e-05
5,3F_L_A,98,31309,86.82156524708404,25.1079183298544,6.089138289644031,0.7309648629626395,0.0
5,3F_L_N,100,32684,277.76824979050923,78.24047228864812,18.116949040556754,0.033840712502148824,0.0002790276378942509
5,3F_R_A,98,33233,71.84567167479855,19.735359449382365,9.787173338548982,0.3679880367627462,2.3693626058723833e-05
5,3F_R_N,47,15889,346.08445496696663,96.58016044151299,9.303332122076412,0.40975826319216035,1.9102721964633304e-05
