segment,digit_a,digit_b,pair_label,n_days,pearson_r
3F_L_A,1,9,1-9,342,0.18371792189740094
3F_L_A,2,3,2-3,342,0.27629004383586536
3F_L_A,2,4,2-4,342,0.13585441334123108
3F_L_A,2,5,2-5,342,0.23920678912995244
3F_L_A,2,6,2-6,342,0.2673435295635914
3F_L_A,2,7,2-7,342,0.21498922521922584
3F_L_A,2,8,2-8,342,0.2669362540730814
3F_L_A,2,9,2-9,342,0.19427740161905077
3F_L_A,3,4,3-4,342,0.19088445665040146
3F_L_A,3,5,3-5,342,0.2042621639370251
3F_L_A,3,6,3-6,342,0.19567013694444835
3F_L_A,3,7,3-7,342,0.2128711358372398
3F_L_A,3,8,3-8,342,0.2719815790543704
3F_L_A,3,9,3-9,342,0.18280198732003128
3F_L_A,4,5,4-5,342,0.1633711333794123
3F_L_A,4,6,4-6,342,0.21663931729237462
3F_L_A,4,7,4-7,342,0.2930938432672744
3F_L_A,4,8,4-8,342,0.17105330956145953
3F_L_A,4,9,4-9,342,0.1741316939609856
3F_L_A,5,6,5-6,342,0.33344023041277926
3F_L_A,5,7,5-7,342,0.3277111854306711
3F_L_A,5,8,5-8,342,0.22037101104890128
3F_L_A,5,9,5-9,342,0.19193042834739021
3F_L_A,6,7,6-7,342,0.3506435679195393
3F_L_A,6,8,6-8,342,0.20031996054665951
3F_L_A,6,9,6-9,342,0.23836909030485873
3F_L_A,7,8,7-8,342,0.2385611802399532
3F_L_A,7,9,7-9,342,0.2542011384915369
3F_L_A,8,9,8-9,342,0.2742009403822121
3F_L_N,0,1,0-1,342,0.11704975767135929
3F_L_N,0,2,0-2,342,-0.0011245822305809906
3F_L_N,0,3,0-3,342,0.007845819284490263
3F_L_N,0,4,0-4,342,0.10266112852670824
3F_L_N,0,5,0-5,342,0.02578084948142759
3F_L_N,0,6,0-6,342,0.03261828239022547
3F_L_N,0,7,0-7,342,0.0036145438372753597
3F_L_N,0,8,0-8,342,0.026837521496541852
3F_L_N,0,9,0-9,342,0.011161926391118853
3F_L_N,1,2,1-2,342,0.0704866113827743
3F_L_N,1,3,1-3,342,0.0687329848874852
3F_L_N,1,4,1-4,342,0.129403742297601
3F_L_N,1,5,1-5,342,0.01097004915266712
3F_L_N,1,6,1-6,342,0.05290465412968028
3F_L_N,1,7,1-7,342,0.04303929043005114
3F_L_N,1,8,1-8,342,0.03670424518896004
3F_L_N,1,9,1-9,342,0.10778235623191566
3F_L_N,2,3,2-3,342,0.12186391785715299
3F_L_N,2,4,2-4,342,0.07461908454214763
3F_L_N,2,5,2-5,342,0.16602692163490512
3F_L_N,2,6,2-6,342,-0.02099458205709222
3F_L_N,2,7,2-7,342,0.02187118986044656
3F_L_N,2,8,2-8,342,0.11805209318120664
3F_L_N,2,9,2-9,342,0.06398930254830341
3F_L_N,3,4,3-4,342,0.018417955316271748
3F_L_N,3,5,3-5,342,0.012615315607829613
3F_L_N,3,6,3-6,342,0.09500123104236805
3F_L_N,3,7,3-7,342,0.11196596420089835
3F_L_N,3,8,3-8,342,0.1661906785649474
3F_L_N,3,9,3-9,342,0.09944878161439548
3F_L_N,4,5,4-5,342,0.00178069992367624
3F_L_N,4,6,4-6,342,0.16288434595537762
3F_L_N,4,7,4-7,342,0.057072595806870345
3F_L_N,4,8,4-8,342,0.02017606908941596
3F_L_N,4,9,4-9,342,0.06371258046638965
3F_L_N,5,6,5-6,342,-0.027895210411060148
3F_L_N,5,7,5-7,342,0.06282471189105449
3F_L_N,5,8,5-8,342,0.07892000810972451
3F_L_N,5,9,5-9,342,0.054398119316709986
3F_L_N,6,7,6-7,342,0.06417640263215384
3F_L_N,6,8,6-8,342,0.004444393046402448
3F_L_N,6,9,6-9,342,0.010035037459892876
3F_L_N,7,8,7-8,342,0.13991227096482448
3F_L_N,7,9,7-9,342,0.0987892478771492
3F_L_N,8,9,8-9,342,0.1544803018577094
3F_R_A,0,1,0-1,342,0.2238198209357707
3F_R_A,0,2,0-2,342,0.26320923860172285
3F_R_A,0,3,0-3,342,0.2133246204362953
3F_R_A,0,4,0-4,342,0.24706492456613757
3F_R_A,0,5,0-5,342,0.26436001147725346
3F_R_A,0,6,0-6,342,0.1106232521959041
3F_R_A,0,7,0-7,342,0.2060975438405981
3F_R_A,0,8,0-8,342,0.20047446942080388
3F_R_A,0,9,0-9,342,0.2634214647345508
3F_R_A,1,2,1-2,342,0.2559213901084832
3F_R_A,1,3,1-3,342,0.2655396128148301
3F_R_A,1,4,1-4,342,0.15006513914964226
3F_R_A,1,5,1-5,342,0.20181337372573455
3F_R_A,1,6,1-6,342,0.22287219428204608
3F_R_A,1,7,1-7,342,0.1739125042139726
3F_R_A,1,8,1-8,342,0.16479738863795454
3F_R_A,1,9,1-9,342,0.2734359989372069
3F_R_A,2,3,2-3,342,0.36010738541292114
3F_R_A,2,4,2-4,342,0.30934199231520376
3F_R_A,2,5,2-5,342,0.19367384331599155
3F_R_A,2,6,2-6,342,0.1959031283524847
3F_R_A,2,7,2-7,342,0.19673720664361308
3F_R_A,2,8,2-8,342,0.25413153476560496
3F_R_A,2,9,2-9,342,0.24607961847549487
3F_R_A,3,4,3-4,342,0.3254603509437165
3F_R_A,3,5,3-5,342,0.22276746918105475
3F_R_A,3,6,3-6,342,0.2914746420195204
3F_R_A,3,7,3-7,342,0.23172646794643317
3F_R_A,3,8,3-8,342,0.24004194220893366
3F_R_A,3,9,3-9,342,0.27226321252925034
3F_R_A,4,5,4-5,342,0.20258732530989515
3F_R_A,4,6,4-6,342,0.3034043012682019
3F_R_A,4,7,4-7,342,0.2357204298151531
3F_R_A,4,8,4-8,342,0.27383526321168716
3F_R_A,4,9,4-9,342,0.17853264638813496
3F_R_A,5,6,5-6,342,0.2718251142144903
3F_R_A,5,7,5-7,342,0.2630793304119831
3F_R_A,5,8,5-8,342,0.2411424041858199
3F_R_A,5,9,5-9,342,0.2190113450049747
3F_R_A,6,7,6-7,342,0.2206161914782257
3F_R_A,6,8,6-8,342,0.2956986538217563
3F_R_A,6,9,6-9,342,0.18707468392968238
3F_R_A,7,8,7-8,342,0.26621632666356077
3F_R_A,7,9,7-9,342,0.19198165121416957
3F_R_A,8,9,8-9,342,0.3026178152183592
3F_R_N,0,1,0-1,342,0.0013239489014989583
3F_R_N,0,2,0-2,342,0.10565346063002992
3F_R_N,0,3,0-3,342,-0.055368233923743106
3F_R_N,0,4,0-4,342,0.06870758902686924
3F_R_N,0,5,0-5,342,0.04286928960595702
3F_R_N,0,6,0-6,342,0.03241947878178553
3F_R_N,0,7,0-7,342,0.1258517570695057
3F_R_N,0,8,0-8,342,0.06361827978378876
3F_R_N,0,9,0-9,342,0.014971958956530192
3F_R_N,1,2,1-2,342,0.023916770089919874
3F_R_N,1,3,1-3,342,0.024314464957274472
3F_R_N,1,4,1-4,342,-0.01617252055331468
3F_R_N,1,5,1-5,342,0.03380926103175566
3F_R_N,1,6,1-6,342,-0.04823481799153796
3F_R_N,1,7,1-7,342,0.08224754855836164
3F_R_N,1,8,1-8,342,-0.050104605756276246
3F_R_N,1,9,1-9,342,0.02307524126101074
3F_R_N,2,3,2-3,342,0.03524530734219981
3F_R_N,2,4,2-4,342,0.04215538688636938
3F_R_N,2,5,2-5,342,-0.020644540553057967
3F_R_N,2,6,2-6,342,0.08516966322202721
3F_R_N,2,7,2-7,342,0.10087256260646958
3F_R_N,2,8,2-8,342,-0.059111826568441085
3F_R_N,2,9,2-9,342,0.07830233168544923
3F_R_N,3,4,3-4,342,0.027746715742059593
3F_R_N,3,5,3-5,342,-0.008710654261795401
3F_R_N,3,6,3-6,342,0.050791832047788275
3F_R_N,3,7,3-7,342,0.05370408463887306
3F_R_N,3,8,3-8,342,-0.00033804404489009323
3F_R_N,3,9,3-9,342,-0.0014710744019154592
3F_R_N,4,5,4-5,342,0.04199615283830935
3F_R_N,4,6,4-6,342,-0.002876984443601771
3F_R_N,4,7,4-7,342,0.10262930159317625
3F_R_N,4,8,4-8,342,0.021507530875931456
3F_R_N,4,9,4-9,342,0.016947639754023008
3F_R_N,5,6,5-6,342,-0.05218190827244566
3F_R_N,5,7,5-7,342,0.016012919745832143
3F_R_N,5,8,5-8,342,0.026311878641685514
3F_R_N,5,9,5-9,342,0.05806401087083328
3F_R_N,6,7,6-7,342,-0.008261487105524462
3F_R_N,6,8,6-8,342,0.08221221794666489
3F_R_N,6,9,6-9,342,0.00905159978773416
3F_R_N,7,8,7-8,342,0.052124334498481376
3F_R_N,7,9,7-9,342,0.0016538567125460495
3F_R_N,8,9,8-9,342,0.1138174880667018
