dow,dd_mod10,machine_digit,avg_diff,plus_rate,hit104_rate,n,rank
月,0,0,-75,37.3,30.8,276,10
月,0,1,-8,41.7,31.6,288,9
月,0,2,165,38.9,29.7,283,2
月,0,3,129,41.9,34.4,279,4
月,0,4,71,39.4,31.4,277,7
月,0,5,146,39.8,32.8,274,3
月,0,6,65,35.3,26.9,275,8
月,0,7,471,43.0,35.7,277,1
月,0,8,81,39.4,33.6,277,6
月,0,9,100,40.7,32.9,280,5
月,1,0,105,40.9,31.6,430,7
月,1,1,191,43.4,33.3,442,5
月,1,2,435,44.8,33.8,426,1
月,1,3,51,42.4,30.8,422,8
月,1,4,245,42.4,34.4,422,3
月,1,5,385,46.4,37.1,420,2
月,1,6,38,40.8,31.8,422,9
月,1,7,-87,38.4,31.1,425,10
月,1,8,228,45.5,34.7,424,4
月,1,9,124,37.2,30.1,425,6
月,2,0,3,36.3,28.2,355,9
月,2,1,3,37.2,29.6,368,8
月,2,2,142,41.7,31.7,357,3
月,2,3,109,38.2,31.7,353,5
月,2,4,222,37.4,30.0,353,1
月,2,5,17,40.6,28.7,355,7
月,2,6,20,40.7,30.7,349,6
月,2,7,187,41.9,31.7,353,2
月,2,8,118,38.6,31.5,352,4
月,2,9,-1,35.9,27.1,351,10
月,3,0,100,40.3,31.0,352,6
月,3,1,366,43.2,32.3,359,2
月,3,2,57,37.1,29.2,353,7
月,3,3,-11,39.7,31.6,348,8
月,3,4,-16,39.4,30.5,348,9
月,3,5,129,41.4,34.0,350,4
月,3,6,111,39.2,32.3,347,5
月,3,7,-161,32.7,25.1,346,10
月,3,8,178,39.3,28.6,346,3
月,3,9,383,42.5,35.3,346,1
月,4,0,350,44.2,36.8,285,4
月,4,1,493,46.7,38.1,291,1
月,4,2,428,43.7,35.2,284,2
月,4,3,114,40.2,32.0,281,7
月,4,4,207,44.6,33.2,280,6
月,4,5,74,40.3,31.8,283,9
月,4,6,379,45.4,34.3,280,3
月,4,7,274,40.9,32.0,281,5
月,4,8,-159,40.4,28.0,282,10
