floor,side,digit_type,H_stat,p_value,effect_range,n
2F,L,raw_digit,17.759735736675147,0.03806559274729466,247.7,23991
2F,L,pos_from_left,6.854567020480342,0.6522580042348629,199.39999999999998,23991
2F,L,pos_from_right,9.563501691161425,0.3869626854164408,196.89999999999998,23991
2F,R,raw_digit,9.408336176937004,0.40046609098318564,134.40000000000003,93024
2F,R,pos_from_left,10.77890462455696,0.2911689239884869,91.79999999999998,93024
2F,R,pos_from_right,14.25012406014836,0.11370187018359885,147.39999999999998,93024
3F,L,raw_digit,38.51754190111165,1.4072162124631525e-05,443.8,12519
3F,L,pos_from_left,27.982471131087387,0.0009603212778913838,428.79999999999995,12519
3F,L,pos_from_right,17.37834680281781,0.04311042209765918,335.4,12519
3F,R,raw_digit,20.54373174494632,0.01483785685934523,212.2,42625
3F,R,pos_from_left,15.57311218353566,0.07634924066815246,189.3,42625
3F,R,pos_from_right,12.720247042569921,0.17567870158268914,141.6,42625
