dd_mod10,day_of_week,segment,kakuban,digit,n,avg_diff,plus_rate,hit104_rate,rank
0,月,N,中間,7,150,486.0,44.0,38.0,1
0,火,N,角2,6,20,1705.0,55.0,45.0,1
0,水,N,角1,8,24,1479.0,33.3,33.3,1
0,木,N,角N-1,1,26,1200.0,50.0,46.2,1
0,金,N,角N-1,9,20,1330.0,65.0,55.0,1
0,土,N,角2,2,30,1843.0,36.7,33.3,1
0,日,N,中間,9,148,951.0,51.4,41.9,1
1,月,N,角N-1,7,24,1908.0,50.0,41.7,1
1,火,N,角1,1,24,942.0,45.8,37.5,1
1,水,N,角N-1,9,23,1113.0,43.5,34.8,1
1,木,N,角N-1,6,28,2161.0,53.6,46.4,1
1,金,N,角N,7,20,1285.0,55.0,55.0,1
1,土,N,角1,7,21,1052.0,57.1,52.4,1
1,日,N,角2,0,24,1546.0,75.0,54.2,1
2,月,N,角N-1,7,20,1225.0,60.0,45.0,1
2,火,N,角1,0,23,1574.0,69.6,60.9,1
2,水,N,角N,2,21,1781.0,61.9,57.1,1
2,木,N,中間,2,160,615.0,40.6,35.6,1
2,金,N,角N-1,6,20,1635.0,60.0,50.0,1
2,土,N,角2,2,24,1921.0,62.5,58.3,1
2,日,A,角2,2,20,690.0,65.0,30.0,1
3,月,N,角1,8,20,1875.0,50.0,40.0,1
3,火,N,角N,7,20,2400.0,50.0,50.0,1
3,水,N,角2,0,24,1546.0,50.0,50.0,1
3,木,N,角N,2,21,595.0,47.6,38.1,1
3,金,N,角1,9,20,745.0,50.0,45.0,1
3,土,N,角N,7,24,1254.0,45.8,41.7,1
3,日,A,角2,2,20,810.0,65.0,35.0,1
4,月,N,角2,2,24,1308.0,54.2,41.7,1
4,火,N,角N-1,0,20,810.0,40.0,35.0,1
4,水,N,角N,7,20,1155.0,55.0,50.0,1
4,木,N,中間,7,226,751.0,46.0,38.9,1
4,金,A,中間,7,47,643.0,59.6,44.7,1
4,土,N,角N,2,35,1303.0,48.6,42.9,1
4,日,N,角N-1,6,24,1308.0,58.3,45.8,1
5,月,N,角1,5,24,1279.0,50.0,37.5,1
5,火,N,角N,2,26,2038.0,57.7,57.7,1
5,水,N,角N,4,25,1732.0,64.0,56.0,1
5,木,N,角N,7,20,1425.0,55.0,50.0,1
5,金,N,角N,6,24,2079.0,66.7,66.7,1
5,土,N,角N-1,1,21,1033.0,42.9,38.1,1
5,日,N,角N-1,6,20,1615.0,45.0,45.0,1
6,月,N,角2,4,35,1226.0,45.7,42.9,1
6,火,N,角2,8,20,780.0,45.0,40.0,1
6,水,N,中間,1,133,1364.0,55.6,46.6,1
6,木,N,角1,5,20,660.0,40.0,30.0,1
6,金,N,角N-1,0,20,1515.0,70.0,65.0,1
6,土,N,角2,8,24,1925.0,54.2,54.2,1
6,日,N,中間,1,102,961.0,50.0,45.1,1
7,月,N,角2,4,21,1843.0,61.9,52.4,1
7,火,N,角2,9,20,2085.0,65.0,55.0,1
7,水,N,角N-1,7,24,2029.0,62.5,54.2,1
7,木,N,角2,2,24,1054.0,45.8,45.8,1
7,金,N,角2,9,20,1815.0,45.0,40.0,1
7,土,N,角N-1,9,20,1610.0,60.0,50.0,1
7,日,N,角N-1,1,42,1233.0,59.5,52.4,1
8,月,N,角1,5,24,1404.0,66.7,54.2,1
8,火,N,角2,2,24,1017.0,50.0,45.8,1
8,水,N,角N-1,6,20,1205.0,45.0,35.0,1
8,木,N,角1,1,30,1090.0,46.7,40.0,1
8,金,N,角2,4,28,1118.0,46.4,39.3,1
8,土,N,角N-1,9,20,1470.0,50.0,45.0,1
8,日,N,角N,6,20,1330.0,65.0,65.0,1
9,月,N,角N-1,3,25,900.0,44.0,44.0,1
9,火,N,角1,0,24,1167.0,41.7,41.7,1
9,水,N,角1,1,24,1612.0,50.0,50.0,1
9,木,N,角2,1,20,860.0,50.0,45.0,1
9,金,N,角N,7,20,785.0,40.0,40.0,1
9,土,N,中間,9,148,1016.0,54.7,45.9,1
9,日,N,角N-1,1,26,1069.0,46.2,38.5,1
