date,machine_number,machine_name,games,diff,payout,day_baseline,edge,edge_vs_excluded,pool_size,universe_size
20251006,3001,キングハナハナ-30,2161,-1100,0.8303254666049669,170.76923076923077,-1270.7692307692307,-1283.5036496350365,715,715
20251006,3002,キングハナハナ-30,4911,-600,0.9592750967216452,170.76923076923077,-770.7692307692307,-783.5036496350365,715,715
20251006,3003,キングハナハナ-30,1389,-600,0.8560115190784737,170.76923076923077,-770.7692307692307,-783.5036496350365,715,715
20251006,3004,キングハナハナ-30,3710,-700,0.9371069182389937,170.76923076923077,-870.7692307692307,-883.5036496350365,715,715
20251006,3005,キングハナハナ-30,6606,-800,0.9596326571803411,170.76923076923077,-970.7692307692307,-983.5036496350365,715,715
20251006,3006,キングハナハナ-30,2089,-1300,0.7925642253071645,170.76923076923077,-1470.7692307692307,-1483.5036496350365,715,715
20251006,3007,キングハナハナ-30,708,-300,0.8587570621468926,170.76923076923077,-470.7692307692308,-483.5036496350365,715,715
20251006,3008,キングハナハナ-30,5479,-400,0.9756646590010343,170.76923076923077,-570.7692307692307,-583.5036496350365,715,715
20251006,3009,キングハナハナ-30,3446,-1100,0.893596440317276,170.76923076923077,-1270.7692307692307,-1283.5036496350365,715,715
20251006,3010,キングハナハナ-30,3491,-400,0.9618065501766447,170.76923076923077,-570.7692307692307,-583.5036496350365,715,715
20251006,3011,キングハナハナ-30,7393,1600,1.0721403129086073,170.76923076923077,1429.2307692307693,1416.4963503649635,715,715
20251006,3012,キングハナハナ-30,5059,-300,0.9802332476774066,170.76923076923077,-470.7692307692308,-483.5036496350365,715,715
20251006,3013,キングハナハナ-30,1197,-400,0.8886104149262044,170.76923076923077,-570.7692307692307,-583.5036496350365,715,715
20251006,3014,キングハナハナ-30,2701,100,1.0123411082315192,170.76923076923077,-70.76923076923077,-83.50364963503651,715,715
20251006,3015,キングハナハナ-30,7919,2800,1.1178599991581428,170.76923076923077,2629.230769230769,2616.4963503649633,715,715
20251006,3016,キングハナハナ-30,2453,-400,0.9456447886941161,170.76923076923077,-570.7692307692307,-583.5036496350365,715,715
20251006,2001,戦国乙女4 戦乱に閃く炯眼の軍師,4566,-300,0.9780989925536575,170.76923076923077,-470.7692307692308,-483.5036496350365,715,715
