date,machine_number,machine_name,games,diff,payout,day_baseline,edge,edge_vs_excluded,pool_size,universe_size
20251001,3077,かぐや様は告らせたい,5594,-2100,0.874865927779764,719.7368421052631,-2819.7368421052633,-2840.3973509933776,456,456
20251001,3094,からくりサーカス,1874,-800,0.8577018854500178,719.7368421052631,-1519.7368421052631,-1540.3973509933776,456,456
20251001,2057,東京リベンジャーズ,6182,-4300,0.7681440741938963,719.7368421052631,-5019.736842105263,-5040.397350993378,456,456
20251002,2024,マギアレコード 魔法少女まどか☆マギカ外伝,680,-800,0.6078431372549019,35.30701754385965,-835.3070175438596,-816.1147902869757,456,456
20251002,3094,からくりサーカス,3223,6900,1.7136208501396215,35.30701754385965,6864.69298245614,6883.885209713024,456,456
20251002,2057,東京リベンジャーズ,7433,2700,1.1210816628548366,35.30701754385965,2664.6929824561403,2683.8852097130243,456,456
20251003,3094,からくりサーカス,501,400,1.2661343978709247,283.99122807017545,116.00877192982455,111.037527593819,456,456
20251003,3108,からくりサーカス,371,500,1.4492362982929021,283.99122807017545,216.00877192982455,211.037527593819,456,456
20251003,3252,ToLOVEるダークネス TRANCE ver.8.7,7093,-2300,0.8919122139198271,283.99122807017545,-2583.9912280701756,-2588.962472406181,456,456
20251004,2019,マギアレコード 魔法少女まどか☆マギカ外伝,4256,5500,1.430764411027569,349.780701754386,5150.2192982456145,5148.78587196468,456,456
20251004,3108,からくりサーカス,1930,800,1.1381692573402418,349.780701754386,450.219298245614,448.7858719646799,456,456
20251004,3252,ToLOVEるダークネス TRANCE ver.8.7,7812,-5900,0.7482505547021676,349.780701754386,-6249.7807017543855,-6251.21412803532,456,456
20251005,3091,からくりサーカス,4925,9100,1.6159052453468696,379.82456140350877,8720.17543859649,8743.708609271524,456,456
20251005,3094,からくりサーカス,4475,1500,1.111731843575419,379.82456140350877,1120.1754385964912,1143.708609271523,456,456
20251005,3252,ToLOVEるダークネス TRANCE ver.8.7,5041,1200,1.0793493354493156,379.82456140350877,820.1754385964912,843.7086092715232,456,456
20251006,3091,からくりサーカス,814,100,1.040950040950041,236.40350877192984,-136.40350877192984,-143.04635761589404,456,456
20251006,3094,からくりサーカス,3027,-900,0.9008919722497523,236.40350877192984,-1136.4035087719299,-1143.046357615894,456,456
20251006,3032,革命機ヴァルヴレイヴ,1608,-1500,0.6890547263681592,236.40350877192984,-1736.4035087719299,-1743.046357615894,456,456
20251007,3220,東京喰種,0,0,,231.37254901960785,-231.37254901960785,-221.49122807017545,459,459
20251007,3091,からくりサーカス,5937,-500,0.9719274605580821,231.37254901960785,-731.3725490196078,-721.4912280701755,459,459
20251007,3094,からくりサーカス,5779,5700,1.328776604948953,231.37254901960785,5468.6274509803925,5478.508771929824,459,459
20251008,3220,東京喰種,0,0,,127.23311546840958,-127.23311546840958,-121.05263157894737,459,459
20251008,3094,からくりサーカス,1443,3300,1.7623007623007623,127.23311546840958,3172.76688453159,3178.9473684210525,459,459
20251008,3400,防空少女ラブキューレ2～極限の共鳴～,625,-100,0.9466666666666667,127.23311546840958,-227.23311546840958,-221.05263157894737,459,459
20251009,3220,東京喰種,0,0,,270.3703703703704,-270.3703703703704,-272.5877192982456,459,459
20251009,3091,からくりサーカス,86,-100,0.6124031007751938,270.3703703703704,-370.3703703703704,-372.5877192982456,459,459
20251009,3094,からくりサーカス,82,-100,0.5934959349593496,270.3703703703704,-370.3703703703704,-372.5877192982456,459,459
20251010,3220,東京喰種,0,0,,283.2244008714597,-283.2244008714597,-293.640350877193,459,459
20251010,3091,からくりサーカス,1979,-2000,0.663129526696985,283.2244008714597,-2283.2244008714597,-2293.6403508771928,459,459
20251010,3094,からくりサーカス,1481,-1900,0.5723610173306325,283.2244008714597,-2183.2244008714597,-2193.6403508771928,459,459
20251011,3220,東京喰種,0,0,,-208.06100217864923,208.06100217864923,207.23684210526315,459,459
20251011,3094,からくりサーカス,4216,700,1.0553447185325744,-208.06100217864923,908.0610021786492,907.2368421052631,459,459
20251011,3400,防空少女ラブキューレ2～極限の共鳴～,4730,-1700,0.8801973220577872,-208.06100217864923,-1491.9389978213508,-1492.7631578947369,459,459
20251013,3220,東京喰種,0,0,,367.1023965141612,-367.1023965141612,-384.64912280701753,459,459
20251013,3077,かぐや様は告らせたい,4222,-5300,0.5815569240486341,367.1023965141612,-5667.102396514161,-5684.649122807017,459,459
20251013,3094,からくりサーカス,5172,-1600,0.8968806393400361,367.1023965141612,-1967.1023965141612,-1984.6491228070176,459,459
20251014,3220,東京喰種,0,0,,263.8344226579521,-263.8344226579521,-254.16666666666666,459,459
20251014,3094,からくりサーカス,1058,500,1.1575299306868305,263.8344226579521,236.16557734204792,245.83333333333334,459,459
20251014,3104,からくりサーカス,1561,4700,2.0036301516122146,263.8344226579521,4436.165577342048,4445.833333333333,459,459
20251015,3220,東京喰種,0,0,,66.88453159041394,-66.88453159041394,-57.675438596491226,459,459
20251015,3094,からくりサーカス,4347,6200,1.4754236638294609,66.88453159041394,6133.115468409586,6142.324561403509,459,459
20251015,3104,からくりサーカス,3304,-1800,0.8184019370460048,66.88453159041394,-1866.8845315904139,-1857.6754385964912,459,459
20251016,3220,東京喰種,0,0,,278.2135076252723,-278.2135076252723,-278.94736842105266,459,459
20251016,3094,からくりサーカス,1673,-1200,0.7609085475194262,278.2135076252723,-1478.2135076252723,-1478.9473684210527,459,459
20251016,3104,からくりサーカス,3751,1700,1.1510708255576292,278.2135076252723,1421.7864923747277,1421.0526315789473,459,459
20251017,3220,東京喰種,0,0,,157.9520697167756,-157.9520697167756,-153.50877192982455,459,459
20251017,3094,からくりサーカス,4767,-400,0.9720299279770646,157.9520697167756,-557.9520697167757,-553.5087719298245,459,459
20251017,3104,からくりサーカス,5296,2900,1.182527693856999,157.9520697167756,2742.0479302832246,2746.4912280701756,459,459
20251018,3220,東京喰種,0,0,,-61.87363834422658,61.87363834422658,61.62280701754386,459,459
20251018,3094,からくりサーカス,2841,900,1.105596620908131,-61.87363834422658,961.8736383442266,961.6228070175439,459,459
20251018,3051,吉宗,1440,-1200,0.7222222222222222,-61.87363834422658,-1138.1263616557735,-1138.377192982456,459,459
20251019,3220,東京喰種,0,0,,161.87363834422658,-161.87363834422658,-134.21052631578948,459,459
20251019,3104,からくりサーカス,1627,-400,0.9180495800040975,161.87363834422658,-561.8736383442266,-534.2105263157895,459,459
20251019,3051,吉宗,4047,13500,2.111934766493699,161.87363834422658,13338.126361655774,13365.78947368421,459,459
20251020,3220,東京喰種,5358,-1100,0.9315665049147692,-54.80349344978166,-1045.1965065502184,-1039.3406593406594,458,458
20251020,3104,からくりサーカス,846,3200,2.260835303388495,-54.80349344978166,3254.803493449782,3260.6593406593406,458,458
20251020,3051,吉宗,316,400,1.4219409282700421,-54.80349344978166,454.8034934497817,460.65934065934067,458,458
20251021,3220,東京喰種,1938,-1500,0.7420020639834881,382.7510917030568,-1882.7510917030568,-1888.3516483516482,458,458
20251021,3104,からくりサーカス,74,0,1.0,382.7510917030568,-382.7510917030568,-388.35164835164835,458,458
20251021,3051,吉宗,455,100,1.0732600732600732,382.7510917030568,-282.7510917030568,-288.35164835164835,458,458
20251022,3220,東京喰種,710,-900,0.5774647887323944,124.23580786026201,-1024.235807860262,-1029.6703296703297,458,458
20251022,3104,からくりサーカス,2304,300,1.0434027777777777,124.23580786026201,175.764192139738,170.32967032967034,458,458
20251022,3051,吉宗,1045,-1500,0.5215311004784688,124.23580786026201,-1624.235807860262,-1629.6703296703297,458,458
20251023,3220,東京喰種,2196,-1600,0.7571341833636915,251.9650655021834,-1851.9650655021833,-1841.7582417582416,458,458
20251023,3104,からくりサーカス,1081,-1000,0.6916435399321615,251.9650655021834,-1251.9650655021833,-1241.7582417582416,458,458
20251023,3051,吉宗,1538,8000,2.7338534893801474,251.9650655021834,7748.034934497817,7758.241758241758,458,458
20251024,3220,東京喰種,3355,4300,1.4272230501738699,106.98689956331877,4193.013100436681,4201.0989010989015,458,458
