hall,n_source_rows,n_days,all_high_days,focused_machine_days,focused_category_days,balanced_days,recovery_days,decoy_heavy_days,top_axis,top_axis_level,top_axis_share_of_total_diff,n_offset_pairs,best_offset_days,best_offset_gap,note
みとや,138418,547,125,23,237,36,126,0,machine_category,other,128.15384615384616,11658,299,213.53922848312328,
蒲田7,252601,359,74,12,71,127,75,0,kakuban_bin,2141-2150,122.0,16327,175,201.8583418141275,
蒲田1,183997,535,118,29,231,39,118,0,machine_category,other,143.66666666666666,14164,269,221.94228238133724,
楽園,257362,548,125,10,223,61,129,0,section,2100-2240,80.28095238095239,45841,364,162.8628574599041,
レイトギャップ,172310,469,110,8,206,51,94,0,machine_category,juggler,731.46,21643,298,242.37653431730809,
ARROW,167779,538,120,11,227,52,128,0,machine_category,at_smart,154.09259259259258,12775,272,249.02861616433626,
ヒロキ,121335,547,124,11,188,106,118,0,machine_name,マギアレコード 魔法少女まどか☆マギカ外伝,734.3023255813954,24435,307,207.44567668418694,
ザシティ,61711,548,136,2,137,146,127,0,machine_category,at_smart,138.10650887573965,11397,299,284.83558818426616,
金時,70550,547,121,23,254,26,123,0,machine_category,at_smart,287.32,9114,354,278.91379108397075,
