variant,window,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,n_test_days
v6a_hit_an,90,all,170.484375,119.45594879518072,51.028426204819276,38.75,99.96611285317398,0.875,1.671875,4.375,1.2495,1.1937187500000002,1.2495,256
v6a_hit_an,90,event,230.6865671641791,149.68755619492896,80.99901096925014,41.343283582089555,100.9795891022297,0.8507462686567164,1.6865671641791045,4.626865671641791,1.2148656716417914,1.2042089552238808,1.3214328358208955,67
v6a_hit_an,90,non_event,149.14285714285714,108.73892394976733,40.40393319308982,37.83068783068783,99.60683820403784,0.8835978835978836,1.6666666666666667,4.285714285714286,1.2617777777777779,1.1900000000000002,1.224,189
v8_dynamic,90,all,146.5390625,121.25905967620481,25.28000282379518,38.9921875,100.05974503554003,0.8984375,1.73828125,4.203125,1.2829687500000002,1.2411328125,1.2004125,256
v8_dynamic,90,event,166.17910447761193,154.54504585506203,11.634058622549901,40.62686567164179,100.55876682082884,0.9402985074626866,1.8059701492537314,4.253731343283582,1.3427462686567166,1.2894626865671643,1.2148656716417912,67
v8_dynamic,90,non_event,139.57671957671957,109.45926563396442,30.117453942755148,38.41269841269841,99.88284313281859,0.8835978835978836,1.7142857142857142,4.185185185185185,1.2617777777777779,1.2240000000000002,1.1952888888888888,189
