segment,target,feature,importance_mean,importance_std,n_models
2F,target_is_top3,atype_is_a,0.029057760589704332,0.01843471052057781,90
2F,target_is_top3,prior_top2_rate,0.014116813754662871,0.004470303368265749,90
2F,target_is_top3,lag_7_avg_diff_coins_zscore,0.011713449589701162,0.0038250458099802153,90
2F,target_is_top3,rank_pct_avg_3m,0.01052955916772286,0.0024152722094276094,90
2F,target_is_top3,rolling_std_efficiency_14d,0.010414480837062002,0.004368863929106427,90
2F,target_is_top3,lag_1_efficiency_rank_pct,0.010396336720118093,0.003497209424102048,90
2F,target_is_top3,rolling_avg_games_14d_rank_pct,0.010392078484356818,0.004855176181558105,90
2F,target_is_top3,prior_top3_rate,0.010120523808937933,0.0031285960752949166,90
2F,target_is_top3,rolling_avg_diff_7d_rank_pct,0.009878323459997774,0.0027936133856586234,90
2F,target_is_top3,lag_7_efficiency,0.009842140641477372,0.0016537192967234088,90
2F,target_is_top3,ewm_efficiency_21d,0.009410756402131584,0.0020221603294643294,90
2F,target_is_top3,lag_1_avg_diff_coins_rank_pct,0.0092721317610186,0.003566568049744521,90
2F,target_is_top3,ewm_rank_30d,0.009212476941239502,0.001551657179017222,90
2F,target_is_top3,ewm_avg_diff_7d_rank_pct,0.009199003673469026,0.002288407550188275,90
2F,target_is_top3,eff_delta_1_vs_14,0.009198164626852506,0.00226596654087608,90
2F,target_is_top3,rank_pct_std_14d,0.009185102375017271,0.002343290771788022,90
2F,target_is_top3,lag_7_avg_diff_coins_vs_mean,0.00913255914217896,0.0022036267725784714,90
2F,target_is_top3,lag_1_efficiency,0.009098612214438617,0.004952893202111435,90
2F,target_is_top3,eff_delta_1_vs_7,0.00902671879157424,0.0027511483353416556,90
2F,target_is_top3,rolling_avg_games_7d_rank_pct,0.008951543483676182,0.002638898859150342,90
2F,target_is_top3,same_weekday_top3_rate,0.008814270253707138,0.002677026728515751,90
2F,target_is_top3,prior_avg_rank_pct,0.008680076312480701,0.0020745042796428714,90
2F,target_is_top3,rolling_avg_games_28d,0.008665653774773494,0.003982526982573173,90
2F,target_is_top3,lag_3_avg_diff_coins,0.008624452688834734,0.0019452947871701077,90
2F,target_is_top3,rolling_avg_games_7d_zscore,0.00852835505372948,0.003881921579756909,90
2F,target_is_top3,lag_3_avg_diff_coins_rank_pct,0.008440746905075179,0.001714975175623339,90
2F,target_is_top3,lag_3_avg_diff_coins_zscore,0.008434630221583778,0.0014796284504046465,90
2F,target_is_top3,rolling_avg_games_14d_vs_mean,0.008405016667933928,0.0023024485256724894,90
2F,target_is_top3,lag_1_efficiency_zscore,0.00829798787470079,0.0034241501800140357,90
2F,target_is_top3,count_delta_7d,0.008231081397712437,0.0050230536257065,90
2F,target_is_top3,lag_7_avg_diff_coins_rank_pct,0.008162863172280292,0.0028502666693690742,90
2F,target_is_top3,rank_trend_acceleration,0.008024342389156421,0.0014827629612122627,90
2F,target_is_top3,rolling_avg_efficiency_28d_vs_mean,0.00800164179979927,0.0038994147568023095,90
2F,target_is_top3,rolling_avg_diff_14d_vs_mean,0.007934154157798428,0.0036221054482783394,90
2F,target_is_top3,rolling_avg_efficiency_14d_rank_pct,0.007896766299381852,0.004019078343066387,90
2F,target_is_top3,rolling_avg_efficiency_7d_zscore,0.007840751556472646,0.002356877679729509,90
2F,target_is_top3,rolling_avg_diff_7d,0.00783794169417686,0.0022084134404884836,90
2F,target_is_top3,ewm_efficiency_momentum_7v21,0.007832000885779658,0.0017402918196314314,90
