label,threshold_A,threshold_N,alpha,beta,rho_all,lift_5x5
baseline,104.0,106.0,0.0,0.0,0.17378346192952798,1.1258012063545826
combined,104.0,104.0,0.0,0.1,0.1965075342305538,1.1680246901872975
