threshold_A,threshold_N,alpha,beta,target_date,is_event,overall_hit_rate,selected_hit_rate,selected_lift,selected_diff_sum,selected_count,section_count
104.0,104.0,0.0,0.1,2026-04-28,0,0.3475177304964539,0.52,1.4963265306122449,41900.0,25,53
104.0,104.0,0.0,0.1,2026-04-29,0,0.3031609195402299,0.36,1.1874881516587676,6700.0,25,53
104.0,104.0,0.0,0.1,2026-04-30,0,0.3783783783783784,0.28,0.74,-7700.0,25,53
104.0,104.0,0.0,0.1,2026-05-01,1,0.3472022955523673,0.4,1.1520661157024794,-5100.0,25,53
104.0,104.0,0.0,0.1,2026-05-02,0,0.35942028985507246,0.28,0.7790322580645163,0.0,25,53
104.0,104.0,0.0,0.1,2026-05-03,0,0.308259587020649,0.44,1.4273684210526316,14000.0,25,53
104.0,104.0,0.0,0.1,2026-05-04,0,0.2727272727272727,0.24,0.88,-27600.0,25,53
104.0,104.0,0.0,0.1,2026-05-05,0,0.3672316384180791,0.44,1.1981538461538461,24600.0,25,53
104.0,104.0,0.0,0.1,2026-05-06,0,0.27927927927927926,0.48,1.7187096774193549,36900.0,25,53
104.0,104.0,0.0,0.1,2026-05-07,1,0.3328550932568149,0.64,1.9227586206896554,30600.0,25,53
104.0,104.0,0.0,0.1,2026-05-08,0,0.3605072463768116,0.375,1.0402010050251256,5900.0,24,53
104.0,104.0,0.0,0.1,2026-05-09,0,0.33477011494252873,0.4,1.1948497854077254,600.0,25,53
104.0,104.0,0.0,0.1,2026-05-10,0,0.35050071530758226,0.36,1.0271020408163265,1000.0,25,53
104.0,104.0,0.0,0.1,2026-05-11,1,0.3401360544217687,0.2,0.5880000000000001,-9300.0,25,53
104.0,104.0,0.0,0.1,2026-05-12,0,0.3309222423146474,0.3333333333333333,1.0072859744990892,7700.0,21,53
104.0,104.0,0.0,0.1,2026-05-13,0,0.36247723132969034,0.5833333333333334,1.6092964824120604,36800.0,24,53
104.0,104.0,0.0,0.1,2026-05-14,0,0.3355855855855856,0.4166666666666667,1.2416107382550337,24000.0,24,52
104.0,104.0,0.0,0.1,2026-05-15,0,0.3230769230769231,0.375,1.1607142857142856,16000.0,24,52
104.0,104.0,0.0,0.1,2026-05-16,0,0.341534008683068,0.3181818181818182,0.9316255778120186,500.0,22,53
104.0,104.0,0.0,0.1,2026-05-17,1,0.3670886075949367,0.36363636363636365,0.9905956112852664,-100.0,22,53
104.0,104.0,0.0,0.1,2026-05-18,0,0.35517970401691334,0.38095238095238093,1.072562358276644,16600.0,21,53
104.0,104.0,0.0,0.1,2026-05-19,0,0.3333333333333333,0.32,0.9600000000000001,18900.0,25,52
104.0,104.0,0.0,0.1,2026-05-20,0,0.3754716981132076,0.36,0.9587939698492461,6000.0,25,53
104.0,104.0,0.0,0.1,2026-05-21,1,0.3641114982578397,0.5833333333333334,1.60207336523126,53400.0,24,53
104.0,104.0,0.0,0.1,2026-05-22,1,0.32798833819241985,0.4,1.2195555555555555,8600.0,25,53
104.0,104.0,0.0,0.1,2026-05-23,0,0.31563845050215206,0.24,0.7603636363636364,-25500.0,25,53
