alpha,beta,rho,rho_event,rho_nonevent,lift_5x5,lift_5x5_event,lift_5x5_nonevent,selected_diff_sum,n_days
0.0,0.1,0.17480561445862183,0.18038098088049062,0.172735476127613,1.1605269765378736,1.1135730573148555,1.1748172997796618,486700.0,60
0.0,0.0,0.17378346192952798,0.17817263031283614,0.17195441220148808,1.1258012063545826,1.0710968244383379,1.142450366068222,421800.0,60
0.0,0.2,0.17218827728719652,0.17784699614574007,0.17005098264057705,1.1473632697633296,1.071254644052811,1.1705267645447917,454300.0,60
0.1,0.1,0.16790251099752534,0.1659688122467298,0.167893877279634,1.126921152609039,1.1025375141983835,1.1343422599514121,403200.0,60
0.1,0.0,0.1670156172831188,0.16580943677818066,0.167094670907646,1.0981676392826716,1.0725970483779599,1.1059499930362793,380500.0,60
0.0,0.3,0.16683878743643427,0.17367002974301565,0.16443933627972837,1.1647838294837098,1.1288446162580237,1.175721850900223,432900.0,60
0.1,0.2,0.16611835321158547,0.16477513918938957,0.16601065166475928,1.1400674355952596,1.0684805871540204,1.1618547372947672,429000.0,60
0.1,0.3,0.16133548223519595,0.1614647752811367,0.16089091449351364,1.142664777312708,1.0921053716202458,1.1580524225234574,389400.0,60
0.2,0.1,0.15657515147617038,0.15348984509997476,0.157140431254289,1.0884437634176196,1.0364787692531032,1.1042591964242114,304300.0,60
0.2,0.2,0.15538732204459024,0.1518404399078459,0.15603934799697827,1.1077149403442916,1.0252184858554747,1.1328225569278445,377800.0,60
0.2,0.0,0.15506270050877888,0.15156555797001572,0.15590145608758565,1.0689628249739327,1.0473907303362515,1.0755282450810528,269300.0,60
0.0,0.5,0.15268069857719094,0.15928830302807653,0.15041588843672368,1.1179718048352216,1.049857295771362,1.1387023075937872,330600.0,60
0.2,0.3,0.1517309692588194,0.14849625327858454,0.15246530737032027,1.110448577501785,1.0594109512301677,1.1259817681061899,341000.0,60
0.1,0.5,0.14775704291291272,0.14858655009525354,0.14748744032937822,1.1175628405780813,1.0530821868677267,1.137187387359493,330000.0,60
0.3,0.1,0.14359190157109203,0.137915047992433,0.1448051121212755,1.1074105582530203,1.1032542158270633,1.1086755320348332,391200.0,60
0.3,0.2,0.14274303396642826,0.13710977030980306,0.14373896794544422,1.1069232065391688,1.0337354205148297,1.1291977501117934,409700.0,60
0.3,0.0,0.14186743386290732,0.13631127493679798,0.14322015419425851,1.074850487131191,1.0318204581721362,1.0879465829013382,285300.0,60
0.3,0.3,0.14023912867709973,0.13519226750425628,0.1414519864718323,1.1084971062866893,1.0349423316666297,1.1308833420406204,362500.0,60
0.2,0.5,0.1401924529551357,0.13668821367538161,0.1416330073601069,1.0928135953882,1.0562276725998332,1.1039484414542244,287100.0,60
0.3,0.5,0.13106574284822464,0.12551010571443022,0.13307378402937753,1.0638306857116633,1.0082022122547558,1.0807610906768088,269700.0,60
0.5,0.2,0.11943111782081725,0.11418915151151403,0.12078618640531463,1.1022246765752979,1.0469677880874875,1.1190419904628925,391200.0,60
0.5,0.1,0.11925096478726267,0.11503238237347646,0.12045504268987152,1.093490186648475,1.0407710816180287,1.1095351316577413,362600.0,60
0.5,0.3,0.11780158347565708,0.11099426404665239,0.11945880011256556,1.098473707832155,1.0417377365942404,1.115741177339346,333600.0,60
0.5,0.0,0.11720203337672298,0.11137754902815056,0.11873381084857375,1.0531407431429924,0.9813111048991466,1.0750019373911197,250600.0,60
0.5,0.5,0.11241688566613463,0.10432816886700642,0.11494789649764085,1.0611255901765135,1.010794785904135,1.0764436610420198,258600.0,60
